gameid,time,roundNum,name
3638-6,1447206550442,1,artichoke
3638-6,1447206552079,2,santahat
3638-6,1447206552802,3,bison
3638-6,1447206553530,4,ornament
3638-6,1447206554156,5,lemon
3638-6,1447206554862,6,teacup
3638-6,1447206555429,7,hotdog
3638-6,1447206556405,8,book
3638-6,1447206557453,9,pumpkin
3638-6,1447206558718,10,tophat
3638-6,1447206559344,11,golfball
3638-6,1447206559912,12,smokedetector
3638-6,1447206560545,13,candle
3638-6,1447206561125,14,rock
3638-6,1447206561696,15,egg
3638-6,1447206562255,16,feather
3638-6,1447206562791,17,tophat
3638-6,1447206563284,18,bracelet
3638-6,1447206563761,19,bulldozer
3638-6,1447206564643,20,grapefruit
3638-6,1447206565232,21,pumpkin
3638-6,1447206565786,22,iguana
3638-6,1447206566346,23,lion
