gameid,time,roundNum,nameClickedObj,targetStatusClickedObj,speakerLocsClickedObj,listenerLocsClickedObj 
4442-a,1447282999163,1,orange,target,3,3,filler
4442-a,1447283000783,2,garbagecan,distractor,1,3,filler
4442-a,1447283001444,3,tire,distractor,1,3,filler
4442-a,1447283002107,4,lobster,distractor,1,3,filler
4442-a,1447283011826,5,big_blue_folder,target,2,2,sizeOnly
4442-a,1447283623392,6,small_red_flower,target,2,3,colorOnly
4442-a,1447283624484,7,watermelon,distractor,3,3,filler
4442-a,1447283624977,8,zucchini,distractor,2,3,filler
4442-a,1447283625917,9,motorcycle,distractor,2,3,filler
4442-a,1447283626501,10,hotdog,distractor,2,3,filler
4442-a,1447283627424,11,big_blue_book,target,1,3,sizeOnly
4442-a,1447283627896,12,big_white_weddingcake,distractor,2,3,colorOnly
