gameid, time, roundNum, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs 
7547-f,1447428880288,1,sizeOnly,small_blue_folder,target,1,1,big_blue_folder,distractor,3,2,big_green_folder,distractor,2,3
7547-f,1447428892606,2,colorAndSize,small_blue_golfball,target,2,3,big_pink_golfball,distractor,3,1,big_pink_golfball,distractor,1,2
7547-f,1447428898845,3,filler,piano,target,2,1,tooth,distractor,3,2,broccoli,distractor,1,3
7547-f,1447428907130,4,filler,zucchini,target,2,1,garlic,distractor,3,3,ketchup,distractor,1,2
7547-f,1447428914910,5,filler,bear,target,2,2,tennisball,distractor,1,3,kiwi,distractor,3,1
7547-f,1447428923271,6,filler,orange,target,3,2,tire,distractor,2,3,polarbear,distractor,1,1
7547-f,1447428929514,7,sizeOnly,small_blue_candle,target,3,1,big_blue_candle,distractor,2,2,big_red_candle,distractor,1,3
7547-f,1447428936415,8,filler,mailbox,target,1,1,polarbear,distractor,2,2,artichoke,distractor,3,3
7547-f,1447428946104,9,filler,bulldozer,target,1,1,dresser,distractor,3,2,tooth,distractor,2,3
7547-f,1447428952101,10,colorAndSize,small_blue_cushion,target,3,3,big_orange_cushion,distractor,1,1,big_orange_cushion,distractor,2,2
7547-f,1447428958350,11,filler,strawberry,target,1,3,egg,distractor,2,1,toilet,distractor,3,2
7547-f,1447428966737,12,filler,polarbear,target,2,3,baseball,distractor,1,2,fox,distractor,3,1
7547-f,1447428973168,13,filler,rhinoceros,target,2,1,firetruck,distractor,3,3,firehydrant,distractor,1,2
7547-f,1447428978379,14,filler,trumpet,target,2,2,kitten,distractor,1,1,lion,distractor,3,3
7547-f,1447428982426,15,filler,clarinet,target,3,3,elephant,distractor,1,2,zucchini,distractor,2,1
7547-f,1447428988152,16,sizeOnly,big_green_avocado,target,3,2,small_black_avocado,distractor,2,3,small_green_avocado,distractor,1,1
7547-f,1447428993342,17,sizeOnly,small_blue_butterfly,target,3,3,big_purple_butterfly,distractor,2,2,big_blue_butterfly,distractor,1,1
7547-f,1447428997904,18,sizeOnly,big_purple_stapler,target,3,3,small_purple_stapler,distractor,1,2,small_red_stapler,distractor,2,1
7547-f,1447429004116,19,filler,cactus,target,1,2,gloves,distractor,2,1,piano,distractor,3,3
7547-f,1447429019551,20,filler,banana,target,1,3,lime,distractor,3,2,firetruck,distractor,2,1
7547-f,1447429030272,21,filler,horse,target,2,3,piano,distractor,1,2,snake,distractor,3,1
7547-f,1447429035099,22,filler,television,target,1,1,zucchini,distractor,2,3,iguana,distractor,3,2
7547-f,1447429040114,23,filler,strawberry,target,2,2,violin,distractor,3,3,clarinet,distractor,1,1
7547-f,1447429050835,24,filler,egg,target,3,3,cherries,distractor,2,2,broccoli,distractor,1,1
7547-f,1447429058654,25,filler,bison,target,2,1,crocodile,distractor,3,3,elephant,distractor,1,2
7547-f,1447429066822,26,filler,television,target,2,1,artichoke,distractor,1,2,penguin,distractor,3,3
7547-f,1447429071978,27,filler,polarbear,target,3,2,penguin,distractor,2,1,baseball,distractor,1,3
7547-f,1447429083178,28,filler,rubberduck,target,2,2,flamingo,distractor,1,1,bulldozer,distractor,3,3
7547-f,1447429088941,29,filler,dresser,target,1,2,grapefruit,distractor,3,1,fireextinguisher,distractor,2,3
7547-f,1447429096926,30,filler,bulldozer,target,2,2,trumpet,distractor,3,1,iguana,distractor,1,3
7547-f,1447429101459,31,filler,orange,target,1,2,motorcycle,distractor,2,1,bulldozer,distractor,3,3
7547-f,1447429104733,32,colorAndSize,small_purple_rug,target,3,3,big_blue_rug,distractor,1,1,big_blue_rug,distractor,2,2
7547-f,1447429111423,33,filler,kitten,target,3,2,gloves,distractor,2,3,banana,distractor,1,1
7547-f,1447429130441,34,colorOnly,small_purple_hairdryer,target,2,1,small_pink_hairdryer,distractor,1,2,big_pink_hairdryer,distractor,3,3
7547-f,1447429148919,35,filler,eggplant,target,1,2,cactus,distractor,2,3,cherries,distractor,3,1
7547-f,1447429159327,36,filler,football,target,2,3,carrot,distractor,3,2,clarinet,distractor,1,1
7547-f,1447429163374,37,colorOnly,big_red_bike,target,1,1,big_purple_bike,distractor,3,3,small_purple_bike,distractor,2,2
7547-f,1447429168676,38,filler,orange,target,1,3,flamingo,distractor,3,1,firetruck,distractor,2,2
7547-f,1447429173439,39,filler,lobster,target,2,2,piano,distractor,3,3,bison,distractor,1,1
7547-f,1447429177411,40,filler,polarbear,target,3,2,tire,distractor,2,1,watermelon,distractor,1,3
7547-f,1447429182994,41,filler,bear,target,1,1,camera,distractor,2,2,schoolbus,distractor,3,3
7547-f,1447429186653,42,sizeOnly,small_brown_jacket,target,2,2,big_brown_jacket,distractor,1,1,big_green_jacket,distractor,3,3
7547-f,1447429192466,43,colorAndSize,big_purple_yarn,target,3,3,small_red_yarn,distractor,1,1,small_red_yarn,distractor,2,2
7547-f,1447429196480,44,sizeOnly,small_purple_coathanger,target,2,1,big_purple_coathanger,distractor,3,3,big_orange_coathanger,distractor,1,2
7547-f,1447429200907,45,filler,schoolbus,target,1,3,tire,distractor,3,1,watermelon,distractor,2,2
