gameid, time, roundNum, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs 
5357-c,1447690775659,1,colorOnly,small_black_belt,target,1,2,big_brown_belt,distractor,2,3,small_brown_belt,distractor,3,1
5357-c,1447690790199,2,filler,iguana,target,1,3,car,distractor,2,1,motorcycle,distractor,3,2
5357-c,1447690807882,3,filler,tomato,target,1,3,sheep,distractor,2,1,dresser,distractor,3,2
5357-c,1447690818994,4,filler,fox,target,1,1,bear,distractor,2,2,garbagecan,distractor,3,3
5357-c,1447690886840,5,filler,tennisball,distractor,2,3,flamingo,target,3,2,garlic,distractor,1,1
5357-c,1447690901473,6,colorAndSize,big_red_bike,target,2,1,small_purple_bike,distractor,3,3,small_purple_bike,distractor,1,2
5357-c,1447690918978,7,filler,motorcycle,target,2,2,firehydrant,distractor,3,3,tomato,distractor,1,1
5357-c,1447690933644,8,colorOnly,small_blue_guitar,target,1,3,big_green_guitar,distractor,2,2,small_green_guitar,distractor,3,1
5357-c,1447690934152,9,colorOnly,small_blue_guitar,target,1,3,big_green_guitar,distractor,2,2,small_green_guitar,distractor,3,1
5357-c,1447690934375,10,colorAndSize,big_green_folder,target,2,3,small_blue_folder,distractor,1,1,small_blue_folder,distractor,3,2
5357-c,1447690934579,11,filler,zucchini,distractor,2,3,fox,target,3,2,raspberry,distractor,1,1
5357-c,1447690960776,12,filler,crocodile,target,2,1,motorcycle,distractor,1,3,smokedetector,distractor,3,2
5357-c,1447690995141,13,filler,eggplant,target,1,2,piano,distractor,3,3,iguana,distractor,2,1
5357-c,1447691029903,14,filler,banana,target,1,2,kiwi,distractor,3,3,bulldozer,distractor,2,1
5357-c,1447691057286,15,filler,tennisball,target,1,3,piano,distractor,3,1,banana,distractor,2,2
5357-c,1447691067912,16,colorAndSize,small_blue_toothbrush,target,2,2,big_red_toothbrush,distractor,1,1,big_red_toothbrush,distractor,3,3
5357-c,1447691080124,17,filler,chick,target,3,3,lemon,distractor,2,1,bulldozer,distractor,1,2
5357-c,1447691089680,18,colorOnly,small_blue_ornament,target,1,3,big_purple_ornament,distractor,3,2,small_purple_ornament,distractor,2,1
5357-c,1447691103191,19,filler,trumpet,target,2,3,broccoli,distractor,3,2,violin,distractor,1,1
5357-c,1447691130734,20,colorAndSize,big_purple_hairdryer,target,2,1,small_pink_hairdryer,distractor,3,2,small_pink_hairdryer,distractor,1,3
5357-c,1447691147564,21,filler,grapefruit,target,3,3,rubberduck,distractor,2,2,ketchup,distractor,1,1
5357-c,1447691172712,22,filler,motorcycle,target,3,2,zucchini,distractor,1,1,lemon,distractor,2,3
5357-c,1447691194135,23,colorOnly,small_blue_cushion,target,2,1,big_orange_cushion,distractor,3,2,small_orange_cushion,distractor,1,3
5357-c,1447691210602,24,filler,eggplant,target,2,3,lemon,distractor,3,1,watermelon,distractor,1,2
