gameid, time, roundNum, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs 
5721-4,1447692937261,1,filler,flamingo,target,1,1,santahat,distractor,3,2,zucchini,distractor,2,3
5721-4,1447692943507,2,filler,eggplant,target,1,3,horse,distractor,2,1,toilet,distractor,3,2
5721-4,1447692947500,3,filler,penguin,target,3,2,lion,distractor,2,1,eggplant,distractor,1,3
5721-4,1447692951055,4,colorOnly,small_purple_bike,target,2,2,small_red_bike,distractor,3,3,big_red_bike,distractor,1,1
5721-4,1447692960605,5,sizeOnly,big_brown_belt,distractor,3,1,small_black_belt,target,1,2,big_black_belt,distractor,2,3
5721-4,1447692964145,6,filler,tooth,target,1,3,cactus,distractor,2,2,car,distractor,3,1
5721-4,1447692970172,7,filler,lemon,distractor,2,1,basketball,distractor,3,2,fox,target,1,3
5721-4,1447692973260,8,filler,firehydrant,target,2,2,egg,distractor,3,1,tooth,distractor,1,3
5721-4,1447692976077,9,colorAndSize,big_yellow_shoe,distractor,3,1,small_white_shoe,target,1,3,big_yellow_shoe,distractor,2,2
5721-4,1447692978586,10,filler,trumpet,target,2,2,tophat,distractor,3,3,television,distractor,1,1
5721-4,1447692981948,11,colorOnly,big_blue_candle,distractor,2,3,big_red_candle,target,3,1,small_blue_candle,distractor,1,2
5721-4,1447692984596,12,filler,feather,target,2,2,chick,distractor,3,1,gloves,distractor,1,3
5721-4,1447692988065,13,filler,cactus,target,1,1,trumpet,distractor,3,2,horse,distractor,2,3
5721-4,1447692990572,14,filler,santahat,distractor,2,1,tomato,distractor,3,3,snake,target,1,2
5721-4,1447692993801,15,filler,trumpet,distractor,2,1,rubberduck,target,1,3,snowflake,distractor,3,2
5721-4,1447692996795,16,colorAndSize,big_red_flower,target,2,2,small_purple_flower,distractor,3,3,small_purple_flower,distractor,1,1
5721-4,1447692999812,17,colorOnly,big_purple_ornament,distractor,1,3,small_purple_ornament,distractor,2,2,big_blue_ornament,target,3,1
5721-4,1447693002458,18,filler,motorcycle,distractor,2,1,penguin,target,1,3,firehydrant,distractor,3,2
5721-4,1447693004740,19,colorOnly,small_red_pepper,target,2,2,small_green_pepper,distractor,3,1,big_green_pepper,distractor,1,3
5721-4,1447693007617,20,filler,chick,distractor,1,3,iguana,target,3,1,kiwi,distractor,2,2
5721-4,1447693010214,21,colorOnly,small_pink_framee,distractor,1,3,big_pink_framee,distractor,2,2,small_green_framee,target,3,1
5721-4,1447693012818,22,filler,elephant,target,1,1,rhinoceros,distractor,3,3,fireextinguisher,distractor,2,2
5721-4,1447693015283,23,colorAndSize,small_pink_balloon,distractor,2,3,big_yellow_balloon,target,3,2,small_pink_balloon,distractor,1,1
5721-4,1447693017513,24,filler,lobster,target,1,1,watermelon,distractor,3,2,cherries,distractor,2,3
5721-4,1447693019778,25,colorAndSize,big_red_chair,distractor,3,1,small_green_chair,target,1,3,big_red_chair,distractor,2,2
5721-4,1447693022534,26,filler,teddybear,distractor,2,3,carrot,target,3,1,tophat,distractor,1,2
5721-4,1447693024702,27,filler,pumpkin,distractor,3,2,firetruck,target,2,1,broccoli,distractor,1,3
5721-4,1447693026926,28,sizeOnly,small_white_teacup,distractor,3,1,small_pink_teacup,distractor,2,2,big_pink_teacup,target,1,3
5721-4,1447693029209,29,sizeOnly,small_green_guitar,target,1,1,big_green_guitar,distractor,3,2,big_blue_guitar,distractor,2,3
5721-4,1447693034605,30,colorOnly,big_black_comb,distractor,2,3,small_black_comb,distractor,1,2,big_blue_comb,target,3,1
5721-4,1447693037112,31,filler,trumpet,distractor,2,1,smokedetector,target,1,3,horse,distractor,3,2
5721-4,1447693039799,32,filler,television,target,2,2,bulldozer,distractor,3,3,chick,distractor,1,1
5721-4,1447693043382,33,filler,banana,distractor,2,3,ketchup,target,3,2,horse,distractor,1,1
5721-4,1447693045625,34,filler,firehydrant,target,1,1,cactus,distractor,2,2,raspberry,distractor,3,3
5721-4,1447693048725,35,colorAndSize,small_blue_rug,distractor,1,2,small_blue_rug,distractor,3,1,big_purple_rug,target,2,3
5721-4,1447693051815,36,colorOnly,big_red_stapler,target,3,3,big_purple_stapler,distractor,2,1,small_purple_stapler,distractor,1,2
5721-4,1447693054658,37,colorAndSize,small_pink_bucket,target,2,2,big_red_bucket,distractor,1,3,big_red_bucket,distractor,3,1
5721-4,1447693057386,38,filler,firetruck,distractor,1,3,football,target,3,1,toilet,distractor,2,2
5721-4,1447693060082,39,filler,rhinoceros,distractor,3,1,banana,target,1,3,bison,distractor,2,2
5721-4,1447693063046,40,filler,feather,distractor,3,1,garlic,distractor,2,3,lime,target,1,2
