gameid, time, roundNum, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs 
7844-6,1447693047257,1,colorOnly,small_black_belt,target,1,1,big_brown_belt,distractor,2,2,small_brown_belt,distractor,3,3
7844-6,1447693052571,2,filler,violin,target,1,3,pumpkin,distractor,3,2,zucchini,distractor,2,1
7844-6,1447693055884,3,colorAndSize,small_purple_flower,target,1,1,big_red_flower,distractor,3,3,big_red_flower,distractor,2,2
7844-6,1447693058603,4,colorAndSize,small_green_framee,target,2,2,big_pink_framee,distractor,3,1,big_pink_framee,distractor,1,3
7844-6,1447693061325,5,filler,football,target,1,2,eggplant,distractor,2,1,chick,distractor,3,3
7844-6,1447693063660,6,colorAndSize,small_red_candle,target,1,2,big_blue_candle,distractor,3,1,big_blue_candle,distractor,2,3
7844-6,1447693068332,7,sizeOnly,small_blue_guitar,target,1,2,big_blue_guitar,distractor,2,3,big_green_guitar,distractor,3,1
7844-6,1447693071958,8,filler,piano,target,2,2,pumpkin,distractor,3,3,coconut,distractor,1,1
7844-6,1447693075245,9,colorAndSize,small_green_chair,target,3,1,big_red_chair,distractor,1,2,big_red_chair,distractor,2,3
7844-6,1447693079749,10,filler,zucchini,target,3,3,ketchup,distractor,2,1,tophat,distractor,1,2
7844-6,1447693081991,11,colorAndSize,big_red_stapler,target,1,3,small_purple_stapler,distractor,2,1,small_purple_stapler,distractor,3,2
7844-6,1447693085030,12,filler,baseball,target,3,1,television,distractor,2,2,hotdog,distractor,1,3
7844-6,1447693087608,13,colorOnly,big_orange_cap,target,2,2,big_blue_cap,distractor,1,3,small_blue_cap,distractor,3,1
7844-6,1447693089689,14,filler,firehydrant,target,1,2,rubberduck,distractor,3,3,television,distractor,2,1
7844-6,1447693092897,15,filler,zucchini,target,1,3,grapefruit,distractor,2,1,kitten,distractor,3,2
7844-6,1447693095865,16,colorOnly,big_pink_phone,target,3,3,small_white_phone,distractor,2,2,big_white_phone,distractor,1,1
7844-6,1447693098584,17,colorOnly,small_pink_teacup,target,3,1,small_white_teacup,distractor,2,2,big_white_teacup,distractor,1,3
7844-6,1447693100866,18,filler,iguana,target,2,3,schoolbus,distractor,3,2,mailbox,distractor,1,1
7844-6,1447693103178,19,filler,banana,target,2,2,zucchini,distractor,3,1,raspberry,distractor,1,3
7844-6,1447693105531,20,filler,tennisball,target,3,2,fox,distractor,1,1,carrot,distractor,2,3
7844-6,1447693108003,21,colorAndSize,small_red_bike,target,3,3,big_purple_bike,distractor,2,2,big_purple_bike,distractor,1,1
7844-6,1447693110572,22,filler,watermelon,target,3,2,fireextinguisher,distractor,1,1,pumpkin,distractor,2,3
7844-6,1447693119595,23,filler,artichoke,target,3,2,lemon,distractor,1,1,cactus,distractor,2,3
7844-6,1447693122142,24,filler,broccoli,target,1,2,carrot,distractor,3,1,sheep,distractor,2,3
7844-6,1447693124765,25,filler,violin,target,3,2,television,distractor,1,3,motorcycle,distractor,2,1
