gameid, time, roundNum, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs 
2815-9,1447835823224,1,colorAndSize,big_white_weddingcake,target,2,1,small_pink_weddingcake,distractor,1,2,small_pink_weddingcake,distractor,3,3
2815-9,1447835836874,2,colorAndSize,small_red_pepper,target,3,3,big_green_pepper,distractor,2,1,big_green_pepper,distractor,1,2
2815-9,1447835865539,3,filler,raspberry,distractor,2,2,bulldozer,distractor,3,1,snowflake,target,1,3
2815-9,1447835874245,4,filler,cherries,distractor,1,3,iguana,target,3,2,schoolbus,distractor,2,1
2815-9,1447835882981,5,filler,lemon,target,3,1,teddybear,distractor,1,2,fox,distractor,2,3
2815-9,1447835890434,6,filler,grapefruit,target,2,2,tire,distractor,3,3,coconut,distractor,1,1
2815-9,1447835898043,7,filler,pumpkin,distractor,1,3,sheep,target,3,1,motorcycle,distractor,2,2
2815-9,1447835934050,8,filler,carrot,distractor,3,2,clarinet,target,2,1,bison,distractor,1,3
2815-9,1447835942950,9,filler,bear,distractor,1,2,toilet,target,2,1,eggplant,distractor,3,3
2815-9,1447835952113,10,filler,grapefruit,target,2,1,car,distractor,1,2,bear,distractor,3,3
2815-9,1447835961531,11,filler,lemon,target,2,3,teddybear,distractor,3,1,polarbear,distractor,1,2
