gameid,time,roundNum,sender,contents
2036-f,1447692585704,1,speaker,"It's purple!"
2036-f,1447692626142,2,speaker,"It's dangerous!"
2036-f,1447692673739,3,speaker,"Mailmen dream about it"
2036-f,1447692690257,4,speaker,"I like to spank my mom with it, and it's black."
2036-f,1447692697614,5,speaker,"It's ready to eat!"
2036-f,1447692707918,6,speaker,"It's not as big, yo."
2036-f,1447692727430,7,speaker,"My favorite color, different from the other buckets."
2036-f,1447692742839,8,speaker,"It's the ugliest one."
2036-f,1447692765585,9,speaker,"Live's on a farm, and sleeps with my mom."
2036-f,1447692780810,10,speaker,"It's the tasty one in the middle."
2036-f,1447692792005,10,listener,"what color"
2036-f,1447692797208,10,speaker,"Not pink!"
2036-f,1447692811624,11,speaker,"It'll whip you with it's tail. I know~~~ It hurts~~~"
2036-f,1447692880260,12,speaker,"It's stinky."
2036-f,1447692896223,13,speaker,"It's long and hard."
2036-f,1447692917808,14,speaker,"It's edible but I hate those black seeds."
2036-f,1447692936847,15,speaker,"It's old and takes film."
2036-f,1447692944888,16,speaker,"Throw it!"
2036-f,1447692966767,17,speaker,"Blue."
2036-f,1447692979183,18,speaker,"Fluffy and cuddly."
2036-f,1447693004609,19,speaker,"Small and white, I drink my curdled milk from it, and it's on the left side."
2036-f,1447693026232,20,speaker,"I have 5 of these in my bathtub right now."
2036-f,1447693039600,21,speaker,"I'm spying on your mom with these as we speak."
2036-f,1447693059797,22,speaker,"My mom uses this for fun sometimes, and it's not the basketball. "
2036-f,1447693076295,23,speaker,"It's a different color then the rest."
2036-f,1447693084928,23,listener,"big or small?"
2036-f,1447693090025,23,speaker,"small"
2036-f,1447693107904,24,speaker,"It'll scratch and bite."
2036-f,1447693135370,25,speaker,"I'd rather eat this than the broccoli. And it's black~~~"
2036-f,1447693150684,25,speaker,"And rubber"
2036-f,1447693153267,25,speaker,"And a tire."
2036-f,1447693164824,26,speaker,"Makes music."
2036-f,1447693183995,27,speaker,"It's the one on the far right."
2036-f,1447693198641,28,speaker,"Put out a fire with it."
2036-f,1447693226633,29,speaker,"You can eat it."
2036-f,1447693233074,30,speaker,"It's green."
2036-f,1447693240881,31,speaker,"Work equipment."
2036-f,1447693248816,31,speaker,"It's yellow."
2036-f,1447693276725,32,speaker,"Purple."
2036-f,1447693285685,33,speaker,"Long hard and yellow."
2036-f,1447693307601,34,speaker,"Looks like an orange but tastes like a bitter butthole."
2036-f,1447693313860,35,speaker,"It's blue."
2036-f,1447693339498,36,speaker,"On the far left."
2036-f,1447693346866,37,speaker,"Put out fires."
2036-f,1447693373796,37,speaker,"It's red."
