workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.id,Answer.catch_trials
0,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3TY7ZAOG5FJJ3D5DUDIQCUB37V60KV,0,Submitted,Tue Nov 17 01:04:07 PST 2015,Mon Nov 16 08:07:27 PST 2015,Mon Nov 16 08:24:07 PST 2015,,,,,,"""2758-d""",[]
1,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,35K3O9HUABC7EHST19Q8H6L2T0YFET,1,Submitted,Tue Nov 17 01:04:08 PST 2015,Mon Nov 16 08:07:04 PST 2015,Mon Nov 16 08:24:08 PST 2015,,,,,,"""3075-1""",[]
2,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3G5F9DBFOPW8UO5LRP3IKVL19AEHVZ,2,Submitted,Tue Nov 17 01:04:08 PST 2015,Mon Nov 16 08:07:24 PST 2015,Mon Nov 16 08:24:08 PST 2015,,,,,,"""3075-1""",[]
3,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3HRMW88U16PET15GFPV6R737W010M0,3,Submitted,Tue Nov 17 01:04:38 PST 2015,Mon Nov 16 08:09:06 PST 2015,Mon Nov 16 08:24:38 PST 2015,,,,,,"""2758-d""",[]
4,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3OS46CRSLFYSXZL4V6CEN4WB0WYV6C,4,Submitted,Tue Nov 17 01:06:58 PST 2015,Mon Nov 16 08:07:20 PST 2015,Mon Nov 16 08:26:58 PST 2015,,,,,,"""3261-5""",[]
5,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3DHE4R9OCWALX1C8J91PXQCPXC82GD,5,Submitted,Tue Nov 17 01:07:05 PST 2015,Mon Nov 16 08:07:25 PST 2015,Mon Nov 16 08:27:05 PST 2015,,,,,,"""0313-5""",[]
6,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,36W0OB37HWDP38AVSMSL51YXXLKHZZ,6,Submitted,Tue Nov 17 01:07:12 PST 2015,Mon Nov 16 08:07:43 PST 2015,Mon Nov 16 08:27:12 PST 2015,,,,,,"""0313-5""",[]
7,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,36H9ULYP62TFPXELFA1ZEMYUY8UFJE,7,Submitted,Tue Nov 17 01:07:44 PST 2015,Mon Nov 16 08:07:27 PST 2015,Mon Nov 16 08:27:44 PST 2015,,,,,,"""3261-5""",[]
8,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3AZHRG4CU4JD7FX697QRV8U1W9K30N,8,Submitted,Tue Nov 17 01:07:49 PST 2015,Mon Nov 16 08:07:24 PST 2015,Mon Nov 16 08:27:49 PST 2015,,,,,,"""2809-4""",[]
9,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,354P56DE9K2V97I5KLC1IVC0W3O7SI,9,Submitted,Tue Nov 17 01:07:49 PST 2015,Mon Nov 16 08:07:26 PST 2015,Mon Nov 16 08:27:49 PST 2015,,,,,,"""2809-4""",[]
10,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,34HJIJKLP5VEICHQCIJZQ6CX45SV4R,10,Submitted,Tue Nov 17 01:10:12 PST 2015,Mon Nov 16 08:07:19 PST 2015,Mon Nov 16 08:30:12 PST 2015,,,,,,"""1022-7""",[]
11,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3VZLGYJEYL9MPYAAXQA78NMRLB3XZ8,11,Submitted,Tue Nov 17 01:10:17 PST 2015,Mon Nov 16 08:07:28 PST 2015,Mon Nov 16 08:30:17 PST 2015,,,,,,"""1022-7""",[]
12,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3JJVG1YBEBWH5HNKL6B9UMO4198B57,12,Submitted,Tue Nov 17 01:16:44 PST 2015,Mon Nov 16 08:09:26 PST 2015,Mon Nov 16 08:36:44 PST 2015,,,,,,"""5518-8""",[]
13,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3VW04L3ZLT5XK3AVW8MMB26GDB5XXB,13,Submitted,Tue Nov 17 01:16:56 PST 2015,Mon Nov 16 08:09:30 PST 2015,Mon Nov 16 08:36:56 PST 2015,,,,,,"""5518-8""",[]
14,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,33FBRBDW6OYJ24YSX4E7HQ4DLK98CD,14,Submitted,Tue Nov 17 01:22:19 PST 2015,Mon Nov 16 08:07:26 PST 2015,Mon Nov 16 08:42:19 PST 2015,,,,,,"""8879-f""",[]
15,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,32UTUBMZ7GVY3B2ZRXTMYKI3EX9VBX,15,Submitted,Tue Nov 17 01:22:22 PST 2015,Mon Nov 16 08:07:26 PST 2015,Mon Nov 16 08:42:22 PST 2015,,,,,,"""8879-f""",[]
16,375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3RDWCCLNIFS2XKA98XBNOIWDFUITPC,Language study,A 25-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$2.50,Mon Nov 16 08:06:44 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 16 08:06:44 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=375VMB7D4IIJAIIPGKG7Q1KNE9VDI7,3DBQWDE4Y6XJ6QCHOWGILHOYIYLN57,16,Submitted,Tue Nov 17 01:23:14 PST 2015,Mon Nov 16 08:07:20 PST 2015,Mon Nov 16 08:43:14 PST 2015,,,,,,"""2444-b""",[]
