gameid, time, roundNum, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs 
5167-d,1447989197802,1,distr12,kiwi,target,3,2,muffin,distractor,2,3,banana,distractor,1,1
5167-d,1447989204274,2,sizeOnly,small_red_stapler,target,1,2,big_red_stapler,distractor,3,3,big_purple_stapler,distractor,2,1
5167-d,1447989211713,3,sizeOnly,small_red_pepper,target,1,2,big_green_pepper,distractor,3,1,big_red_pepper,distractor,2,3
5167-d,1447989216481,4,sizeOnly,big_purple_billiardball,target,1,2,small_orange_billiardball,distractor,2,1,small_purple_billiardball,distractor,3,3
5167-d,1447989221251,5,distr12,laptop,distractor,3,2,car,target,2,3,garbageTruck,distractor,1,1
5167-d,1447989226117,6,colorOnly,big_orange_napkin,target,3,2,small_yellow_napkin,distractor,1,1,big_yellow_napkin,distractor,2,3
5167-d,1447989230714,7,distr23,tennisball,distractor,2,2,rice,distractor,3,1,pineapple,target,1,3
5167-d,1447989235331,8,distr23,eraser,distractor,2,2,shirt,distractor,3,3,piano,target,1,1
5167-d,1447989239944,9,distr33,eraser,distractor,2,2,bed,target,3,1,boy,distractor,1,3
5167-d,1447989244642,10,distr22,iguana,distractor,2,2,lab,target,1,1,flamingo,distractor,3,3
5167-d,1447989249084,11,colorAndSize,big_purple_hairdryer,distractor,2,2,big_purple_hairdryer,distractor,1,3,small_pink_hairdryer,target,3,1
5167-d,1447989253542,12,distr33,sheep,distractor,2,2,tent,target,1,3,lobster,distractor,3,1
5167-d,1447989258327,13,distr33,egg,distractor,3,2,restaurant,distractor,2,3,flute,target,1,1
5167-d,1447989262843,14,colorAndSize,big_purple_butterfly,target,2,2,small_blue_butterfly,distractor,3,3,small_blue_butterfly,distractor,1,1
5167-d,1447989267123,15,colorAndSize,big_green_rock,distractor,1,2,big_green_rock,distractor,3,1,small_purple_rock,target,2,3
5167-d,1447989273293,16,distr33,corn,target,1,2,school,distractor,3,3,museum,distractor,2,1
5167-d,1447989278473,17,distr12,dalmatian,target,1,2,penguin,distractor,2,1,dachshund,distractor,3,3
5167-d,1447989283459,18,colorAndSize,small_blue_rug,distractor,1,2,small_blue_rug,distractor,3,1,big_purple_rug,target,2,3
5167-d,1447989288341,19,colorOnly,big_green_guitar,target,3,2,big_blue_guitar,distractor,2,1,small_blue_guitar,distractor,1,3
5167-d,1447989292834,20,colorAndSize,small_black_turtle,target,1,2,big_brown_turtle,distractor,2,1,big_brown_turtle,distractor,3,3
5167-d,1447989297204,21,colorOnly,small_orange_cap,target,2,2,small_blue_cap,distractor,1,3,big_blue_cap,distractor,3,1
5167-d,1447989301767,22,distr12,cactus,distractor,3,2,hamster,distractor,1,3,tree,target,2,1
5167-d,1447989306160,23,colorOnly,small_red_toothbrush,distractor,3,2,small_blue_toothbrush,target,2,3,big_red_toothbrush,distractor,1,1
5167-d,1447989312264,24,distr22,fries,distractor,2,2,chocolate,distractor,1,1,broccoli,target,3,3
5167-d,1447989316638,25,colorAndSize,small_white_teacup,distractor,1,2,big_pink_teacup,target,3,1,small_white_teacup,distractor,2,3
5167-d,1447989321726,26,sizeOnly,small_green_jacket,target,3,2,big_green_jacket,distractor,1,1,big_brown_jacket,distractor,2,3
5167-d,1447989328514,27,distr12,dandelion,target,3,2,primrose,distractor,1,1,mushroom,distractor,2,3
5167-d,1447989332967,28,colorOnly,big_black_book,distractor,3,2,big_blue_book,target,2,1,small_black_book,distractor,1,3
5167-d,1447989337576,29,distr23,saxophone,target,3,2,mushroom,distractor,1,3,pencil,distractor,2,1
