gameid,time,roundNum,sender,contents
1105-6,1447989443894,1,listener,"c"
1105-6,1447989450068,2,listener,"c"
1105-6,1447989457562,3,listener,"c"
1105-6,1447989462349,4,listener,"c"
1105-6,1447989467064,5,listener,"c"
1105-6,1447989471484,6,listener,"c"
1105-6,1447989477679,7,listener,"c"
1105-6,1447989482241,8,listener,"c"
1105-6,1447989486805,9,listener,"c"
1105-6,1447989491281,10,listener,"c"
1105-6,1447989495916,11,listener,"c"
1105-6,1447989500367,12,listener,"c"
1105-6,1447989504861,13,listener,"c"
1105-6,1447989510375,14,listener,"c"
1105-6,1447989515330,15,listener,"c"
1105-6,1447989520336,16,listener,"c"
1105-6,1447989524978,17,listener,"c"
1105-6,1447989529613,18,listener,"c"
1105-6,1447989534233,19,listener,"c"
1105-6,1447989540324,20,listener,"c"
1105-6,1447989544989,21,listener,"c"
1105-6,1447989549609,22,listener,"c"
1105-6,1447989556709,23,listener,"c"
1105-6,1447989564794,24,listener,"c"
1105-6,1447989569389,25,listener,"c"
1105-6,1447989573609,26,listener,"c"
1105-6,1447989577906,27,listener,"c"
