gameid, time, roundNum, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs 
4946-2,1448004705477,1,colorAndSize,big_blue_tack,target,1,1,small_red_tack,distractor,3,3,small_red_tack,distractor,2,2
4946-2,1448004715482,2,distr23,corn,target,1,3,bread,distractor,3,1,sandwich,distractor,2,2
4946-2,1448004718923,3,distr22,chive,distractor,2,3,strawberryPlant,distractor,1,1,sunflower,target,3,2
4946-2,1448004722476,4,distr22,tennisball,distractor,1,3,flute,target,3,1,pencil,distractor,2,2
4946-2,1448004725484,5,distr33,igloo,target,1,3,garbagecan,distractor,3,2,pizza,distractor,2,1
4946-2,1448004728215,6,colorOnly,big_purple_flower,distractor,2,3,big_red_flower,target,1,2,small_purple_flower,distractor,3,1
4946-2,1448004731368,7,distr12,moss,distractor,3,3,elephant,distractor,1,1,dandelion,target,2,2
4946-2,1448004734247,8,colorOnly,small_brown_jacket,target,1,3,small_green_jacket,distractor,2,2,big_green_jacket,distractor,3,1
4946-2,1448004737251,9,distr12,penguin,distractor,1,3,collie,distractor,3,2,lab,target,2,1
4946-2,1448004740075,10,sizeOnly,small_blue_guitar,target,2,3,big_green_guitar,distractor,1,2,big_blue_guitar,distractor,3,1
4946-2,1448004744003,11,distr22,rosemary,distractor,3,3,ivy,distractor,2,2,rose,target,1,1
4946-2,1448004747325,12,distr33,cherryTree,distractor,1,3,garbagecan,distractor,3,2,zucchini,target,2,1
4946-2,1448004750217,13,distr23,apartment,target,2,3,laptop,distractor,3,1,restaurant,distractor,1,2
4946-2,1448004754398,14,distr23,crocodile,distractor,1,3,restaurant,distractor,2,1,dalmatian,target,3,2
4946-2,1448004757285,15,distr33,piano,target,3,3,smokedetector,distractor,2,2,horse,distractor,1,1
4946-2,1448004760058,16,colorOnly,small_purple_rug,distractor,3,3,big_blue_rug,target,2,1,big_purple_rug,distractor,1,2
4946-2,1448004763235,17,distr33,broccoli,target,2,3,cookies,distractor,1,2,barber,distractor,3,1
