gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, domainClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Domain, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Domain, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Domain, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Domain, alt4superdomain
2751-3,1448991454790,1,colorSizeTrial,sizeOnly4Distr3Same,big_orange_napkin,target,4,5,NA,NA,small_orange_napkin,distractor,1,2,NA,NA,small_orange_napkin,distractor,5,3,NA,NA,small_orange_napkin,distractor,3,1,NA,NA,small_yellow_napkin,distractor,2,4,NA,NA
2751-3,1448991468174,2,subSuperTrial,distr23,wardrobe,target,4,2,furniture,object,washingmachine,distrClass2,3,3,NA,object,blackStimulus,NA,5,5,NA,NA,iguana,distrClass3,2,4,NA,animal,blackStimulus,NA,1,1,NA,NA
2751-3,1448991477081,3,colorSizeTrial,sizeOnly2Distr2Same,big_red_bucket,target,4,4,NA,NA,blackStimulus,NA,5,5,NA,NA,small_red_bucket,distractor,2,3,NA,NA,blackStimulus,NA,1,1,NA,NA,small_red_bucket,distractor,3,2,NA,NA
2751-3,1448991485002,4,subSuperTrial,distr33,ambulance,target,2,2,vehicle,object,blackStimulus,NA,5,5,NA,NA,rhino,distrClass3,4,3,NA,animal,blackStimulus,NA,1,1,NA,NA,lion,distrClass3,3,4,NA,animal
2751-3,1448991491969,5,colorSizeTrial,sizeOnly2Distr2Same,small_blue_golfball,target,2,3,NA,NA,blackStimulus,NA,5,5,NA,NA,big_blue_golfball,distractor,3,2,NA,NA,blackStimulus,NA,1,1,NA,NA,big_blue_golfball,distractor,4,4,NA,NA
2751-3,1448991500771,6,subSuperTrial,distr23,clarinet,target,2,4,instrument,object,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,rice,distrClass3,4,2,NA,food,firehydrant,distrClass2,3,3,NA,object
2751-3,1448991506391,7,subSuperTrial,distr12,piano,target,2,2,instrument,object,violin,distrClass1,4,4,instrument,object,tennisball,distrClass2,3,3,NA,object,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA
2751-3,1448991511976,8,subSuperTrial,distr22,boat,target,3,2,vehicle,object,backpack,distrClass2,4,3,NA,object,tooth,distrClass2,2,4,NA,object,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA
2751-3,1448991522504,9,colorSizeTrial,colorOnly2Distr1Same,small_red_flower,target,4,4,NA,NA,blackStimulus,NA,1,1,NA,NA,small_purple_flower,distractor,3,2,NA,NA,blackStimulus,NA,5,5,NA,NA,big_purple_flower,distractor,2,3,NA,NA
2751-3,1448991527334,10,subSuperTrial,distr22,bra,target,2,2,clothing,object,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,walkietalkie,distrClass2,4,4,NA,object,tv,distrClass2,3,3,NA,object
2751-3,1448991533616,11,colorSizeTrial,sizeOnly4Distr4Same,big_red_tack,target,2,1,NA,NA,small_red_tack,distractor,4,2,NA,NA,small_red_tack,distractor,5,3,NA,NA,small_red_tack,distractor,3,4,NA,NA,small_red_tack,distractor,1,5,NA,NA
2751-3,1448991542227,12,subSuperTrial,distr23,firetruck,target,4,3,vehicle,object,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,firemanhat,distrClass2,3,4,NA,object,hotdog,distrClass3,2,2,NA,food
2751-3,1448991548639,13,colorSizeTrial,sizeOnly4Distr3Same,small_blue_ornament,target,1,3,NA,NA,big_blue_ornament,distractor,2,5,NA,NA,big_blue_ornament,distractor,5,1,NA,NA,big_purple_ornament,distractor,3,4,NA,NA,big_blue_ornament,distractor,4,2,NA,NA
2751-3,1448991553238,14,subSuperTrial,distr12,belt2,target,2,3,clothing,object,toilet,distrClass2,3,2,NA,object,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,socks,distrClass1,4,4,clothing,object
2751-3,1448991558037,15,subSuperTrial,distr23,rose,target,4,4,flower,plant,blackStimulus,NA,1,1,NA,NA,eraser,distrClass3,3,3,NA,object,bambus,distrClass2,2,2,NA,plant,blackStimulus,NA,5,5,NA,NA
2751-3,1448991564072,16,subSuperTrial,distr23,grapefruit,target,4,2,fruit,food,walkietalkie,distrClass3,2,4,NA,object,blackStimulus,NA,5,5,NA,NA,pizza,distrClass2,3,3,NA,food,blackStimulus,NA,1,1,NA,NA
2751-3,1448991572147,17,colorSizeTrial,sizeOnly4Distr1Same,big_orange_coathanger,target,3,3,NA,NA,small_purple_coathanger,distractor,5,1,NA,NA,small_purple_coathanger,distractor,4,4,NA,NA,small_orange_coathanger,distractor,1,5,NA,NA,small_purple_coathanger,distractor,2,2,NA,NA
2751-3,1448991577604,18,colorSizeTrial,colorOnly4Distr4Same,small_brown_jacket,target,1,2,NA,NA,small_green_jacket,distractor,2,1,NA,NA,small_green_jacket,distractor,3,3,NA,NA,small_green_jacket,distractor,4,4,NA,NA,small_green_jacket,distractor,5,5,NA,NA
2751-3,1448991583451,19,colorSizeTrial,sizeOnly4Distr1Same,big_blue_book,target,1,5,NA,NA,small_blue_book,distractor,2,4,NA,NA,small_black_book,distractor,3,2,NA,NA,small_black_book,distractor,5,1,NA,NA,small_black_book,distractor,4,3,NA,NA
2751-3,1448991589096,20,subSuperTrial,distr22,saxophone,target,3,3,instrument,object,blackStimulus,NA,5,5,NA,NA,sideroadsign,distrClass2,4,4,NA,object,baseball,distrClass2,2,2,NA,object,blackStimulus,NA,1,1,NA,NA
2751-3,1448991593938,21,subSuperTrial,distr22,igloo,target,3,4,house,place,church,distrClass2,2,2,NA,place,blackStimulus,NA,1,1,NA,NA,temple,distrClass2,4,3,NA,place,blackStimulus,NA,5,5,NA,NA
2751-3,1448991598844,22,colorSizeTrial,colorOnly4Distr3Same,small_pink_hairdryer,target,1,3,NA,NA,small_purple_hairdryer,distractor,5,2,NA,NA,small_purple_hairdryer,distractor,3,4,NA,NA,big_purple_hairdryer,distractor,4,1,NA,NA,small_purple_hairdryer,distractor,2,5,NA,NA
2751-3,1448991603257,23,colorSizeTrial,colorOnly2Distr2Same,small_pink_framee,target,4,3,NA,NA,small_green_framee,distractor,2,4,NA,NA,blackStimulus,NA,1,1,NA,NA,small_green_framee,distractor,3,2,NA,NA,blackStimulus,NA,5,5,NA,NA
2751-3,1448991608306,24,colorSizeTrial,sizeOnly4Distr4Same,big_pink_phone,target,5,4,NA,NA,small_pink_phone,distractor,4,1,NA,NA,small_pink_phone,distractor,1,5,NA,NA,small_pink_phone,distractor,2,2,NA,NA,small_pink_phone,distractor,3,3,NA,NA
2751-3,1448991614073,25,subSuperTrial,distr22,swimsuit,target,3,4,clothing,object,moviecamera,distrClass2,2,3,NA,object,blackStimulus,NA,1,1,NA,NA,mailbox,distrClass2,4,2,NA,object,blackStimulus,NA,5,5,NA,NA
2751-3,1448991619162,26,colorSizeTrial,colorOnly2Distr1Same,small_red_toothbrush,target,2,4,NA,NA,small_blue_toothbrush,distractor,3,3,NA,NA,big_blue_toothbrush,distractor,4,2,NA,NA,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA
2751-3,1448991623618,27,colorSizeTrial,colorOnly2Distr2Same,big_purple_rug,target,2,2,NA,NA,big_blue_rug,distractor,3,4,NA,NA,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,big_blue_rug,distractor,4,3,NA,NA
2751-3,1448991628395,28,colorSizeTrial,sizeOnly2Distr2Same,small_red_bike,target,2,4,NA,NA,blackStimulus,NA,5,5,NA,NA,big_red_bike,distractor,3,2,NA,NA,big_red_bike,distractor,4,3,NA,NA,blackStimulus,NA,1,1,NA,NA
2751-3,1448991633568,29,subSuperTrial,distr33,carrot,target,2,2,vegetable,food,tire,distrClass3,4,3,NA,object,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,church,distrClass3,3,4,NA,place
2751-3,1448991639141,30,colorSizeTrial,sizeOnly4Distr2Same,small_red_candle,target,5,3,NA,NA,big_blue_candle,distractor,1,5,NA,NA,big_red_candle,distractor,2,4,NA,NA,big_red_candle,distractor,4,2,NA,NA,big_blue_candle,distractor,3,1,NA,NA
2751-3,1448991645900,31,colorSizeTrial,colorOnly4Distr2Same,big_black_belt,target,5,3,NA,NA,small_brown_belt,distractor,3,4,NA,NA,small_brown_belt,distractor,4,2,NA,NA,big_brown_belt,distractor,1,1,NA,NA,big_brown_belt,distractor,2,5,NA,NA
2751-3,1448991657911,32,subSuperTrial,distr12,eggplant,target,4,3,vegetable,food,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,broccoli,distrClass1,2,4,vegetable,food,fries,distrClass2,3,2,NA,food
2751-3,1448991663471,33,colorSizeTrial,sizeOnly4Distr2Same,big_pink_weddingcake,target,5,3,NA,NA,small_white_weddingcake,distractor,4,1,NA,NA,small_pink_weddingcake,distractor,1,5,NA,NA,small_pink_weddingcake,distractor,2,2,NA,NA,small_white_weddingcake,distractor,3,4,NA,NA
2751-3,1448991669531,34,colorSizeTrial,colorOnly4Distr2Same,small_orange_billiardball,target,1,3,NA,NA,big_purple_billiardball,distractor,5,5,NA,NA,big_purple_billiardball,distractor,4,2,NA,NA,small_purple_billiardball,distractor,2,4,NA,NA,small_purple_billiardball,distractor,3,1,NA,NA
2751-3,1448991676648,35,subSuperTrial,distr12,bike2,target,3,2,vehicle,object,teddybear,distrClass2,2,3,NA,object,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,motorcycle,distrClass1,4,4,vehicle,object
2751-3,1448991681601,36,subSuperTrial,distr33,tent,target,4,4,house,place,blackStimulus,NA,5,5,NA,NA,pottedPlant,distrClass3,2,2,NA,plant,blackStimulus,NA,1,1,NA,NA,firehydrant,distrClass3,3,3,NA,object
2751-3,1448991686203,37,subSuperTrial,distr22,corn,target,2,4,vegetable,food,blackStimulus,NA,5,5,NA,NA,pasta,distrClass2,3,3,NA,food,blackStimulus,NA,1,1,NA,NA,bread,distrClass2,4,2,NA,food
2751-3,1448991690604,38,colorSizeTrial,colorOnly4Distr1Same,small_white_shoe,target,4,5,NA,NA,big_yellow_shoe,distractor,1,2,NA,NA,small_yellow_shoe,distractor,3,3,NA,NA,big_yellow_shoe,distractor,5,1,NA,NA,big_yellow_shoe,distractor,2,4,NA,NA
2751-3,1448991696877,39,subSuperTrial,distr22,daisy,target,2,4,flower,plant,cherryTree,distrClass2,3,2,NA,plant,blackStimulus,NA,1,1,NA,NA,ivy,distrClass2,4,3,NA,plant,blackStimulus,NA,5,5,NA,NA
2751-3,1448991702053,40,subSuperTrial,distr23,lime,target,3,4,fruit,food,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,hotdog,distrClass2,2,2,NA,food,lion,distrClass3,4,3,NA,animal
2751-3,1448991708727,41,subSuperTrial,distr33,sunflower,target,3,2,flower,plant,blackStimulus,NA,1,1,NA,NA,backpack,distrClass3,4,3,NA,object,blackStimulus,NA,5,5,NA,NA,record,distrClass3,2,4,NA,object
2751-3,1448991714054,42,subSuperTrial,distr33,pasta,distrClass3,3,3,NA,food,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,dalmatian,target,2,2,dog,animal,cigar,distrClass3,4,4,NA,object
2751-3,1448991720817,43,subSuperTrial,distr22,pineapple,target,4,2,fruit,food,burger,distrClass2,3,4,NA,food,blackStimulus,NA,5,5,NA,NA,chocolate,distrClass2,2,3,NA,food,blackStimulus,NA,1,1,NA,NA
2751-3,1448991725653,44,colorSizeTrial,sizeOnly2Distr2Same,big_red_chair,target,3,3,NA,NA,blackStimulus,NA,1,1,NA,NA,small_red_chair,distractor,4,4,NA,NA,blackStimulus,NA,5,5,NA,NA,small_red_chair,distractor,2,2,NA,NA
2751-3,1448991731070,45,colorSizeTrial,sizeOnly4Distr4Same,big_green_binder,target,3,5,NA,NA,small_green_binder,distractor,2,1,NA,NA,small_green_binder,distractor,1,4,NA,NA,small_green_binder,distractor,4,3,NA,NA,small_green_binder,distractor,5,2,NA,NA
2751-3,1448991737199,46,subSuperTrial,distr33,tulip,target,2,2,flower,plant,binoculars,distrClass3,3,4,NA,object,hotdog,distrClass3,4,3,NA,food,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA
2751-3,1448991742788,47,colorSizeTrial,colorOnly4Distr3Same,small_blue_cap,target,5,1,NA,NA,small_orange_cap,distractor,1,5,NA,NA,small_orange_cap,distractor,3,4,NA,NA,big_orange_cap,distractor,4,2,NA,NA,small_orange_cap,distractor,2,3,NA,NA
2751-3,1448991749208,48,colorSizeTrial,colorOnly4Distr4Same,big_orange_cushion,target,5,1,NA,NA,big_blue_cushion,distractor,3,5,NA,NA,big_blue_cushion,distractor,1,4,NA,NA,big_blue_cushion,distractor,2,3,NA,NA,big_blue_cushion,distractor,4,2,NA,NA
2751-3,1448991753399,49,colorSizeTrial,sizeOnly4Distr4Same,big_black_avocado,target,5,2,NA,NA,small_black_avocado,distractor,4,5,NA,NA,small_black_avocado,distractor,1,1,NA,NA,small_black_avocado,distractor,2,4,NA,NA,small_black_avocado,distractor,3,3,NA,NA
2751-3,1448991760940,50,colorSizeTrial,sizeOnly4Distr2Same,big_blue_comb,target,4,3,NA,NA,small_black_comb,distractor,5,4,NA,NA,small_blue_comb,distractor,2,1,NA,NA,small_black_comb,distractor,1,5,NA,NA,small_blue_comb,distractor,3,2,NA,NA
2751-3,1448991766201,51,colorSizeTrial,sizeOnly4Distr2Same,big_red_yarn,target,2,4,NA,NA,small_purple_yarn,distractor,4,1,NA,NA,small_red_yarn,distractor,3,5,NA,NA,small_purple_yarn,distractor,5,3,NA,NA,small_red_yarn,distractor,1,2,NA,NA
2751-3,1448991770904,52,subSuperTrial,distr22,bed,target,4,4,furniture,object,blackStimulus,NA,5,5,NA,NA,greekcolumn,distrClass2,2,2,NA,object,blackStimulus,NA,1,1,NA,NA,rubberduck,distrClass2,3,3,NA,object
2751-3,1448991775081,53,subSuperTrial,distr33,germanShepherd,target,4,3,dog,animal,teddybear,distrClass3,2,4,NA,object,cheese,distrClass3,3,2,NA,food,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA
2751-3,1448991781612,54,colorSizeTrial,sizeOnly4Distr1Same,small_pink_balloon,target,5,5,NA,NA,big_pink_balloon,distractor,3,2,NA,NA,big_yellow_balloon,distractor,4,1,NA,NA,big_yellow_balloon,distractor,1,4,NA,NA,big_yellow_balloon,distractor,2,3,NA,NA
2751-3,1448991786299,55,subSuperTrial,distr23,bathrobe,target,3,2,clothing,object,grasses,distrClass3,4,4,NA,plant,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,pencil,distrClass2,2,3,NA,object
2751-3,1448991801282,56,subSuperTrial,distr12,husky,target,3,2,dog,animal,blackStimulus,NA,5,5,NA,NA,bear,distrClass2,4,3,NA,animal,beagle,distrClass1,2,4,dog,animal,blackStimulus,NA,1,1,NA,NA
2751-3,1448991806643,57,colorSizeTrial,sizeOnly2Distr1Same,small_green_bracelet,target,2,2,NA,NA,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,big_green_bracelet,distractor,3,3,NA,NA,big_purple_bracelet,distractor,4,4,NA,NA
2751-3,1448991811581,58,subSuperTrial,distr33,banjo,target,4,3,instrument,object,penguin,distrClass3,2,2,NA,animal,crocodile,distrClass3,3,4,NA,animal,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA
2751-3,1448991817315,59,colorSizeTrial,sizeOnly2Distr1Same,small_green_pepper,target,3,4,NA,NA,big_red_pepper,distractor,4,2,NA,NA,blackStimulus,NA,5,5,NA,NA,big_green_pepper,distractor,2,3,NA,NA,blackStimulus,NA,1,1,NA,NA
2751-3,1448991822842,60,colorSizeTrial,sizeOnly4Distr3Same,big_blue_guitar,target,1,5,NA,NA,small_green_guitar,distractor,3,4,NA,NA,small_blue_guitar,distractor,5,2,NA,NA,small_blue_guitar,distractor,2,3,NA,NA,small_blue_guitar,distractor,4,1,NA,NA
2751-3,1448991831385,61,subSuperTrial,distr12,trailer,target,3,3,house,place,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,mosque,distrClass2,4,4,NA,place,teepee,distrClass1,2,2,house,place
2751-3,1448991843863,62,subSuperTrial,distr12,cottage,target,4,2,house,place,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,museum,distrClass2,2,4,NA,place,hut,distrClass1,3,3,house,place
2751-3,1448991848827,63,colorSizeTrial,sizeOnly2Distr1Same,big_purple_stapler,target,4,2,NA,NA,small_red_stapler,distractor,3,4,NA,NA,small_purple_stapler,distractor,2,3,NA,NA,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA
2751-3,1448991853935,64,colorSizeTrial,sizeOnly2Distr1Same,big_pink_teacup,target,3,4,NA,NA,small_white_teacup,distractor,2,2,NA,NA,blackStimulus,NA,1,1,NA,NA,small_pink_teacup,distractor,4,3,NA,NA,blackStimulus,NA,5,5,NA,NA
2751-3,1448991858273,65,subSuperTrial,distr23,pug,target,3,4,dog,animal,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,iguana,distrClass2,2,2,NA,animal,fries,distrClass3,4,3,NA,food
2751-3,1448991863840,66,subSuperTrial,distr33,bookcase,target,3,3,furniture,object,bread,distrClass3,2,2,NA,food,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,iguana,distrClass3,4,4,NA,animal
2751-3,1448991869560,67,subSuperTrial,distr12,mushroom,target,4,4,vegetable,food,pumpkin,distrClass1,3,2,vegetable,food,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,pancake,distrClass2,2,3,NA,food
