gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, domainClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Domain, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Domain, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Domain, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Domain, alt4superdomain
3884-2,1448897231998,1,subSuperTrial,distr12,clarinet,target,4,2,instrument,object,moviecamera,distrClass2,3,4,NA,object,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,violin,distrClass1,2,3,instrument,object
3884-2,1448897239049,2,colorSizeTrial,sizeOnly2Distr1Same,big_purple_butterfly,target,3,2,NA,NA,small_purple_butterfly,distractor,4,3,NA,NA,small_blue_butterfly,distractor,2,4,NA,NA,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA
3884-2,1448897247922,3,subSuperTrial,distr22,mushroom,target,3,2,vegetable,food,sandwich,distrClass2,4,4,NA,food,blackStimulus,NA,1,1,NA,NA,hotdog,distrClass2,2,3,NA,food,blackStimulus,NA,5,5,NA,NA
3884-2,1448897252634,4,subSuperTrial,distr33,bike2,target,2,3,vehicle,object,fir,distrClass3,4,2,NA,plant,fir,distrClass3,3,4,NA,plant,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA
3884-2,1448897260066,5,colorSizeTrial,sizeOnly4Distr2Same,small_pink_weddingcake,target,5,3,NA,NA,big_pink_weddingcake,distractor,3,5,NA,NA,big_white_weddingcake,distractor,4,2,NA,NA,big_white_weddingcake,distractor,1,4,NA,NA,big_pink_weddingcake,distractor,2,1,NA,NA
3884-2,1448897267067,6,colorSizeTrial,colorOnly2Distr2Same,small_black_book,target,2,2,NA,NA,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,small_blue_book,distractor,3,3,NA,NA,small_blue_book,distractor,4,4,NA,NA
3884-2,1448897272922,7,colorSizeTrial,sizeOnly4Distr1Same,small_pink_bucket,target,2,5,NA,NA,big_red_bucket,distractor,1,2,NA,NA,big_red_bucket,distractor,5,3,NA,NA,big_pink_bucket,distractor,4,4,NA,NA,big_red_bucket,distractor,3,1,NA,NA
3884-2,1448897283737,8,colorSizeTrial,colorOnly4Distr2Same,big_blue_golfball,target,4,4,NA,NA,small_pink_golfball,distractor,5,3,NA,NA,small_pink_golfball,distractor,3,1,NA,NA,big_pink_golfball,distractor,2,5,NA,NA,big_pink_golfball,distractor,1,2,NA,NA
3884-2,1448897289548,9,subSuperTrial,distr33,husky,target,2,2,dog,animal,blackStimulus,NA,1,1,NA,NA,moviecamera,distrClass3,3,3,NA,object,ketchup,distrClass3,4,4,NA,food,blackStimulus,NA,5,5,NA,NA
3884-2,1448897300514,10,subSuperTrial,distr33,rose,target,2,4,flower,plant,burger,distrClass3,3,3,NA,food,blackStimulus,NA,1,1,NA,NA,temple,distrClass3,4,2,NA,place,blackStimulus,NA,5,5,NA,NA
3884-2,1448897308595,11,colorSizeTrial,sizeOnly4Distr3Same,big_blue_candle,target,4,2,NA,NA,small_blue_candle,distractor,5,4,NA,NA,small_red_candle,distractor,2,3,NA,NA,small_blue_candle,distractor,1,1,NA,NA,small_blue_candle,distractor,3,5,NA,NA
3884-2,1448897314347,12,subSuperTrial,distr22,banjo,target,2,3,instrument,object,toilet,distrClass2,3,2,NA,object,baseball,distrClass2,4,4,NA,object,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA
3884-2,1448897322443,13,colorSizeTrial,sizeOnly2Distr2Same,big_red_toothbrush,target,2,4,NA,NA,blackStimulus,NA,1,1,NA,NA,small_red_toothbrush,distractor,3,3,NA,NA,small_red_toothbrush,distractor,4,2,NA,NA,blackStimulus,NA,5,5,NA,NA
3884-2,1448897329362,14,colorSizeTrial,sizeOnly4Distr4Same,small_orange_coathanger,target,4,4,NA,NA,big_orange_coathanger,distractor,2,3,NA,NA,big_orange_coathanger,distractor,1,5,NA,NA,big_orange_coathanger,distractor,3,1,NA,NA,big_orange_coathanger,distractor,5,2,NA,NA
3884-2,1448897340155,15,subSuperTrial,distr22,trailer,target,3,3,house,place,blackStimulus,NA,5,5,NA,NA,museum,distrClass2,4,2,NA,place,blackStimulus,NA,1,1,NA,NA,temple,distrClass2,2,4,NA,place
3884-2,1448897348283,16,subSuperTrial,distr23,germanShepherd,target,2,2,dog,animal,blackStimulus,NA,1,1,NA,NA,penguin,distrClass2,4,4,NA,animal,blackStimulus,NA,5,5,NA,NA,smokedetector,distrClass3,3,3,NA,object
3884-2,1448897354227,17,colorSizeTrial,sizeOnly2Distr1Same,small_pink_phone,target,2,4,NA,NA,blackStimulus,NA,1,1,NA,NA,big_white_phone,distractor,3,3,NA,NA,blackStimulus,NA,5,5,NA,NA,big_pink_phone,distractor,4,2,NA,NA
3884-2,1448897360146,18,colorSizeTrial,sizeOnly4Distr3Same,small_pink_balloon,target,1,3,NA,NA,big_yellow_balloon,distractor,4,4,NA,NA,big_pink_balloon,distractor,2,1,NA,NA,big_pink_balloon,distractor,3,5,NA,NA,big_pink_balloon,distractor,5,2,NA,NA
