gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, domainClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Domain, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Domain, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Domain, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Domain, alt4superdomain
9463-9,1448897777377,1,subSuperTrial,distr12,corn,target,3,4,vegetable,food,bread,distrClass2,2,2,NA,food,tomato,distrClass1,4,3,vegetable,food,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA
9463-9,1448897783613,2,subSuperTrial,distr23,bike2,target,2,3,vehicle,object,tennisball,distrClass2,3,4,NA,object,blackStimulus,NA,5,5,NA,NA,rice,distrClass3,4,2,NA,food,blackStimulus,NA,1,1,NA,NA
9463-9,1448897790431,3,subSuperTrial,distr33,wardrobe,target,3,4,furniture,object,bear,distrClass3,2,3,NA,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,lion,distrClass3,4,2,NA,animal
9463-9,1448897801442,4,colorSizeTrial,sizeOnly2Distr1Same,big_blue_comb,distractor,3,4,NA,NA,blackStimulus,NA,1,1,NA,NA,big_black_comb,distractor,4,2,NA,NA,small_blue_comb,target,2,3,NA,NA,blackStimulus,NA,5,5,NA,NA
9463-9,1448897807667,5,subSuperTrial,distr12,lime,target,3,2,fruit,food,fries,distrClass2,2,3,NA,food,cherries,distrClass1,4,4,fruit,food,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA
9463-9,1448897817522,6,subSuperTrial,distr22,bookcase,target,4,3,furniture,object,blackStimulus,NA,1,1,NA,NA,backpack,distrClass2,3,2,NA,object,tire,distrClass2,2,4,NA,object,blackStimulus,NA,5,5,NA,NA
9463-9,1448897833220,7,colorSizeTrial,sizeOnly4Distr2Same,small_black_book,target,5,3,NA,NA,big_blue_book,distractor,4,1,NA,NA,big_black_book,distractor,1,4,NA,NA,big_black_book,distractor,2,5,NA,NA,big_blue_book,distractor,3,2,NA,NA
9463-9,1448897852184,8,colorSizeTrial,sizeOnly2Distr2Same,small_black_belt,target,4,4,NA,NA,big_black_belt,distractor,3,3,NA,NA,big_black_belt,distractor,2,2,NA,NA,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA
9463-9,1448897866863,9,colorSizeTrial,sizeOnly4Distr4Same,big_purple_billiardball,target,1,3,NA,NA,small_purple_billiardball,distractor,4,2,NA,NA,small_purple_billiardball,distractor,2,5,NA,NA,small_purple_billiardball,distractor,3,4,NA,NA,small_purple_billiardball,distractor,5,1,NA,NA
9463-9,1448897871755,10,subSuperTrial,distr23,dalmatian,target,4,2,dog,animal,iguana,distrClass2,2,3,NA,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,tennisball,distrClass3,3,4,NA,object
9463-9,1448897881787,11,subSuperTrial,distr12,pineapple,target,2,4,fruit,food,pizza,distrClass2,3,3,NA,food,blackStimulus,NA,5,5,NA,NA,peach,distrClass1,4,2,fruit,food,blackStimulus,NA,1,1,NA,NA
9463-9,1448897888890,12,colorSizeTrial,sizeOnly4Distr3Same,big_red_flower,target,5,2,NA,NA,small_red_flower,distractor,4,1,NA,NA,small_red_flower,distractor,3,5,NA,NA,small_purple_flower,distractor,1,4,NA,NA,small_red_flower,distractor,2,3,NA,NA
