gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, domainClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Domain, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Domain, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Domain, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Domain, alt4superdomain
6471-6,1448894977502,1,subSuperTrial,distr23,wardrobe,target,3,2,furniture,object,blackStimulus,NA,5,5,NA,NA,mailbox,distrClass2,4,4,NA,object,blackStimulus,NA,1,1,NA,NA,grasses,distrClass3,2,3,NA,plant
6471-6,1448894990772,2,colorSizeTrial,sizeOnly2Distr1Same,small_black_comb,target,3,4,NA,NA,blackStimulus,NA,1,1,NA,NA,big_blue_comb,distractor,4,3,NA,NA,big_black_comb,distractor,2,2,NA,NA,blackStimulus,NA,5,5,NA,NA
6471-6,1448895001358,3,subSuperTrial,distr33,mushroom,target,3,3,vegetable,food,blackStimulus,NA,5,5,NA,NA,postoffice,distrClass3,4,4,NA,place,blackStimulus,NA,1,1,NA,NA,airport,distrClass3,2,2,NA,place
6471-6,1448895010318,4,subSuperTrial,distr12,bookcase,target,3,4,furniture,object,blackStimulus,NA,5,5,NA,NA,firehydrant,distrClass2,4,2,NA,object,chair2,distrClass1,2,3,furniture,object,blackStimulus,NA,1,1,NA,NA
6471-6,1448895022289,5,colorSizeTrial,sizeOnly4Distr2Same,small_blue_golfball,target,2,4,NA,NA,big_blue_golfball,distractor,5,5,NA,NA,big_blue_golfball,distractor,3,3,NA,NA,big_pink_golfball,distractor,1,1,NA,NA,big_pink_golfball,distractor,4,2,NA,NA
6471-6,1448895042171,6,subSuperTrial,distr22,banjo,target,4,3,instrument,object,tennisball,distrClass2,3,2,NA,object,blackStimulus,NA,1,1,NA,NA,washingmachine,distrClass2,2,4,NA,object,blackStimulus,NA,5,5,NA,NA
6471-6,1448895056180,7,colorSizeTrial,sizeOnly4Distr1Same,big_black_avocado,target,2,1,NA,NA,small_black_avocado,distractor,4,2,NA,NA,small_green_avocado,distractor,5,5,NA,NA,small_green_avocado,distractor,3,4,NA,NA,small_green_avocado,distractor,1,3,NA,NA
6471-6,1448895065631,8,colorSizeTrial,colorOnly4Distr2Same,big_yellow_napkin,target,4,4,NA,NA,big_orange_napkin,distractor,1,3,NA,NA,small_orange_napkin,distractor,2,1,NA,NA,small_orange_napkin,distractor,5,5,NA,NA,big_orange_napkin,distractor,3,2,NA,NA
6471-6,1448895076735,9,colorSizeTrial,sizeOnly4Distr3Same,small_blue_binder,target,1,5,NA,NA,big_blue_binder,distractor,5,4,NA,NA,big_blue_binder,distractor,4,1,NA,NA,big_blue_binder,distractor,2,2,NA,NA,big_green_binder,distractor,3,3,NA,NA
6471-6,1448895084056,10,colorSizeTrial,colorOnly4Distr1Same,big_purple_coathanger,target,1,1,NA,NA,big_orange_coathanger,distractor,2,4,NA,NA,small_orange_coathanger,distractor,5,2,NA,NA,small_orange_coathanger,distractor,3,3,NA,NA,small_orange_coathanger,distractor,4,5,NA,NA
6471-6,1448895090332,11,subSuperTrial,distr33,bed,target,4,2,furniture,object,fir,distrClass3,3,3,NA,plant,blackStimulus,NA,5,5,NA,NA,ketchup,distrClass3,2,4,NA,food,blackStimulus,NA,1,1,NA,NA
6471-6,1448895097693,12,colorSizeTrial,sizeOnly4Distr4Same,small_purple_bike,target,5,5,NA,NA,big_purple_bike,distractor,3,1,NA,NA,big_purple_bike,distractor,1,4,NA,NA,big_purple_bike,distractor,4,2,NA,NA,big_purple_bike,distractor,2,3,NA,NA
6471-6,1448895106997,13,subSuperTrial,distr23,corn,target,3,4,vegetable,food,moviecamera,distrClass3,2,2,NA,object,blackStimulus,NA,5,5,NA,NA,bread,distrClass2,4,3,NA,food,blackStimulus,NA,1,1,NA,NA
6471-6,1448895116271,14,colorSizeTrial,sizeOnly4Distr1Same,big_white_weddingcake,target,4,4,NA,NA,small_pink_weddingcake,distractor,2,1,NA,NA,small_pink_weddingcake,distractor,5,5,NA,NA,small_pink_weddingcake,distractor,3,2,NA,NA,small_white_weddingcake,distractor,1,3,NA,NA
6471-6,1448895124870,15,subSuperTrial,distr33,lamp,target,3,2,furniture,object,iguana,distrClass3,4,4,NA,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,crocodile,distrClass3,2,3,NA,animal
6471-6,1448895131939,16,colorSizeTrial,sizeOnly4Distr2Same,small_orange_cap,target,1,5,NA,NA,big_blue_cap,distractor,5,2,NA,NA,big_orange_cap,distractor,2,4,NA,NA,big_orange_cap,distractor,4,3,NA,NA,big_blue_cap,distractor,3,1,NA,NA
