noun	year	match_count	volume_count
Grapefruits_NOUN	1913	3	3
Grapefruits_NOUN	1917	1	1
Grapefruits_NOUN	1920	6	6
Grapefruits_NOUN	1923	2	2
Grapefruits_NOUN	1924	1	1
Grapefruits_NOUN	1925	1	1
Grapefruits_NOUN	1926	1	1
Grapefruits_NOUN	1927	1	1
Grapefruits_NOUN	1928	3	3
Grapefruits_NOUN	1929	4	4
Grapefruits_NOUN	1930	6	4
Grapefruits_NOUN	1932	5	5
Grapefruits_NOUN	1933	8	7
Grapefruits_NOUN	1934	7	5
Grapefruits_NOUN	1935	1	1
Grapefruits_NOUN	1936	8	5
Grapefruits_NOUN	1937	6	3
Grapefruits_NOUN	1938	2	1
Grapefruits_NOUN	1939	2	2
Grapefruits_NOUN	1940	1	1
Grapefruits_NOUN	1941	2	1
Grapefruits_NOUN	1942	7	6
Grapefruits_NOUN	1943	5	4
Grapefruits_NOUN	1944	2	2
Grapefruits_NOUN	1945	3	3
Grapefruits_NOUN	1946	1	1
Grapefruits_NOUN	1947	11	10
Grapefruits_NOUN	1948	5	4
Grapefruits_NOUN	1949	9	6
Grapefruits_NOUN	1950	14	7
Grapefruits_NOUN	1951	10	6
Grapefruits_NOUN	1952	4	4
Grapefruits_NOUN	1953	5	3
Grapefruits_NOUN	1954	1	1
Grapefruits_NOUN	1955	2	2
Grapefruits_NOUN	1956	3	1
Grapefruits_NOUN	1957	8	3
Grapefruits_NOUN	1958	10	8
Grapefruits_NOUN	1959	9	4
Grapefruits_NOUN	1960	2	2
Grapefruits_NOUN	1961	3	3
Grapefruits_NOUN	1962	10	6
Grapefruits_NOUN	1963	6	6
Grapefruits_NOUN	1964	5	3
Grapefruits_NOUN	1965	28	15
Grapefruits_NOUN	1966	8	7
Grapefruits_NOUN	1967	11	10
Grapefruits_NOUN	1968	13	6
Grapefruits_NOUN	1969	6	4
Grapefruits_NOUN	1970	7	6
Grapefruits_NOUN	1971	16	16
Grapefruits_NOUN	1972	6	5
Grapefruits_NOUN	1973	17	15
Grapefruits_NOUN	1974	11	9
Grapefruits_NOUN	1975	27	19
Grapefruits_NOUN	1976	13	13
Grapefruits_NOUN	1977	20	16
Grapefruits_NOUN	1978	12	12
Grapefruits_NOUN	1979	23	15
Grapefruits_NOUN	1980	29	23
Grapefruits_NOUN	1981	25	21
Grapefruits_NOUN	1982	43	36
Grapefruits_NOUN	1983	12	12
Grapefruits_NOUN	1984	21	18
Grapefruits_NOUN	1985	33	24
Grapefruits_NOUN	1986	30	23
Grapefruits_NOUN	1987	45	28
Grapefruits_NOUN	1988	19	19
Grapefruits_NOUN	1989	21	18
Grapefruits_NOUN	1990	35	27
Grapefruits_NOUN	1991	31	29
Grapefruits_NOUN	1992	48	37
Grapefruits_NOUN	1993	42	33
Grapefruits_NOUN	1994	34	26
Grapefruits_NOUN	1995	55	43
