noun	year	match_count	volume_count
Bedsidetables_NOUN	1881	1	1
Bedsidetables_NOUN	1911	2	2
Bedsidetables_NOUN	1914	2	2
Bedsidetables_NOUN	1915	1	1
Bedsidetables_NOUN	1916	2	2
Bedsidetables_NOUN	1920	1	1
Bedsidetables_NOUN	1922	2	2
Bedsidetables_NOUN	1926	1	1
Bedsidetables_NOUN	1928	3	3
Bedsidetables_NOUN	1931	1	1
Bedsidetables_NOUN	1932	1	1
Bedsidetables_NOUN	1935	2	2
Bedsidetables_NOUN	1936	1	1
Bedsidetables_NOUN	1937	1	1
Bedsidetables_NOUN	1939	4	4
Bedsidetables_NOUN	1942	3	3
Bedsidetables_NOUN	1943	3	3
Bedsidetables_NOUN	1945	2	2
Bedsidetables_NOUN	1947	3	3
Bedsidetables_NOUN	1948	1	1
Bedsidetables_NOUN	1949	2	2
Bedsidetables_NOUN	1950	2	2
Bedsidetables_NOUN	1951	2	2
Bedsidetables_NOUN	1953	5	3
Bedsidetables_NOUN	1954	3	3
Bedsidetables_NOUN	1955	1	1
Bedsidetables_NOUN	1956	3	3
Bedsidetables_NOUN	1957	4	4
Bedsidetables_NOUN	1959	2	2
Bedsidetables_NOUN	1960	1	1
Bedsidetables_NOUN	1961	5	3
Bedsidetables_NOUN	1962	4	4
Bedsidetables_NOUN	1964	2	1
Bedsidetables_NOUN	1965	4	4
Bedsidetables_NOUN	1966	5	5
Bedsidetables_NOUN	1967	1	1
Bedsidetables_NOUN	1968	5	5
Bedsidetables_NOUN	1970	3	3
Bedsidetables_NOUN	1971	3	3
Bedsidetables_NOUN	1972	3	3
Bedsidetables_NOUN	1973	8	5
Bedsidetables_NOUN	1974	1	1
Bedsidetables_NOUN	1975	1	1
Bedsidetables_NOUN	1976	11	9
Bedsidetables_NOUN	1977	5	5
Bedsidetables_NOUN	1978	8	7
Bedsidetables_NOUN	1979	7	7
Bedsidetables_NOUN	1980	1	1
Bedsidetables_NOUN	1981	12	11
Bedsidetables_NOUN	1982	6	4
Bedsidetables_NOUN	1983	1	1
Bedsidetables_NOUN	1984	2	2
Bedsidetables_NOUN	1985	9	7
Bedsidetables_NOUN	1986	7	7
Bedsidetables_NOUN	1987	6	6
Bedsidetables_NOUN	1988	1	1
Bedsidetables_NOUN	1989	5	5
Bedsidetables_NOUN	1990	7	6
Bedsidetables_NOUN	1991	7	5
Bedsidetables_NOUN	1992	7	7
Bedsidetables_NOUN	1993	6	5
Bedsidetables_NOUN	1994	11	11
Bedsidetables_NOUN	1995	11	11
Bedsidetables_NOUN	1996	16	9
Bedsidetables_NOUN	1997	9	9
Bedsidetables_NOUN	1998	9	8
Bedsidetables_NOUN	1999	24	17
Bedsidetables_NOUN	2000	9	9
Bedsidetables_NOUN	2001	8	8
Bedsidetables_NOUN	2002	21	19
Bedsidetables_NOUN	2003	29	23
Bedsidetables_NOUN	2004	21	20
Bedsidetables_NOUN	2005	25	21
Bedsidetables_NOUN	2006	26	21
Bedsidetables_NOUN	2007	13	13
Bedsidetables_NOUN	2008	15	9
bedsidetable_NOUN	1799	1	1
bedsidetable_NOUN	1808	1	1
bedsidetable_NOUN	1835	14	9
bedsidetable_NOUN	1836	2	2
bedsidetable_NOUN	1837	8	4
bedsidetable_NOUN	1842	1	1
bedsidetable_NOUN	1844	4	2
bedsidetable_NOUN	1860	1	1
bedsidetable_NOUN	1862	3	3
bedsidetable_NOUN	1866	2	2
bedsidetable_NOUN	1872	2	2
bedsidetable_NOUN	1873	1	1
bedsidetable_NOUN	1875	11	8
bedsidetable_NOUN	1876	6	6
bedsidetable_NOUN	1879	2	2
bedsidetable_NOUN	1881	2	2
bedsidetable_NOUN	1882	2	1
bedsidetable_NOUN	1883	16	11
bedsidetable_NOUN	1885	3	3
bedsidetable_NOUN	1887	1	1
bedsidetable_NOUN	1889	1	1
bedsidetable_NOUN	1890	10	6
bedsidetable_NOUN	1893	10	7
bedsidetable_NOUN	1894	3	3
bedsidetable_NOUN	1895	5	5
bedsidetable_NOUN	1896	5	5
bedsidetable_NOUN	1897	1	1
bedsidetable_NOUN	1898	4	3
bedsidetable_NOUN	1899	6	6
bedsidetable_NOUN	1900	12	6
bedsidetable_NOUN	1901	3	3
bedsidetable_NOUN	1902	26	20
bedsidetable_NOUN	1903	12	12
bedsidetable_NOUN	1904	42	41
bedsidetable_NOUN	1905	6	6
bedsidetable_NOUN	1906	13	6
bedsidetable_NOUN	1907	4	3
bedsidetable_NOUN	1908	10	10
bedsidetable_NOUN	1909	29	22
bedsidetable_NOUN	1910	34	34
bedsidetable_NOUN	1911	44	16
bedsidetable_NOUN	1912	30	23
bedsidetable_NOUN	1913	37	27
bedsidetable_NOUN	1914	22	18
bedsidetable_NOUN	1915	20	12
bedsidetable_NOUN	1916	36	35
bedsidetable_NOUN	1917	61	40
bedsidetable_NOUN	1918	29	22
bedsidetable_NOUN	1919	54	40
bedsidetable_NOUN	1920	23	17
bedsidetable_NOUN	1921	59	38
bedsidetable_NOUN	1922	47	38
bedsidetable_NOUN	1923	36	29
bedsidetable_NOUN	1924	42	30
bedsidetable_NOUN	1925	84	60
bedsidetable_NOUN	1926	44	29
bedsidetable_NOUN	1927	77	57
bedsidetable_NOUN	1928	105	73
bedsidetable_NOUN	1929	89	74
bedsidetable_NOUN	1930	158	69
bedsidetable_NOUN	1931	161	94
bedsidetable_NOUN	1932	89	64
