noun	year	match_count	volume_count
Blackbear_NOUN	1771	1	1
Blackbear_NOUN	1787	2	2
Blackbear_NOUN	1800	1	1
Blackbear_NOUN	1801	1	1
Blackbear_NOUN	1802	1	1
Blackbear_NOUN	1817	3	3
Blackbear_NOUN	1819	10	7
Blackbear_NOUN	1825	1	1
Blackbear_NOUN	1829	8	5
Blackbear_NOUN	1830	1	1
Blackbear_NOUN	1831	1	1
Blackbear_NOUN	1832	3	3
Blackbear_NOUN	1844	2	2
Blackbear_NOUN	1845	6	6
Blackbear_NOUN	1847	1	1
Blackbear_NOUN	1849	7	7
Blackbear_NOUN	1851	2	2
Blackbear_NOUN	1852	3	3
Blackbear_NOUN	1853	1	1
Blackbear_NOUN	1858	1	1
Blackbear_NOUN	1861	1	1
Blackbear_NOUN	1862	3	2
Blackbear_NOUN	1863	1	1
Blackbear_NOUN	1865	3	3
Blackbear_NOUN	1866	4	4
Blackbear_NOUN	1867	3	3
Blackbear_NOUN	1870	7	4
Blackbear_NOUN	1871	3	3
Blackbear_NOUN	1872	1	1
Blackbear_NOUN	1873	3	1
Blackbear_NOUN	1874	3	2
Blackbear_NOUN	1876	12	5
Blackbear_NOUN	1877	5	4
Blackbear_NOUN	1878	1	1
Blackbear_NOUN	1881	8	8
Blackbear_NOUN	1882	1	1
Blackbear_NOUN	1883	5	2
Blackbear_NOUN	1884	1	1
Blackbear_NOUN	1885	14	14
Blackbear_NOUN	1886	5	5
Blackbear_NOUN	1887	1	1
Blackbear_NOUN	1891	2	1
Blackbear_NOUN	1892	5	5
Blackbear_NOUN	1893	15	8
Blackbear_NOUN	1894	35	12
Blackbear_NOUN	1895	2	2
Blackbear_NOUN	1896	3	2
Blackbear_NOUN	1897	19	12
Blackbear_NOUN	1898	25	23
Blackbear_NOUN	1900	10	5
Blackbear_NOUN	1901	4	4
Blackbear_NOUN	1902	15	8
Blackbear_NOUN	1903	16	10
Blackbear_NOUN	1904	23	23
Blackbear_NOUN	1905	20	17
Blackbear_NOUN	1906	8	8
Blackbear_NOUN	1907	12	10
Blackbear_NOUN	1908	18	18
Blackbear_NOUN	1909	23	10
Blackbear_NOUN	1910	29	15
Blackbear_NOUN	1911	17	14
Blackbear_NOUN	1912	16	13
Blackbear_NOUN	1913	12	11
Blackbear_NOUN	1914	29	23
Blackbear_NOUN	1915	10	8
Blackbear_NOUN	1916	3	3
Blackbear_NOUN	1917	4	4
Blackbear_NOUN	1918	3	3
Blackbear_NOUN	1919	6	5
Blackbear_NOUN	1920	21	13
Blackbear_NOUN	1921	31	19
Blackbear_NOUN	1922	25	13
Blackbear_NOUN	1923	9	9
Blackbear_NOUN	1924	11	8
