noun	year	match_count	volume_count
CoffeeTable_NOUN	1878	4	3
CoffeeTable_NOUN	1901	1	1
CoffeeTable_NOUN	1905	1	1
CoffeeTable_NOUN	1909	2	2
CoffeeTable_NOUN	1912	3	3
CoffeeTable_NOUN	1913	2	2
CoffeeTable_NOUN	1914	3	3
CoffeeTable_NOUN	1915	1	1
CoffeeTable_NOUN	1917	4	4
CoffeeTable_NOUN	1922	11	5
CoffeeTable_NOUN	1927	1	1
CoffeeTable_NOUN	1928	2	2
CoffeeTable_NOUN	1929	4	3
CoffeeTable_NOUN	1930	1	1
CoffeeTable_NOUN	1931	1	1
CoffeeTable_NOUN	1932	1	1
CoffeeTable_NOUN	1935	16	4
CoffeeTable_NOUN	1936	3	3
CoffeeTable_NOUN	1937	2	2
CoffeeTable_NOUN	1938	9	4
CoffeeTable_NOUN	1939	10	10
CoffeeTable_NOUN	1940	9	5
CoffeeTable_NOUN	1941	13	4
CoffeeTable_NOUN	1942	16	8
CoffeeTable_NOUN	1943	5	4
CoffeeTable_NOUN	1944	13	8
CoffeeTable_NOUN	1945	14	5
CoffeeTable_NOUN	1946	9	5
CoffeeTable_NOUN	1947	7	7
CoffeeTable_NOUN	1948	14	8
CoffeeTable_NOUN	1949	18	10
CoffeeTable_NOUN	1950	22	9
CoffeeTable_NOUN	1951	18	11
CoffeeTable_NOUN	1952	66	17
CoffeeTable_NOUN	1953	16	9
CoffeeTable_NOUN	1954	58	20
CoffeeTable_NOUN	1955	8	5
CoffeeTable_NOUN	1956	37	12
CoffeeTable_NOUN	1957	54	13
CoffeeTable_NOUN	1958	10	7
CoffeeTable_NOUN	1959	31	14
CoffeeTable_NOUN	1960	1	1
CoffeeTable_NOUN	1961	13	8
CoffeeTable_NOUN	1962	13	8
CoffeeTable_NOUN	1963	10	7
CoffeeTable_NOUN	1964	15	9
CoffeeTable_NOUN	1965	10	8
CoffeeTable_NOUN	1966	17	13
CoffeeTable_NOUN	1967	16	9
CoffeeTable_NOUN	1968	18	13
CoffeeTable_NOUN	1969	14	13
CoffeeTable_NOUN	1970	16	7
CoffeeTable_NOUN	1971	26	21
CoffeeTable_NOUN	1972	25	13
CoffeeTable_NOUN	1973	24	17
CoffeeTable_NOUN	1974	9	8
CoffeeTable_NOUN	1975	23	15
CoffeeTable_NOUN	1976	25	11
CoffeeTable_NOUN	1977	15	11
CoffeeTable_NOUN	1978	15	12
CoffeeTable_NOUN	1979	41	24
CoffeeTable_NOUN	1980	28	12
CoffeeTable_NOUN	1981	20	16
CoffeeTable_NOUN	1982	26	16
CoffeeTable_NOUN	1983	49	23
CoffeeTable_NOUN	1984	32	23
CoffeeTable_NOUN	1985	31	20
CoffeeTable_NOUN	1986	20	18
CoffeeTable_NOUN	1987	38	25
CoffeeTable_NOUN	1988	33	24
CoffeeTable_NOUN	1989	29	25
CoffeeTable_NOUN	1990	47	27
CoffeeTable_NOUN	1991	68	37
CoffeeTable_NOUN	1992	52	30
CoffeeTable_NOUN	1993	48	29
CoffeeTable_NOUN	1994	69	41
CoffeeTable_NOUN	1995	41	33
CoffeeTable_NOUN	1996	77	42
CoffeeTable_NOUN	1997	46	35
CoffeeTable_NOUN	1998	131	46
CoffeeTable_NOUN	1999	177	60
CoffeeTable_NOUN	2000	90	63
CoffeeTable_NOUN	2001	168	64
CoffeeTable_NOUN	2002	99	63
CoffeeTable_NOUN	2003	136	71
CoffeeTable_NOUN	2004	223	92
CoffeeTable_NOUN	2005	133	72
CoffeeTable_NOUN	2006	151	84
CoffeeTable_NOUN	2007	102	58
CoffeeTable_NOUN	2008	153	82
coffeetable_NOUN	1795	1	1
coffeetable_NOUN	1796	1	1
coffeetable_NOUN	1810	1	1
coffeetable_NOUN	1812	1	1
coffeetable_NOUN	1838	1	1
coffeetable_NOUN	1844	1	1
coffeetable_NOUN	1846	1	1
coffeetable_NOUN	1849	1	1
coffeetable_NOUN	1850	1	1
coffeetable_NOUN	1851	1	1
coffeetable_NOUN	1852	1	1
coffeetable_NOUN	1853	3	2
coffeetable_NOUN	1854	1	1
coffeetable_NOUN	1865	1	1
coffeetable_NOUN	1867	2	2
coffeetable_NOUN	1870	1	1
coffeetable_NOUN	1871	1	1
coffeetable_NOUN	1872	1	1
coffeetable_NOUN	1875	1	1
coffeetable_NOUN	1878	1	1
coffeetable_NOUN	1881	5	5
coffeetable_NOUN	1882	2	2
coffeetable_NOUN	1884	7	7
coffeetable_NOUN	1885	2	2
coffeetable_NOUN	1888	4	4
coffeetable_NOUN	1889	3	2
coffeetable_NOUN	1891	1	1
coffeetable_NOUN	1892	2	2
coffeetable_NOUN	1895	3	3
coffeetable_NOUN	1896	2	2
coffeetable_NOUN	1899	4	4
coffeetable_NOUN	1900	3	3
coffeetable_NOUN	1901	6	6
coffeetable_NOUN	1902	8	8
coffeetable_NOUN	1903	1	1
coffeetable_NOUN	1904	1	1
coffeetable_NOUN	1905	7	4
coffeetable_NOUN	1906	2	1
coffeetable_NOUN	1907	2	1
coffeetable_NOUN	1908	7	5
coffeetable_NOUN	1909	3	3
coffeetable_NOUN	1910	3	2
coffeetable_NOUN	1911	1	1
coffeetable_NOUN	1912	9	9
coffeetable_NOUN	1913	9	9
coffeetable_NOUN	1914	9	7
coffeetable_NOUN	1915	10	8
coffeetable_NOUN	1916	6	6
coffeetable_NOUN	1917	4	4
coffeetable_NOUN	1918	6	6
coffeetable_NOUN	1919	11	4
coffeetable_NOUN	1920	12	10
coffeetable_NOUN	1921	3	3
coffeetable_NOUN	1922	20	10
coffeetable_NOUN	1923	11	8
coffeetable_NOUN	1924	4	2
coffeetable_NOUN	1925	7	5
coffeetable_NOUN	1926	9	9
coffeetable_NOUN	1927	8	7
coffeetable_NOUN	1928	39	23
coffeetable_NOUN	1929	26	11
coffeetable_NOUN	1930	47	19
coffeetable_NOUN	1931	34	23
coffeetable_NOUN	1932	28	20
coffeetable_NOUN	1933	51	27
coffeetable_NOUN	1934	39	21
coffeetable_NOUN	1935	78	34
coffeetable_NOUN	1936	59	33
coffeetable_NOUN	1937	54	32
coffeetable_NOUN	1938	96	61
coffeetable_NOUN	1939	175	58
coffeetable_NOUN	1940	107	61
coffeetable_NOUN	1941	101	59
coffeetable_NOUN	1942	166	78
coffeetable_NOUN	1943	112	69
coffeetable_NOUN	1944	123	81
coffeetable_NOUN	1945	142	58
coffeetable_NOUN	1946	245	96
coffeetable_NOUN	1947	264	133
coffeetable_NOUN	1948	260	110
coffeetable_NOUN	1949	305	134
coffeetable_NOUN	1950	228	128
coffeetable_NOUN	1951	320	164
coffeetable_NOUN	1952	326	155
coffeetable_NOUN	1953	344	185
coffeetable_NOUN	1954	444	190
coffeetable_NOUN	1955	434	198
coffeetable_NOUN	1956	339	186
coffeetable_NOUN	1957	404	181
coffeetable_NOUN	1958	366	202
coffeetable_NOUN	1959	404	229
coffeetable_NOUN	1960	476	228
coffeetable_NOUN	1961	412	256
coffeetable_NOUN	1962	553	275
coffeetable_NOUN	1963	535	268
coffeetable_NOUN	1964	639	304
coffeetable_NOUN	1965	610	317
coffeetable_NOUN	1966	711	382
coffeetable_NOUN	1967	762	473
coffeetable_NOUN	1968	981	563
coffeetable_NOUN	1969	925	492
coffeetable_NOUN	1970	1034	644
coffeetable_NOUN	1971	1149	620
coffeetable_NOUN	1972	1060	634
coffeetable_NOUN	1973	1148	735
coffeetable_NOUN	1974	1197	716
coffeetable_NOUN	1975	1345	769
coffeetable_NOUN	1976	1743	949
coffeetable_NOUN	1977	1802	922
coffeetable_NOUN	1978	1831	1068
coffeetable_NOUN	1979	2196	1162
coffeetable_NOUN	1980	2350	1274
coffeetable_NOUN	1981	2766	1373
coffeetable_NOUN	1982	3151	1612
coffeetable_NOUN	1983	3163	1630
coffeetable_NOUN	1984	3984	1953
coffeetable_NOUN	1985	4221	2064
coffeetable_NOUN	1986	4798	2285
coffeetable_NOUN	1987	5042	2424
coffeetable_NOUN	1988	5292	2559
coffeetable_NOUN	1989	6124	2961
coffeetable_NOUN	1990	6748	3177
coffeetable_NOUN	1991	6943	3231
coffeetable_NOUN	1992	6836	3252
coffeetable_NOUN	1993	7771	3588
coffeetable_NOUN	1994	8206	3895
coffeetable_NOUN	1995	8631	4073
coffeetable_NOUN	1996	9652	4424
coffeetable_NOUN	1997	10085	4693
coffeetable_NOUN	1998	10522	4934
coffeetable_NOUN	1999	11473	5216
coffeetable_NOUN	2000	14868	6808
coffeetable_NOUN	2001	15211	6831
coffeetable_NOUN	2002	18767	8305
coffeetable_NOUN	2003	21717	9200
coffeetable_NOUN	2004	22347	9608
coffeetable_NOUN	2005	23882	10075
coffeetable_NOUN	2006	23727	9972
coffeetable_NOUN	2007	23516	10014
coffeetable_NOUN	2008	22445	9744
coffeeTable_NOUN	1897	1	1
coffeeTable_NOUN	1905	1	1
coffeeTable_NOUN	1953	1	1
coffeeTable_NOUN	1955	1	1
coffeeTable_NOUN	1960	1	1
coffeeTable_NOUN	1963	1	1
coffeeTable_NOUN	1967	2	2
coffeeTable_NOUN	1968	3	3
coffeeTable_NOUN	1972	2	1
coffeeTable_NOUN	1973	1	1
coffeeTable_NOUN	1974	3	3
coffeeTable_NOUN	1975	1	1
coffeeTable_NOUN	1977	1	1
coffeeTable_NOUN	1978	2	2
coffeeTable_NOUN	1979	4	4
coffeeTable_NOUN	1980	1	1
coffeeTable_NOUN	1981	2	2
coffeeTable_NOUN	1982	5	5
coffeeTable_NOUN	1983	3	3
coffeeTable_NOUN	1984	4	4
coffeeTable_NOUN	1985	3	3
coffeeTable_NOUN	1986	2	2
coffeeTable_NOUN	1987	2	2
coffeeTable_NOUN	1988	1	1
coffeeTable_NOUN	1989	5	4
coffeeTable_NOUN	1990	7	7
coffeeTable_NOUN	1991	3	3
coffeeTable_NOUN	1992	7	7
coffeeTable_NOUN	1993	2	2
coffeeTable_NOUN	1994	9	6
coffeeTable_NOUN	1995	5	5
coffeeTable_NOUN	1996	2	2
coffeeTable_NOUN	1997	4	4
coffeeTable_NOUN	1998	8	7
coffeeTable_NOUN	1999	2	2
coffeeTable_NOUN	2000	2	2
coffeeTable_NOUN	2001	3	3
coffeeTable_NOUN	2002	7	5
coffeeTable_NOUN	2003	2	2
coffeeTable_NOUN	2004	4	4
coffeeTable_NOUN	2005	10	10
coffeeTable_NOUN	2006	7	4
coffeeTable_NOUN	2007	15	11
coffeeTable_NOUN	2008	7	6
Coffeetables_NOUN	1915	3	3
Coffeetables_NOUN	1921	1	1
Coffeetables_NOUN	1928	3	2
Coffeetables_NOUN	1933	11	6
Coffeetables_NOUN	1935	1	1
Coffeetables_NOUN	1936	1	1
Coffeetables_NOUN	1937	2	2
Coffeetables_NOUN	1938	1	1
Coffeetables_NOUN	1939	4	4
Coffeetables_NOUN	1942	2	2
Coffeetables_NOUN	1943	1	1
Coffeetables_NOUN	1944	2	2
Coffeetables_NOUN	1945	3	3
Coffeetables_NOUN	1946	1	1
Coffeetables_NOUN	1947	10	10
Coffeetables_NOUN	1948	2	2
Coffeetables_NOUN	1949	8	6
Coffeetables_NOUN	1950	4	4
Coffeetables_NOUN	1951	4	4
Coffeetables_NOUN	1953	8	6
Coffeetables_NOUN	1954	8	7
Coffeetables_NOUN	1955	10	9
Coffeetables_NOUN	1956	1	1
Coffeetables_NOUN	1957	7	5
Coffeetables_NOUN	1958	1	1
Coffeetables_NOUN	1959	6	5
