noun	year	match_count	volume_count
DressShirt_NOUN	1858	2	2
DressShirt_NOUN	1859	1	1
DressShirt_NOUN	1860	1	1
DressShirt_NOUN	1861	1	1
DressShirt_NOUN	1884	1	1
DressShirt_NOUN	1887	3	3
DressShirt_NOUN	1890	2	1
DressShirt_NOUN	1891	4	2
DressShirt_NOUN	1909	6	2
DressShirt_NOUN	1910	2	2
DressShirt_NOUN	1911	1	1
DressShirt_NOUN	1915	1	1
DressShirt_NOUN	1920	8	6
DressShirt_NOUN	1921	2	2
DressShirt_NOUN	1927	1	1
DressShirt_NOUN	1928	1	1
DressShirt_NOUN	1930	1	1
DressShirt_NOUN	1932	1	1
DressShirt_NOUN	1935	1	1
DressShirt_NOUN	1937	3	3
DressShirt_NOUN	1938	1	1
DressShirt_NOUN	1943	1	1
DressShirt_NOUN	1947	1	1
DressShirt_NOUN	1948	4	2
DressShirt_NOUN	1949	2	2
DressShirt_NOUN	1950	4	3
DressShirt_NOUN	1953	3	3
DressShirt_NOUN	1954	2	2
DressShirt_NOUN	1955	2	1
DressShirt_NOUN	1957	3	3
DressShirt_NOUN	1958	1	1
DressShirt_NOUN	1960	1	1
DressShirt_NOUN	1961	1	1
DressShirt_NOUN	1962	7	4
DressShirt_NOUN	1963	5	5
DressShirt_NOUN	1964	6	3
DressShirt_NOUN	1965	3	2
DressShirt_NOUN	1966	6	6
DressShirt_NOUN	1967	2	2
DressShirt_NOUN	1968	4	2
DressShirt_NOUN	1969	6	5
DressShirt_NOUN	1970	4	3
DressShirt_NOUN	1971	2	1
DressShirt_NOUN	1972	1	1
DressShirt_NOUN	1973	2	2
DressShirt_NOUN	1974	14	8
DressShirt_NOUN	1975	1	1
DressShirt_NOUN	1976	4	4
DressShirt_NOUN	1977	9	4
DressShirt_NOUN	1978	3	3
DressShirt_NOUN	1979	21	7
DressShirt_NOUN	1980	2	2
DressShirt_NOUN	1981	17	6
DressShirt_NOUN	1983	4	4
DressShirt_NOUN	1984	7	5
DressShirt_NOUN	1985	20	9
DressShirt_NOUN	1986	13	10
DressShirt_NOUN	1987	24	16
DressShirt_NOUN	1988	17	8
DressShirt_NOUN	1989	6	6
DressShirt_NOUN	1990	7	6
DressShirt_NOUN	1991	17	14
DressShirt_NOUN	1992	8	7
