noun	year	match_count	volume_count
Grizzlybear_NOUN	1814	2	1
Grizzlybear_NOUN	1819	5	5
Grizzlybear_NOUN	1829	2	2
Grizzlybear_NOUN	1830	1	1
Grizzlybear_NOUN	1831	1	1
Grizzlybear_NOUN	1832	3	3
Grizzlybear_NOUN	1833	5	5
Grizzlybear_NOUN	1840	4	2
Grizzlybear_NOUN	1841	1	1
Grizzlybear_NOUN	1844	2	2
Grizzlybear_NOUN	1845	1	1
Grizzlybear_NOUN	1848	1	1
Grizzlybear_NOUN	1849	1	1
Grizzlybear_NOUN	1850	5	5
Grizzlybear_NOUN	1851	2	1
Grizzlybear_NOUN	1853	2	2
Grizzlybear_NOUN	1854	1	1
Grizzlybear_NOUN	1855	1	1
Grizzlybear_NOUN	1856	1	1
Grizzlybear_NOUN	1857	2	2
Grizzlybear_NOUN	1858	2	2
Grizzlybear_NOUN	1859	5	5
Grizzlybear_NOUN	1860	1	1
Grizzlybear_NOUN	1862	1	1
Grizzlybear_NOUN	1863	1	1
Grizzlybear_NOUN	1864	1	1
Grizzlybear_NOUN	1866	4	4
Grizzlybear_NOUN	1868	3	3
Grizzlybear_NOUN	1870	3	3
Grizzlybear_NOUN	1871	1	1
Grizzlybear_NOUN	1872	3	3
Grizzlybear_NOUN	1873	2	2
Grizzlybear_NOUN	1875	1	1
Grizzlybear_NOUN	1876	4	3
Grizzlybear_NOUN	1877	3	2
Grizzlybear_NOUN	1881	8	8
Grizzlybear_NOUN	1882	3	3
Grizzlybear_NOUN	1883	10	8
Grizzlybear_NOUN	1884	1	1
Grizzlybear_NOUN	1885	1	1
Grizzlybear_NOUN	1886	5	4
Grizzlybear_NOUN	1888	5	5
Grizzlybear_NOUN	1889	2	2
Grizzlybear_NOUN	1890	2	2
Grizzlybear_NOUN	1891	1	1
Grizzlybear_NOUN	1892	2	2
Grizzlybear_NOUN	1893	2	2
Grizzlybear_NOUN	1894	15	11
Grizzlybear_NOUN	1896	7	7
Grizzlybear_NOUN	1897	6	4
Grizzlybear_NOUN	1898	5	5
Grizzlybear_NOUN	1899	2	2
Grizzlybear_NOUN	1900	1	1
Grizzlybear_NOUN	1901	10	10
Grizzlybear_NOUN	1902	16	11
Grizzlybear_NOUN	1903	10	9
Grizzlybear_NOUN	1904	11	11
Grizzlybear_NOUN	1905	6	6
Grizzlybear_NOUN	1906	4	4
