noun	year	match_count	volume_count
Hummingbirds_NOUN	1590	1	1
Hummingbirds_NOUN	1820	1	1
Hummingbirds_NOUN	1821	1	1
Hummingbirds_NOUN	1822	3	3
Hummingbirds_NOUN	1824	1	1
Hummingbirds_NOUN	1831	6	6
Hummingbirds_NOUN	1832	3	2
Hummingbirds_NOUN	1833	2	1
Hummingbirds_NOUN	1835	2	2
Hummingbirds_NOUN	1836	2	2
Hummingbirds_NOUN	1841	1	1
Hummingbirds_NOUN	1842	2	2
Hummingbirds_NOUN	1843	4	2
Hummingbirds_NOUN	1844	1	1
Hummingbirds_NOUN	1845	1	1
Hummingbirds_NOUN	1846	1	1
Hummingbirds_NOUN	1847	5	4
Hummingbirds_NOUN	1848	1	1
Hummingbirds_NOUN	1849	5	5
Hummingbirds_NOUN	1850	2	2
Hummingbirds_NOUN	1851	8	8
Hummingbirds_NOUN	1852	17	1
Hummingbirds_NOUN	1854	1	1
Hummingbirds_NOUN	1855	2	1
Hummingbirds_NOUN	1856	2	2
Hummingbirds_NOUN	1857	2	2
Hummingbirds_NOUN	1858	1	1
Hummingbirds_NOUN	1859	5	2
Hummingbirds_NOUN	1860	1	1
Hummingbirds_NOUN	1861	19	3
Hummingbirds_NOUN	1862	17	7
Hummingbirds_NOUN	1863	4	4
Hummingbirds_NOUN	1864	10	6
Hummingbirds_NOUN	1865	6	2
Hummingbirds_NOUN	1866	16	12
Hummingbirds_NOUN	1867	1	1
Hummingbirds_NOUN	1868	1	1
Hummingbirds_NOUN	1869	2	2
Hummingbirds_NOUN	1870	8	7
Hummingbirds_NOUN	1871	12	10
Hummingbirds_NOUN	1872	4	1
Hummingbirds_NOUN	1873	6	5
Hummingbirds_NOUN	1874	5	4
Hummingbirds_NOUN	1875	7	7
Hummingbirds_NOUN	1876	1	1
Hummingbirds_NOUN	1877	32	10
Hummingbirds_NOUN	1878	8	7
Hummingbirds_NOUN	1879	6	6
Hummingbirds_NOUN	1880	1	1
Hummingbirds_NOUN	1881	6	2
Hummingbirds_NOUN	1882	7	3
Hummingbirds_NOUN	1883	11	8
Hummingbirds_NOUN	1884	15	10
Hummingbirds_NOUN	1885	7	7
Hummingbirds_NOUN	1886	12	7
Hummingbirds_NOUN	1887	4	4
Hummingbirds_NOUN	1888	10	7
Hummingbirds_NOUN	1889	10	7
Hummingbirds_NOUN	1890	13	10
Hummingbirds_NOUN	1891	24	7
Hummingbirds_NOUN	1892	5	4
Hummingbirds_NOUN	1893	19	12
Hummingbirds_NOUN	1894	27	8
Hummingbirds_NOUN	1895	120	11
Hummingbirds_NOUN	1896	20	12
Hummingbirds_NOUN	1897	91	17
Hummingbirds_NOUN	1898	61	15
Hummingbirds_NOUN	1899	77	12
Hummingbirds_NOUN	1900	59	22
Hummingbirds_NOUN	1901	119	23
Hummingbirds_NOUN	1902	15	11
Hummingbirds_NOUN	1903	96	15
Hummingbirds_NOUN	1904	32	6
Hummingbirds_NOUN	1905	12	8
Hummingbirds_NOUN	1906	64	14
Hummingbirds_NOUN	1907	21	8
Hummingbirds_NOUN	1908	37	17
Hummingbirds_NOUN	1909	69	20
Hummingbirds_NOUN	1910	15	7
Hummingbirds_NOUN	1911	15	9
Hummingbirds_NOUN	1912	12	10
Hummingbirds_NOUN	1913	79	13
Hummingbirds_NOUN	1914	35	22
Hummingbirds_NOUN	1915	22	2
Hummingbirds_NOUN	1916	17	16
Hummingbirds_NOUN	1917	26	18
Hummingbirds_NOUN	1918	15	12
Hummingbirds_NOUN	1919	61	13
Hummingbirds_NOUN	1920	29	8
Hummingbirds_NOUN	1921	11	11
Hummingbirds_NOUN	1922	62	14
Hummingbirds_NOUN	1923	61	25
Hummingbirds_NOUN	1924	28	15
Hummingbirds_NOUN	1925	46	20
Hummingbirds_NOUN	1926	40	8
Hummingbirds_NOUN	1927	19	13
Hummingbirds_NOUN	1928	21	17
Hummingbirds_NOUN	1929	35	15
Hummingbirds_NOUN	1930	33	8
Hummingbirds_NOUN	1931	66	23
Hummingbirds_NOUN	1932	13	8
Hummingbirds_NOUN	1933	31	10
Hummingbirds_NOUN	1934	62	18
Hummingbirds_NOUN	1935	74	20
Hummingbirds_NOUN	1936	41	28
Hummingbirds_NOUN	1937	70	29
Hummingbirds_NOUN	1938	35	20
Hummingbirds_NOUN	1939	53	26
Hummingbirds_NOUN	1940	174	24
Hummingbirds_NOUN	1941	43	21
Hummingbirds_NOUN	1942	30	25
Hummingbirds_NOUN	1943	33	21
Hummingbirds_NOUN	1944	9	3
Hummingbirds_NOUN	1945	52	31
Hummingbirds_NOUN	1946	72	25
Hummingbirds_NOUN	1947	63	37
Hummingbirds_NOUN	1948	80	34
Hummingbirds_NOUN	1949	47	27
Hummingbirds_NOUN	1950	68	42
Hummingbirds_NOUN	1951	95	45
Hummingbirds_NOUN	1952	89	39
Hummingbirds_NOUN	1953	91	39
Hummingbirds_NOUN	1954	99	48
Hummingbirds_NOUN	1955	111	49
Hummingbirds_NOUN	1956	79	35
Hummingbirds_NOUN	1957	83	36
Hummingbirds_NOUN	1958	92	55
Hummingbirds_NOUN	1959	74	47
Hummingbirds_NOUN	1960	82	35
Hummingbirds_NOUN	1961	184	56
Hummingbirds_NOUN	1962	102	50
Hummingbirds_NOUN	1963	187	68
Hummingbirds_NOUN	1964	160	66
Hummingbirds_NOUN	1965	104	67
Hummingbirds_NOUN	1966	131	61
Hummingbirds_NOUN	1967	195	53
Hummingbirds_NOUN	1968	150	72
Hummingbirds_NOUN	1969	106	73
Hummingbirds_NOUN	1970	279	91
Hummingbirds_NOUN	1971	175	84
Hummingbirds_NOUN	1972	189	95
Hummingbirds_NOUN	1973	242	103
Hummingbirds_NOUN	1974	213	95
Hummingbirds_NOUN	1975	368	133
Hummingbirds_NOUN	1976	263	117
Hummingbirds_NOUN	1977	298	120
Hummingbirds_NOUN	1978	273	115
Hummingbirds_NOUN	1979	218	112
Hummingbirds_NOUN	1980	247	128
Hummingbirds_NOUN	1981	285	125
Hummingbirds_NOUN	1982	263	122
Hummingbirds_NOUN	1983	430	172
Hummingbirds_NOUN	1984	319	143
Hummingbirds_NOUN	1985	555	185
Hummingbirds_NOUN	1986	387	146
Hummingbirds_NOUN	1987	500	182
Hummingbirds_NOUN	1988	530	198
Hummingbirds_NOUN	1989	721	244
Hummingbirds_NOUN	1990	809	260
Hummingbirds_NOUN	1991	550	271
Hummingbirds_NOUN	1992	635	277
Hummingbirds_NOUN	1993	862	313
Hummingbirds_NOUN	1994	714	295
Hummingbirds_NOUN	1995	876	372
Hummingbirds_NOUN	1996	915	344
Hummingbirds_NOUN	1997	1021	388
Hummingbirds_NOUN	1998	1011	383
Hummingbirds_NOUN	1999	1060	399
Hummingbirds_NOUN	2000	1042	438
Hummingbirds_NOUN	2001	1378	458
Hummingbirds_NOUN	2002	1120	479
Hummingbirds_NOUN	2003	1882	526
Hummingbirds_NOUN	2004	1270	511
Hummingbirds_NOUN	2005	1516	515
Hummingbirds_NOUN	2006	1100	513
Hummingbirds_NOUN	2007	1439	507
Hummingbirds_NOUN	2008	1059	496
Hummingbird_NOUN	1590	2	2
Hummingbird_NOUN	1758	1	1
Hummingbird_NOUN	1808	1	1
Hummingbird_NOUN	1809	5	3
Hummingbird_NOUN	1810	2	2
Hummingbird_NOUN	1812	2	1
Hummingbird_NOUN	1814	2	2
Hummingbird_NOUN	1822	3	3
Hummingbird_NOUN	1825	5	5
Hummingbird_NOUN	1828	3	3
Hummingbird_NOUN	1829	1	1
Hummingbird_NOUN	1832	2	2
Hummingbird_NOUN	1833	2	2
Hummingbird_NOUN	1835	5	5
Hummingbird_NOUN	1836	3	2
Hummingbird_NOUN	1838	2	2
Hummingbird_NOUN	1839	2	2
Hummingbird_NOUN	1840	2	2
Hummingbird_NOUN	1841	2	2
Hummingbird_NOUN	1843	1	1
Hummingbird_NOUN	1844	2	2
Hummingbird_NOUN	1845	1	1
Hummingbird_NOUN	1847	9	3
Hummingbird_NOUN	1848	6	3
Hummingbird_NOUN	1850	1	1
Hummingbird_NOUN	1851	3	3
Hummingbird_NOUN	1852	18	4
Hummingbird_NOUN	1855	6	5
Hummingbird_NOUN	1856	6	4
Hummingbird_NOUN	1857	1	1
Hummingbird_NOUN	1858	5	5
Hummingbird_NOUN	1859	3	2
Hummingbird_NOUN	1861	14	1
Hummingbird_NOUN	1862	10	6
Hummingbird_NOUN	1864	3	2
Hummingbird_NOUN	1865	3	1
Hummingbird_NOUN	1866	38	15
Hummingbird_NOUN	1868	5	3
Hummingbird_NOUN	1869	1	1
Hummingbird_NOUN	1870	13	5
Hummingbird_NOUN	1871	3	2
Hummingbird_NOUN	1872	4	2
Hummingbird_NOUN	1873	2	2
Hummingbird_NOUN	1874	5	1
Hummingbird_NOUN	1876	1	1
Hummingbird_NOUN	1877	13	2
Hummingbird_NOUN	1879	1	1
Hummingbird_NOUN	1880	3	3
Hummingbird_NOUN	1881	6	4
Hummingbird_NOUN	1882	5	5
Hummingbird_NOUN	1883	5	5
