noun	year	match_count	volume_count
Jellybean_NOUN	1919	4	1
Jellybean_NOUN	1921	2	2
Jellybean_NOUN	1924	1	1
Jellybean_NOUN	1926	1	1
Jellybean_NOUN	1928	1	1
Jellybean_NOUN	1942	13	4
Jellybean_NOUN	1943	7	2
Jellybean_NOUN	1948	2	1
Jellybean_NOUN	1949	3	3
Jellybean_NOUN	1966	1	1
Jellybean_NOUN	1967	3	3
Jellybean_NOUN	1972	4	4
Jellybean_NOUN	1973	1	1
Jellybean_NOUN	1974	1	1
Jellybean_NOUN	1975	6	3
Jellybean_NOUN	1976	245	5
Jellybean_NOUN	1977	3	3
Jellybean_NOUN	1978	10	8
Jellybean_NOUN	1979	9	6
Jellybean_NOUN	1980	33	8
Jellybean_NOUN	1981	17	11
Jellybean_NOUN	1982	8	5
Jellybean_NOUN	1983	17	14
Jellybean_NOUN	1984	18	10
Jellybean_NOUN	1985	33	10
Jellybean_NOUN	1986	20	18
Jellybean_NOUN	1987	30	21
Jellybean_NOUN	1988	20	15
Jellybean_NOUN	1989	58	17
Jellybean_NOUN	1990	151	15
Jellybean_NOUN	1991	46	18
Jellybean_NOUN	1992	51	25
Jellybean_NOUN	1993	99	27
Jellybean_NOUN	1994	82	36
Jellybean_NOUN	1995	93	30
Jellybean_NOUN	1996	55	24
Jellybean_NOUN	1997	88	37
Jellybean_NOUN	1998	76	44
Jellybean_NOUN	1999	68	40
Jellybean_NOUN	2000	193	52
Jellybean_NOUN	2001	195	97
Jellybean_NOUN	2002	122	46
Jellybean_NOUN	2003	97	45
Jellybean_NOUN	2004	162	46
Jellybean_NOUN	2005	149	51
Jellybean_NOUN	2006	77	33
Jellybean_NOUN	2007	133	53
Jellybean_NOUN	2008	211	49
Jellybeans_NOUN	1949	1	1
Jellybeans_NOUN	1958	2	2
Jellybeans_NOUN	1960	1	1
Jellybeans_NOUN	1962	1	1
Jellybeans_NOUN	1965	1	1
Jellybeans_NOUN	1966	1	1
Jellybeans_NOUN	1967	2	2
Jellybeans_NOUN	1968	3	3
Jellybeans_NOUN	1969	1	1
Jellybeans_NOUN	1970	5	3
Jellybeans_NOUN	1971	11	8
Jellybeans_NOUN	1972	4	4
Jellybeans_NOUN	1973	13	11
Jellybeans_NOUN	1974	2	2
Jellybeans_NOUN	1975	11	10
Jellybeans_NOUN	1976	9	9
Jellybeans_NOUN	1977	8	8
Jellybeans_NOUN	1978	11	9
Jellybeans_NOUN	1979	13	11
Jellybeans_NOUN	1980	12	10
Jellybeans_NOUN	1981	14	12
Jellybeans_NOUN	1982	24	20
Jellybeans_NOUN	1983	10	10
Jellybeans_NOUN	1984	18	15
Jellybeans_NOUN	1985	20	15
Jellybeans_NOUN	1986	23	17
Jellybeans_NOUN	1987	230	11
Jellybeans_NOUN	1988	12	11
Jellybeans_NOUN	1989	46	18
Jellybeans_NOUN	1990	57	55
Jellybeans_NOUN	1991	33	23
Jellybeans_NOUN	1992	41	25
Jellybeans_NOUN	1993	19	17
Jellybeans_NOUN	1994	58	49
Jellybeans_NOUN	1995	28	16
Jellybeans_NOUN	1996	31	22
Jellybeans_NOUN	1997	38	29
Jellybeans_NOUN	1998	46	39
Jellybeans_NOUN	1999	62	36
Jellybeans_NOUN	2000	48	35
Jellybeans_NOUN	2001	81	45
Jellybeans_NOUN	2002	52	41
Jellybeans_NOUN	2003	54	44
Jellybeans_NOUN	2004	80	57
Jellybeans_NOUN	2005	71	55
Jellybeans_NOUN	2006	67	44
Jellybeans_NOUN	2007	59	48
Jellybeans_NOUN	2008	55	46
jellybeans_NOUN	1900	1	1
jellybeans_NOUN	1904	1	1
jellybeans_NOUN	1918	1	1
jellybeans_NOUN	1920	1	1
jellybeans_NOUN	1925	8	8
jellybeans_NOUN	1926	3	3
jellybeans_NOUN	1927	5	5
jellybeans_NOUN	1929	3	2
jellybeans_NOUN	1930	2	1
jellybeans_NOUN	1931	1	1
jellybeans_NOUN	1935	2	2
jellybeans_NOUN	1936	3	3
jellybeans_NOUN	1937	2	2
jellybeans_NOUN	1938	1	1
jellybeans_NOUN	1940	3	3
jellybeans_NOUN	1941	4	4
jellybeans_NOUN	1942	2	2
jellybeans_NOUN	1944	1	1
jellybeans_NOUN	1945	3	2
jellybeans_NOUN	1946	1	1
jellybeans_NOUN	1947	1	1
jellybeans_NOUN	1948	4	4
jellybeans_NOUN	1949	2	2
jellybeans_NOUN	1950	1	1
jellybeans_NOUN	1951	2	2
jellybeans_NOUN	1952	4	2
jellybeans_NOUN	1953	3	2
jellybeans_NOUN	1954	7	5
jellybeans_NOUN	1955	4	2
jellybeans_NOUN	1956	5	4
jellybeans_NOUN	1957	7	4
jellybeans_NOUN	1958	5	5
jellybeans_NOUN	1959	18	12
jellybeans_NOUN	1960	9	7
jellybeans_NOUN	1961	8	8
jellybeans_NOUN	1962	5	5
jellybeans_NOUN	1963	4	4
jellybeans_NOUN	1964	10	8
jellybeans_NOUN	1965	7	6
jellybeans_NOUN	1966	33	16
jellybeans_NOUN	1967	16	12
jellybeans_NOUN	1968	17	10
jellybeans_NOUN	1969	20	14
jellybeans_NOUN	1970	35	23
jellybeans_NOUN	1971	59	18
jellybeans_NOUN	1972	23	22
jellybeans_NOUN	1973	30	28
jellybeans_NOUN	1974	37	29
jellybeans_NOUN	1975	49	30
jellybeans_NOUN	1976	71	34
jellybeans_NOUN	1977	35	17
jellybeans_NOUN	1978	139	40
jellybeans_NOUN	1979	57	34
jellybeans_NOUN	1980	70	39
jellybeans_NOUN	1981	118	62
jellybeans_NOUN	1982	110	58
jellybeans_NOUN	1983	78	57
jellybeans_NOUN	1984	89	51
jellybeans_NOUN	1985	80	64
jellybeans_NOUN	1986	180	84
jellybeans_NOUN	1987	199	68
jellybeans_NOUN	1988	82	54
jellybeans_NOUN	1989	141	81
jellybeans_NOUN	1990	163	96
jellybeans_NOUN	1991	187	108
jellybeans_NOUN	1992	165	101
jellybeans_NOUN	1993	140	79
jellybeans_NOUN	1994	166	107
jellybeans_NOUN	1995	184	96
jellybeans_NOUN	1996	134	102
jellybeans_NOUN	1997	298	110
jellybeans_NOUN	1998	346	149
jellybeans_NOUN	1999	326	175
jellybeans_NOUN	2000	345	192
jellybeans_NOUN	2001	539	262
jellybeans_NOUN	2002	573	266
jellybeans_NOUN	2003	614	300
jellybeans_NOUN	2004	754	370
jellybeans_NOUN	2005	763	382
jellybeans_NOUN	2006	642	301
jellybeans_NOUN	2007	668	353
jellybeans_NOUN	2008	553	314
jellybean_NOUN	1925	1	1
jellybean_NOUN	1926	3	3
jellybean_NOUN	1927	2	2
jellybean_NOUN	1930	1	1
jellybean_NOUN	1931	2	2
jellybean_NOUN	1934	1	1
jellybean_NOUN	1936	1	1
jellybean_NOUN	1937	5	5
jellybean_NOUN	1941	1	1
jellybean_NOUN	1942	1	1
jellybean_NOUN	1943	1	1
jellybean_NOUN	1949	1	1
jellybean_NOUN	1952	1	1
jellybean_NOUN	1955	1	1
jellybean_NOUN	1957	1	1
jellybean_NOUN	1958	1	1
jellybean_NOUN	1960	5	5
jellybean_NOUN	1962	4	4
jellybean_NOUN	1963	2	1
jellybean_NOUN	1964	6	1
jellybean_NOUN	1965	4	4
jellybean_NOUN	1966	3	2
jellybean_NOUN	1967	1	1
jellybean_NOUN	1969	6	4
jellybean_NOUN	1970	1	1
jellybean_NOUN	1971	2	2
jellybean_NOUN	1972	1	1
jellybean_NOUN	1973	4	4
jellybean_NOUN	1974	6	5
jellybean_NOUN	1975	10	7
jellybean_NOUN	1976	4	4
jellybean_NOUN	1978	16	9
jellybean_NOUN	1979	8	7
jellybean_NOUN	1980	9	8
jellybean_NOUN	1981	25	13
jellybean_NOUN	1982	25	17
jellybean_NOUN	1983	15	8
jellybean_NOUN	1984	32	18
jellybean_NOUN	1985	20	14
jellybean_NOUN	1986	22	14
jellybean_NOUN	1987	44	25
jellybean_NOUN	1988	24	19
jellybean_NOUN	1989	21	16
jellybean_NOUN	1990	38	21
jellybean_NOUN	1991	43	30
jellybean_NOUN	1992	35	25
jellybean_NOUN	1993	30	22
jellybean_NOUN	1994	27	23
jellybean_NOUN	1995	20	15
jellybean_NOUN	1996	29	24
jellybean_NOUN	1997	46	36
jellybean_NOUN	1998	58	33
jellybean_NOUN	1999	57	33
jellybean_NOUN	2000	70	49
jellybean_NOUN	2001	98	57
jellybean_NOUN	2002	98	69
jellybean_NOUN	2003	160	89
jellybean_NOUN	2004	161	104
jellybean_NOUN	2005	160	104
jellybean_NOUN	2006	151	74
jellybean_NOUN	2007	170	79
jellybean_NOUN	2008	143	80
