noun	year	match_count	volume_count
Jellybeans_NOUN	1921	3	2
Jellybeans_NOUN	1923	1	1
Jellybeans_NOUN	1925	2	1
Jellybeans_NOUN	1929	5	3
Jellybeans_NOUN	1931	1	1
Jellybeans_NOUN	1935	3	3
Jellybeans_NOUN	1938	3	3
Jellybeans_NOUN	1939	2	2
Jellybeans_NOUN	1940	7	6
Jellybeans_NOUN	1941	1	1
Jellybeans_NOUN	1943	1	1
Jellybeans_NOUN	1945	1	1
Jellybeans_NOUN	1946	1	1
Jellybeans_NOUN	1947	3	3
Jellybeans_NOUN	1949	4	2
Jellybeans_NOUN	1950	4	4
Jellybeans_NOUN	1951	3	3
Jellybeans_NOUN	1952	1	1
Jellybeans_NOUN	1953	4	4
Jellybeans_NOUN	1954	4	4
Jellybeans_NOUN	1955	3	3
Jellybeans_NOUN	1958	7	6
Jellybeans_NOUN	1959	4	3
Jellybeans_NOUN	1960	1	1
Jellybeans_NOUN	1961	2	2
Jellybeans_NOUN	1962	3	3
Jellybeans_NOUN	1963	7	7
Jellybeans_NOUN	1964	3	2
Jellybeans_NOUN	1965	5	5
Jellybeans_NOUN	1966	8	8
Jellybeans_NOUN	1967	4	4
Jellybeans_NOUN	1968	5	5
Jellybeans_NOUN	1969	8	8
Jellybeans_NOUN	1970	7	6
Jellybeans_NOUN	1971	15	7
Jellybeans_NOUN	1972	12	6
Jellybeans_NOUN	1973	15	8
Jellybeans_NOUN	1974	23	14
Jellybeans_NOUN	1975	15	15
Jellybeans_NOUN	1976	16	16
Jellybeans_NOUN	1977	21	19
Jellybeans_NOUN	1978	30	24
Jellybeans_NOUN	1979	18	14
Jellybeans_NOUN	1980	29	23
Jellybeans_NOUN	1981	22	20
Jellybeans_NOUN	1982	17	16
Jellybeans_NOUN	1983	32	25
Jellybeans_NOUN	1984	57	45
Jellybeans_NOUN	1985	29	22
Jellybeans_NOUN	1986	33	27
Jellybeans_NOUN	1987	33	28
Jellybeans_NOUN	1988	31	24
Jellybeans_NOUN	1989	26	25
Jellybeans_NOUN	1990	48	39
Jellybeans_NOUN	1991	32	27
Jellybeans_NOUN	1992	35	32
Jellybeans_NOUN	1993	31	30
Jellybeans_NOUN	1994	54	37
Jellybeans_NOUN	1995	54	45
Jellybeans_NOUN	1996	77	69
Jellybeans_NOUN	1997	63	54
Jellybeans_NOUN	1998	57	51
Jellybeans_NOUN	1999	65	61
Jellybeans_NOUN	2000	70	62
Jellybeans_NOUN	2001	83	70
Jellybeans_NOUN	2002	101	91
Jellybeans_NOUN	2003	114	100
Jellybeans_NOUN	2004	121	95
Jellybeans_NOUN	2005	122	109
Jellybeans_NOUN	2006	117	97
Jellybeans_NOUN	2007	92	75
Jellybeans_NOUN	2008	79	69
JellyBean_NOUN	1921	1	1
JellyBean_NOUN	1922	2	2
JellyBean_NOUN	1936	1	1
JellyBean_NOUN	1938	2	1
JellyBean_NOUN	1939	6	3
JellyBean_NOUN	1941	4	4
JellyBean_NOUN	1942	1	1
JellyBean_NOUN	1944	1	1
JellyBean_NOUN	1945	2	1
JellyBean_NOUN	1946	3	1
JellyBean_NOUN	1947	11	6
JellyBean_NOUN	1948	2	2
JellyBean_NOUN	1949	7	5
JellyBean_NOUN	1951	6	3
JellyBean_NOUN	1952	1	1
JellyBean_NOUN	1953	1	1
