noun	year	match_count	volume_count
PandaBears_NOUN	1942	11	2
PandaBears_NOUN	1943	26	1
PandaBears_NOUN	1944	6	1
PandaBears_NOUN	1945	3	1
PandaBears_NOUN	1952	1	1
PandaBears_NOUN	1958	6	2
PandaBears_NOUN	1960	1	1
PandaBears_NOUN	1961	3	3
PandaBears_NOUN	1963	21	3
PandaBears_NOUN	1965	1	1
PandaBears_NOUN	1966	6	2
PandaBears_NOUN	1971	4	1
PandaBears_NOUN	1972	3	2
PandaBears_NOUN	1974	1	1
PandaBears_NOUN	1976	1	1
PandaBears_NOUN	1977	10	5
PandaBears_NOUN	1978	18	5
PandaBears_NOUN	1979	7	4
PandaBears_NOUN	1980	12	1
PandaBears_NOUN	1981	12	2
PandaBears_NOUN	1982	10	3
PandaBears_NOUN	1983	2	2
PandaBears_NOUN	1984	28	6
PandaBears_NOUN	1985	6	3
PandaBears_NOUN	1987	10	5
PandaBears_NOUN	1988	4	2
PandaBears_NOUN	1989	16	6
PandaBears_NOUN	1990	3	1
PandaBears_NOUN	1991	100	2
PandaBears_NOUN	1992	8	5
PandaBears_NOUN	1993	8	7
PandaBears_NOUN	1994	58	4
PandaBears_NOUN	1995	7	5
PandaBears_NOUN	1996	2	2
PandaBears_NOUN	1997	10	7
PandaBears_NOUN	1998	2	2
PandaBears_NOUN	1999	15	2
PandaBears_NOUN	2000	22	7
PandaBears_NOUN	2001	18	8
PandaBears_NOUN	2002	5	4
PandaBears_NOUN	2003	62	22
PandaBears_NOUN	2004	17	8
PandaBears_NOUN	2005	10	8
PandaBears_NOUN	2006	15	12
PandaBears_NOUN	2007	10	6
PandaBears_NOUN	2008	19	5
Pandabear_NOUN	1932	1	1
Pandabear_NOUN	1943	1	1
Pandabear_NOUN	1945	1	1
Pandabear_NOUN	1948	1	1
Pandabear_NOUN	1953	1	1
Pandabear_NOUN	1954	1	1
Pandabear_NOUN	1957	7	4
Pandabear_NOUN	1960	1	1
Pandabear_NOUN	1961	1	1
Pandabear_NOUN	1965	1	1
Pandabear_NOUN	1966	1	1
Pandabear_NOUN	1967	1	1
Pandabear_NOUN	1969	1	1
Pandabear_NOUN	1970	1	1
Pandabear_NOUN	1971	1	1
Pandabear_NOUN	1973	3	2
Pandabear_NOUN	1974	3	2
Pandabear_NOUN	1975	1	1
Pandabear_NOUN	1976	5	2
Pandabear_NOUN	1977	1	1
Pandabear_NOUN	1978	1	1
Pandabear_NOUN	1979	1	1
Pandabear_NOUN	1980	3	3
Pandabear_NOUN	1981	8	6
Pandabear_NOUN	1982	4	2
Pandabear_NOUN	1983	2	2
Pandabear_NOUN	1984	3	2
Pandabear_NOUN	1985	7	5
Pandabear_NOUN	1986	7	5
Pandabear_NOUN	1988	6	4
Pandabear_NOUN	1989	6	5
Pandabear_NOUN	1990	1	1
Pandabear_NOUN	1991	7	7
Pandabear_NOUN	1992	5	5
Pandabear_NOUN	1993	5	4
Pandabear_NOUN	1994	10	8
Pandabear_NOUN	1995	7	7
Pandabear_NOUN	1996	11	10
Pandabear_NOUN	1997	5	5
Pandabear_NOUN	1998	10	9
Pandabear_NOUN	1999	5	5
Pandabear_NOUN	2000	13	13
Pandabear_NOUN	2001	7	7
Pandabear_NOUN	2002	23	21
Pandabear_NOUN	2003	8	7
Pandabear_NOUN	2004	21	17
Pandabear_NOUN	2005	27	23
Pandabear_NOUN	2006	13	13
Pandabear_NOUN	2007	14	14
Pandabear_NOUN	2008	18	17
pandabear_NOUN	1932	1	1
pandabear_NOUN	1946	1	1
pandabear_NOUN	1948	2	2
pandabear_NOUN	1950	1	1
pandabear_NOUN	1952	4	4
pandabear_NOUN	1953	1	1
pandabear_NOUN	1955	11	7
pandabear_NOUN	1957	2	1
pandabear_NOUN	1959	4	2
pandabear_NOUN	1960	2	1
pandabear_NOUN	1961	7	6
pandabear_NOUN	1962	5	5
pandabear_NOUN	1963	3	3
pandabear_NOUN	1964	1	1
pandabear_NOUN	1965	6	3
pandabear_NOUN	1966	1	1
pandabear_NOUN	1967	10	9
pandabear_NOUN	1968	11	8
pandabear_NOUN	1969	15	13
pandabear_NOUN	1970	11	11
pandabear_NOUN	1971	8	8
pandabear_NOUN	1972	10	9
pandabear_NOUN	1973	3	3
pandabear_NOUN	1974	14	12
pandabear_NOUN	1975	18	15
pandabear_NOUN	1976	23	13
pandabear_NOUN	1977	31	29
pandabear_NOUN	1978	26	21
pandabear_NOUN	1979	23	19
pandabear_NOUN	1980	39	24
pandabear_NOUN	1981	39	31
pandabear_NOUN	1982	58	21
pandabear_NOUN	1983	29	27
pandabear_NOUN	1984	41	28
pandabear_NOUN	1985	56	39
pandabear_NOUN	1986	37	33
pandabear_NOUN	1987	28	27
pandabear_NOUN	1988	58	44
pandabear_NOUN	1989	72	53
pandabear_NOUN	1990	77	64
pandabear_NOUN	1991	78	58
pandabear_NOUN	1992	78	75
pandabear_NOUN	1993	84	60
pandabear_NOUN	1994	149	61
pandabear_NOUN	1995	100	86
pandabear_NOUN	1996	78	65
pandabear_NOUN	1997	140	109
pandabear_NOUN	1998	106	77
pandabear_NOUN	1999	74	65
pandabear_NOUN	2000	129	101
pandabear_NOUN	2001	108	90
pandabear_NOUN	2002	141	96
pandabear_NOUN	2003	162	125
pandabear_NOUN	2004	164	140
pandabear_NOUN	2005	171	127
pandabear_NOUN	2006	176	138
pandabear_NOUN	2007	208	146
pandabear_NOUN	2008	192	150
Pandabears_NOUN	1976	1	1
Pandabears_NOUN	1977	1	1
Pandabears_NOUN	1981	1	1
Pandabears_NOUN	1984	2	1
Pandabears_NOUN	1985	3	2
Pandabears_NOUN	1987	4	4
Pandabears_NOUN	1988	4	3
Pandabears_NOUN	1990	2	2
Pandabears_NOUN	1991	9	6
Pandabears_NOUN	1992	1	1
Pandabears_NOUN	1993	2	2
Pandabears_NOUN	1994	7	5
Pandabears_NOUN	1995	5	5
Pandabears_NOUN	1996	7	7
Pandabears_NOUN	1997	6	5
Pandabears_NOUN	1998	7	5
Pandabears_NOUN	1999	5	5
Pandabears_NOUN	2000	4	2
Pandabears_NOUN	2001	3	3
Pandabears_NOUN	2002	5	5
Pandabears_NOUN	2003	15	10
Pandabears_NOUN	2004	15	11
Pandabears_NOUN	2005	5	4
Pandabears_NOUN	2006	8	7
Pandabears_NOUN	2007	3	3
Pandabears_NOUN	2008	7	5
PandaBear_NOUN	1896	1	1
PandaBear_NOUN	1942	2	2
PandaBear_NOUN	1943	2	1
PandaBear_NOUN	1944	1	1
PandaBear_NOUN	1952	1	1
PandaBear_NOUN	1958	1	1
PandaBear_NOUN	1963	2	1
PandaBear_NOUN	1965	1	1
PandaBear_NOUN	1966	1	1
PandaBear_NOUN	1967	5	5
PandaBear_NOUN	1968	1	1
PandaBear_NOUN	1969	2	2
PandaBear_NOUN	1971	4	1
PandaBear_NOUN	1972	6	4
PandaBear_NOUN	1974	5	3
PandaBear_NOUN	1976	7	4
PandaBear_NOUN	1977	3	3
PandaBear_NOUN	1978	4	4
PandaBear_NOUN	1979	11	7
PandaBear_NOUN	1980	11	6
PandaBear_NOUN	1981	12	5
PandaBear_NOUN	1982	13	5
PandaBear_NOUN	1983	4	3
PandaBear_NOUN	1984	30	3
PandaBear_NOUN	1985	8	3
PandaBear_NOUN	1986	5	3
PandaBear_NOUN	1987	10	6
PandaBear_NOUN	1988	12	6
PandaBear_NOUN	1989	10	5
PandaBear_NOUN	1990	20	12
PandaBear_NOUN	1991	17	8
PandaBear_NOUN	1992	13	8
PandaBear_NOUN	1993	33	15
PandaBear_NOUN	1994	66	10
PandaBear_NOUN	1995	34	13
PandaBear_NOUN	1996	31	15
PandaBear_NOUN	1997	29	13
PandaBear_NOUN	1998	43	8
PandaBear_NOUN	1999	14	10
PandaBear_NOUN	2000	109	22
PandaBear_NOUN	2001	44	16
PandaBear_NOUN	2002	28	18
PandaBear_NOUN	2003	34	14
PandaBear_NOUN	2004	78	27
PandaBear_NOUN	2005	137	37
PandaBear_NOUN	2006	83	32
PandaBear_NOUN	2007	50	34
PandaBear_NOUN	2008	53	26
pandabears_NOUN	1942	1	1
pandabears_NOUN	1946	1	1
pandabears_NOUN	1953	1	1
pandabears_NOUN	1959	3	3
pandabears_NOUN	1966	1	1
