noun	year	match_count	volume_count
sportscar_NOUN	1766	1	1
sportscar_NOUN	1835	10	2
sportscar_NOUN	1872	1	1
sportscar_NOUN	1873	1	1
sportscar_NOUN	1877	1	1
sportscar_NOUN	1890	1	1
sportscar_NOUN	1893	1	1
sportscar_NOUN	1904	3	1
sportscar_NOUN	1918	1	1
sportscar_NOUN	1923	3	3
sportscar_NOUN	1924	4	4
sportscar_NOUN	1925	7	4
sportscar_NOUN	1926	4	3
sportscar_NOUN	1927	1	1
sportscar_NOUN	1928	14	8
sportscar_NOUN	1929	18	12
sportscar_NOUN	1930	15	12
sportscar_NOUN	1931	19	15
sportscar_NOUN	1932	27	17
sportscar_NOUN	1933	24	15
sportscar_NOUN	1934	48	33
sportscar_NOUN	1935	46	38
sportscar_NOUN	1936	68	43
sportscar_NOUN	1937	48	39
sportscar_NOUN	1938	47	38
sportscar_NOUN	1939	57	38
sportscar_NOUN	1940	29	26
sportscar_NOUN	1941	50	26
sportscar_NOUN	1942	249	13
sportscar_NOUN	1943	184	17
sportscar_NOUN	1944	246	16
sportscar_NOUN	1945	215	27
sportscar_NOUN	1946	188	31
sportscar_NOUN	1947	294	46
sportscar_NOUN	1948	232	28
sportscar_NOUN	1949	181	29
sportscar_NOUN	1950	175	58
sportscar_NOUN	1951	60	39
sportscar_NOUN	1952	360	71
sportscar_NOUN	1953	197	66
sportscar_NOUN	1954	819	138
sportscar_NOUN	1955	487	126
sportscar_NOUN	1956	315	171
sportscar_NOUN	1957	514	194
sportscar_NOUN	1958	475	223
sportscar_NOUN	1959	473	232
sportscar_NOUN	1960	765	331
sportscar_NOUN	1961	620	309
sportscar_NOUN	1962	682	387
sportscar_NOUN	1963	904	369
sportscar_NOUN	1964	894	443
sportscar_NOUN	1965	1086	485
sportscar_NOUN	1966	897	491
sportscar_NOUN	1967	1304	601
sportscar_NOUN	1968	1190	616
sportscar_NOUN	1969	1313	626
sportscar_NOUN	1970	1797	709
sportscar_NOUN	1971	1216	652
sportscar_NOUN	1972	1574	661
sportscar_NOUN	1973	1562	689
sportscar_NOUN	1974	1497	746
sportscar_NOUN	1975	1245	716
sportscar_NOUN	1976	1341	758
sportscar_NOUN	1977	1596	779
sportscar_NOUN	1978	1585	787
sportscar_NOUN	1979	1757	838
sportscar_NOUN	1980	1865	983
sportscar_NOUN	1981	2127	966
sportscar_NOUN	1982	2355	1162
sportscar_NOUN	1983	2442	1181
sportscar_NOUN	1984	2920	1272
sportscar_NOUN	1985	2622	1356
sportscar_NOUN	1986	2546	1467
sportscar_NOUN	1987	3064	1501
sportscar_NOUN	1988	3280	1597
