noun	year	match_count	volume_count
TShirt_NOUN	1961	1	1
TShirt_NOUN	1974	1	1
TShirt_NOUN	1978	1	1
TShirt_NOUN	1980	1	1
TShirt_NOUN	1981	2	2
TShirt_NOUN	1983	2	2
TShirt_NOUN	1986	1	1
TShirt_NOUN	1987	1	1
TShirt_NOUN	1988	5	5
TShirt_NOUN	1989	8	6
TShirt_NOUN	1990	4	4
TShirt_NOUN	1993	4	4
TShirt_NOUN	1994	6	6
TShirt_NOUN	1995	5	5
TShirt_NOUN	1996	6	6
TShirt_NOUN	1997	5	5
TShirt_NOUN	1998	11	10
TShirt_NOUN	1999	4	4
TShirt_NOUN	2000	7	6
TShirt_NOUN	2001	17	12
TShirt_NOUN	2002	4	4
TShirt_NOUN	2003	35	11
TShirt_NOUN	2004	8	8
TShirt_NOUN	2005	11	10
TShirt_NOUN	2006	15	9
TShirt_NOUN	2007	38	10
TShirt_NOUN	2008	12	12
TShirts_NOUN	1971	1	1
TShirts_NOUN	1975	1	1
TShirts_NOUN	1976	1	1
TShirts_NOUN	1978	5	5
TShirts_NOUN	1980	6	3
TShirts_NOUN	1983	6	4
TShirts_NOUN	1984	1	1
TShirts_NOUN	1985	2	2
TShirts_NOUN	1986	1	1
TShirts_NOUN	1987	2	2
TShirts_NOUN	1988	2	2
TShirts_NOUN	1989	4	4
TShirts_NOUN	1990	4	4
TShirts_NOUN	1991	5	5
TShirts_NOUN	1992	9	8
TShirts_NOUN	1993	3	3
TShirts_NOUN	1994	12	12
TShirts_NOUN	1995	6	6
TShirts_NOUN	1996	16	15
TShirts_NOUN	1997	5	4
TShirts_NOUN	1998	6	5
TShirts_NOUN	1999	5	5
TShirts_NOUN	2000	11	11
TShirts_NOUN	2001	6	6
TShirts_NOUN	2002	2	2
TShirts_NOUN	2003	20	16
TShirts_NOUN	2004	7	7
TShirts_NOUN	2005	27	24
TShirts_NOUN	2006	18	18
TShirts_NOUN	2007	5	5
TShirts_NOUN	2008	13	6
tshirts_NOUN	1966	3	3
tshirts_NOUN	1969	1	1
tshirts_NOUN	1975	1	1
tshirts_NOUN	1978	3	2
tshirts_NOUN	1979	5	5
tshirts_NOUN	1980	3	3
tshirts_NOUN	1981	7	5
tshirts_NOUN	1982	2	2
tshirts_NOUN	1983	11	3
tshirts_NOUN	1984	22	11
tshirts_NOUN	1985	8	7
tshirts_NOUN	1986	2	1
tshirts_NOUN	1987	11	9
tshirts_NOUN	1988	6	6
tshirts_NOUN	1989	7	7
tshirts_NOUN	1990	17	17
tshirts_NOUN	1991	19	19
tshirts_NOUN	1992	35	26
tshirts_NOUN	1993	20	19
tshirts_NOUN	1994	49	38
tshirts_NOUN	1995	53	47
tshirts_NOUN	1996	71	57
tshirts_NOUN	1997	56	52
tshirts_NOUN	1998	57	44
tshirts_NOUN	1999	40	37
tshirts_NOUN	2000	98	82
tshirts_NOUN	2001	91	62
tshirts_NOUN	2002	123	96
tshirts_NOUN	2003	147	136
tshirts_NOUN	2004	133	121
tshirts_NOUN	2005	125	119
tshirts_NOUN	2006	149	142
tshirts_NOUN	2007	159	140
tshirts_NOUN	2008	146	138
Tshirt_NOUN	1817	1	1
Tshirt_NOUN	1923	1	1
Tshirt_NOUN	1947	1	1
Tshirt_NOUN	1948	1	1
Tshirt_NOUN	1949	1	1
Tshirt_NOUN	1950	4	4
Tshirt_NOUN	1951	1	1
Tshirt_NOUN	1952	1	1
Tshirt_NOUN	1954	3	3
Tshirt_NOUN	1955	4	4
Tshirt_NOUN	1956	4	4
Tshirt_NOUN	1957	2	2
Tshirt_NOUN	1958	2	2
Tshirt_NOUN	1959	5	5
Tshirt_NOUN	1960	1	1
Tshirt_NOUN	1961	4	4
Tshirt_NOUN	1962	2	2
Tshirt_NOUN	1963	2	2
Tshirt_NOUN	1964	9	6
Tshirt_NOUN	1965	4	4
Tshirt_NOUN	1966	14	14
Tshirt_NOUN	1967	15	15
Tshirt_NOUN	1968	24	22
Tshirt_NOUN	1969	17	17
Tshirt_NOUN	1970	31	30
Tshirt_NOUN	1971	17	17
Tshirt_NOUN	1972	17	15
Tshirt_NOUN	1973	33	29
Tshirt_NOUN	1974	19	19
Tshirt_NOUN	1975	38	25
Tshirt_NOUN	1976	22	20
Tshirt_NOUN	1977	44	40
Tshirt_NOUN	1978	58	54
Tshirt_NOUN	1979	80	74
Tshirt_NOUN	1980	77	68
Tshirt_NOUN	1981	112	102
Tshirt_NOUN	1982	112	103
Tshirt_NOUN	1983	155	142
