workerid,rt,dist1_color,dist1_pos,target_item,dist2_item,dist2_pos,target_pos,dist1_item,dist2_color,target_color,response,condition,slide_number_in_experiment,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,3958,blue,2,banana,apple,1,0,cup,red,blue,banana,overinformative,4,English,1,Male,30,Thanks,Yes,4,Windows,939,1173,Firefox,3IKDQS3DQDZ95QCBGOLW6V26CFJIC9,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Tue Oct 18 11:11:01 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 17 10:11:01 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3IKDQS3DQDZ95QCBGOLW6V26CFJIC9,3ERMJ6L4DYRSBC500OGF6MDXPW57MW,0,Submitted,Wed Oct 19 03:52:41 PDT 2016,Tue Oct 18 11:11:32 PDT 2016,Tue Oct 18 11:12:41 PDT 2016,,,,,,[],{},1.07195
0,2879,pink,1,carrot,apple,0,2,bowl,blue,pink,carrot,overinformative,5,English,1,Male,30,Thanks,Yes,4,Windows,939,1173,Firefox,3IKDQS3DQDZ95QCBGOLW6V26CFJIC9,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Tue Oct 18 11:11:01 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 17 10:11:01 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3IKDQS3DQDZ95QCBGOLW6V26CFJIC9,3ERMJ6L4DYRSBC500OGF6MDXPW57MW,0,Submitted,Wed Oct 19 03:52:41 PDT 2016,Tue Oct 18 11:11:32 PDT 2016,Tue Oct 18 11:12:41 PDT 2016,,,,,,[],{},1.07195
0,2653,yellow,0,banana,tomato,1,2,spoon,red,yellow,banana,overinformative,6,English,1,Male,30,Thanks,Yes,4,Windows,939,1173,Firefox,3IKDQS3DQDZ95QCBGOLW6V26CFJIC9,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Tue Oct 18 11:11:01 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 17 10:11:01 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3IKDQS3DQDZ95QCBGOLW6V26CFJIC9,3ERMJ6L4DYRSBC500OGF6MDXPW57MW,0,Submitted,Wed Oct 19 03:52:41 PDT 2016,Tue Oct 18 11:11:32 PDT 2016,Tue Oct 18 11:12:41 PDT 2016,,,,,,[],{},1.07195
0,2290,blue,0,apple,tomato,1,2,spoon,red,blue,apple,overinformative,7,English,1,Male,30,Thanks,Yes,4,Windows,939,1173,Firefox,3IKDQS3DQDZ95QCBGOLW6V26CFJIC9,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Tue Oct 18 11:11:01 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 17 10:11:01 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3IKDQS3DQDZ95QCBGOLW6V26CFJIC9,3ERMJ6L4DYRSBC500OGF6MDXPW57MW,0,Submitted,Wed Oct 19 03:52:41 PDT 2016,Tue Oct 18 11:11:32 PDT 2016,Tue Oct 18 11:12:41 PDT 2016,,,,,,[],{},1.07195
0,1733,orange,0,pear,pepper,2,1,cup,red,orange,pear,overinformative,8,English,1,Male,30,Thanks,Yes,4,Windows,939,1173,Firefox,3IKDQS3DQDZ95QCBGOLW6V26CFJIC9,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Tue Oct 18 11:11:01 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 17 10:11:01 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3IKDQS3DQDZ95QCBGOLW6V26CFJIC9,3ERMJ6L4DYRSBC500OGF6MDXPW57MW,0,Submitted,Wed Oct 19 03:52:41 PDT 2016,Tue Oct 18 11:11:32 PDT 2016,Tue Oct 18 11:12:41 PDT 2016,,,,,,[],{},1.07195
0,1656,red,2,apple,banana,1,0,bowl,yellow,red,apple,overinformative,9,English,1,Male,30,Thanks,Yes,4,Windows,939,1173,Firefox,3IKDQS3DQDZ95QCBGOLW6V26CFJIC9,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Tue Oct 18 11:11:01 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 17 10:11:01 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3IKDQS3DQDZ95QCBGOLW6V26CFJIC9,3ERMJ6L4DYRSBC500OGF6MDXPW57MW,0,Submitted,Wed Oct 19 03:52:41 PDT 2016,Tue Oct 18 11:11:32 PDT 2016,Tue Oct 18 11:12:41 PDT 2016,,,,,,[],{},1.07195
0,1894,red,0,tomato,pepper,1,2,bowl,orange,red,tomato,overinformative,10,English,1,Male,30,Thanks,Yes,4,Windows,939,1173,Firefox,3IKDQS3DQDZ95QCBGOLW6V26CFJIC9,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Tue Oct 18 11:11:01 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 17 10:11:01 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3IKDQS3DQDZ95QCBGOLW6V26CFJIC9,3ERMJ6L4DYRSBC500OGF6MDXPW57MW,0,Submitted,Wed Oct 19 03:52:41 PDT 2016,Tue Oct 18 11:11:32 PDT 2016,Tue Oct 18 11:12:41 PDT 2016,,,,,,[],{},1.07195
0,1777,pink,0,tomato,pear,2,1,cup,orange,pink,tomato,overinformative,11,English,1,Male,30,Thanks,Yes,4,Windows,939,1173,Firefox,3IKDQS3DQDZ95QCBGOLW6V26CFJIC9,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Tue Oct 18 11:11:01 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 17 10:11:01 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3IKDQS3DQDZ95QCBGOLW6V26CFJIC9,3ERMJ6L4DYRSBC500OGF6MDXPW57MW,0,Submitted,Wed Oct 19 03:52:41 PDT 2016,Tue Oct 18 11:11:32 PDT 2016,Tue Oct 18 11:12:41 PDT 2016,,,,,,[],{},1.07195
0,2671,orange,0,pepper,carrot,1,2,spoon,pink,orange,pepper,overinformative,12,English,1,Male,30,Thanks,Yes,4,Windows,939,1173,Firefox,3IKDQS3DQDZ95QCBGOLW6V26CFJIC9,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Tue Oct 18 11:11:01 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 17 10:11:01 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3IKDQS3DQDZ95QCBGOLW6V26CFJIC9,3ERMJ6L4DYRSBC500OGF6MDXPW57MW,0,Submitted,Wed Oct 19 03:52:41 PDT 2016,Tue Oct 18 11:11:32 PDT 2016,Tue Oct 18 11:12:41 PDT 2016,,,,,,[],{},1.07195
0,1668,red,2,pepper,tomato,1,0,cup,pink,red,pepper,overinformative,13,English,1,Male,30,Thanks,Yes,4,Windows,939,1173,Firefox,3IKDQS3DQDZ95QCBGOLW6V26CFJIC9,3POY5Z28G53VRYPVAK2GR4T3HIUYSD,Language study,A 3-minute study where you select objects.,language experiment study communication stanford fun cognitive science,$0.30,Tue Oct 18 11:11:01 PDT 2016,15,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Nov 17 10:11:01 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3IKDQS3DQDZ95QCBGOLW6V26CFJIC9,3ERMJ6L4DYRSBC500OGF6MDXPW57MW,0,Submitted,Wed Oct 19 03:52:41 PDT 2016,Tue Oct 18 11:11:32 PDT 2016,Tue Oct 18 11:12:41 PDT 2016,,,,,,[],{},1.07195
