gameid, time, roundNum, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs 
9262-6,1447390299440,1,colorOnly,small_black_avocado,target,2,2,small_green_avocado,distractor,3,1,big_green_avocado,distractor,1,3
9262-6,1447390303819,2,filler,schoolbus,distractor,3,3,ketchup,target,2,1,eggplant,distractor,1,2
9262-6,1447390304373,3,filler,fireextinguisher,target,2,3,fox,distractor,3,1,egg,distractor,1,2
9262-6,1447390304829,4,sizeOnly,big_blue_rug,target,3,3,small_blue_rug,distractor,1,1,small_purple_rug,distractor,2,2
9262-6,1447390305429,5,filler,egg,target,1,3,hotdog,distractor,3,1,flamingo,distractor,2,2
9262-6,1447390305982,6,filler,grapefruit,distractor,1,3,television,target,2,1,chick,distractor,3,2
9262-6,1447390309365,7,filler,violin,target,1,3,baseball,distractor,2,2,cherries,distractor,3,1
9262-6,1447390309949,8,filler,violin,distractor,1,3,basketball,distractor,2,2,zucchini,target,3,1
9262-6,1447390310517,9,filler,eggplant,distractor,1,3,bulldozer,distractor,3,2,garbagecan,target,2,1
9262-6,1447390311109,10,filler,coconut,distractor,3,3,violin,distractor,2,2,firehydrant,target,1,1
9262-6,1447390331518,11,colorOnly,small_purple_stapler,target,2,1,big_red_stapler,distractor,3,3,small_red_stapler,distractor,1,2
9262-6,1447390332433,12,filler,firehydrant,target,2,1,tooth,distractor,1,2,eggplant,distractor,3,3
9262-6,1447390332946,13,colorOnly,small_purple_flower,target,1,1,big_red_flower,distractor,3,2,small_red_flower,distractor,2,3
9262-6,1447390373534,14,colorAndSize,big_purple_hairdryer,target,1,3,small_pink_hairdryer,distractor,3,2,small_pink_hairdryer,distractor,2,1
9262-6,1447390385567,15,colorOnly,small_orange_billiardball,target,1,3,small_purple_billiardball,distractor,2,2,big_purple_billiardball,distractor,3,1
9262-6,1447390386220,16,filler,polarbear,distractor,2,3,flamingo,target,1,1,ketchup,distractor,3,2
9262-6,1447390386796,17,filler,santahat,target,1,3,piano,distractor,3,1,zucchini,distractor,2,2
9262-6,1447390387399,18,filler,television,target,3,3,broccoli,distractor,1,1,cactus,distractor,2,2
9262-6,1447390388205,19,filler,tomato,distractor,2,3,ketchup,target,1,2,kiwi,distractor,3,1
9262-6,1447390388944,20,filler,teddybear,target,1,3,snowflake,distractor,3,1,horse,distractor,2,2
9262-6,1447390389592,21,filler,schoolbus,distractor,1,3,dresser,target,2,1,clarinet,distractor,3,2
9262-6,1447390390178,22,filler,orange,distractor,2,3,lemon,distractor,3,1,hotdog,target,1,2
9262-6,1447390390770,23,filler,strawberry,target,2,3,tennisball,distractor,1,2,eggplant,distractor,3,1
9262-6,1447390391426,24,filler,schoolbus,distractor,1,3,hotdog,target,3,1,carrot,distractor,2,2
9262-6,1447390414358,25,sizeOnly,small_red_pepper,target,3,1,big_green_pepper,distractor,2,2,big_red_pepper,distractor,1,3
9262-6,1447390415150,26,filler,raspberry,distractor,1,1,iguana,distractor,2,2,fireextinguisher,target,3,3
9262-6,1447390415801,27,filler,schoolbus,target,2,1,cherries,distractor,3,2,santahat,distractor,1,3
9262-6,1447390451515,28,colorAndSize,big_blue_butterfly,distractor,1,3,big_blue_butterfly,distractor,2,1,small_purple_butterfly,target,3,2
9262-6,1447390452036,29,filler,pumpkin,distractor,2,3,snake,target,3,1,teddybear,distractor,1,2
9262-6,1447390452437,30,filler,violin,distractor,1,3,broccoli,distractor,3,1,piano,target,2,2
9262-6,1447390452829,31,sizeOnly,small_red_toothbrush,target,1,3,big_blue_toothbrush,distractor,2,2,big_red_toothbrush,distractor,3,1
9262-6,1447390453231,32,filler,kiwi,distractor,2,3,football,distractor,3,2,motorcycle,target,1,1
9262-6,1447390453583,33,filler,strawberry,distractor,2,3,bison,target,1,1,hotdog,distractor,3,2
9262-6,1447390453838,34,filler,strawberry,target,3,3,egg,distractor,2,1,mailbox,distractor,1,2
9262-6,1447390454054,35,filler,tomato,target,2,3,dresser,distractor,1,2,garlic,distractor,3,1
9262-6,1447390454271,36,colorOnly,big_white_phone,distractor,1,3,small_pink_phone,target,3,1,small_white_phone,distractor,2,2
9262-6,1447390454487,37,filler,clarinet,distractor,1,3,carrot,distractor,2,1,bear,target,3,2
9262-6,1447390454914,38,filler,coconut,distractor,1,3,carrot,target,2,1,tomato,distractor,3,2
9262-6,1447390455316,39,sizeOnly,small_blue_candle,distractor,3,3,big_red_candle,target,2,2,small_red_candle,distractor,1,1
9262-6,1447390455604,40,sizeOnly,big_green_chair,distractor,3,3,big_red_chair,distractor,2,2,small_green_chair,target,1,1
9262-6,1447390455869,41,colorOnly,small_pink_golfball,target,1,3,small_blue_golfball,distractor,2,2,big_blue_golfball,distractor,3,1
9262-6,1447390456102,42,filler,watermelon,target,3,3,toilet,distractor,1,1,elephant,distractor,2,2
9262-6,1447390456332,43,filler,tire,distractor,2,3,fox,target,3,2,baseball,distractor,1,1
9262-6,1447390456605,44,filler,bison,distractor,3,3,tennisball,target,2,2,lime,distractor,1,1
