gameid, time, roundNum, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs 
9311-a,1447429702063,1,colorAndSize,big_orange_cap,target,3,1,small_blue_cap,distractor,1,2,small_blue_cap,distractor,2,3
9311-a,1447429708273,2,filler,rhinoceros,target,2,1,grapefruit,distractor,1,2,polarbear,distractor,3,3
9311-a,1447429715336,3,sizeOnly,big_blue_folder,target,3,3,small_blue_folder,distractor,1,1,small_green_folder,distractor,2,2
9311-a,1447429721671,4,filler,egg,target,1,2,kiwi,distractor,3,3,chick,distractor,2,1
9311-a,1447429725631,5,filler,egg,target,2,2,polarbear,distractor,1,3,bison,distractor,3,1
9311-a,1447429730896,6,filler,piano,target,3,3,television,distractor,2,2,garlic,distractor,1,1
9311-a,1447429735904,7,filler,schoolbus,target,2,3,broccoli,distractor,1,1,pumpkin,distractor,3,2
9311-a,1447429744631,8,filler,garbagecan,target,1,1,mailbox,distractor,2,3,toilet,distractor,3,2
9311-a,1447429757562,9,filler,broccoli,target,1,1,iguana,distractor,3,3,artichoke,distractor,2,2
9311-a,1447429763934,10,colorAndSize,small_purple_bike,target,2,2,big_red_bike,distractor,3,1,big_red_bike,distractor,1,3
9311-a,1447429772672,11,filler,artichoke,target,3,1,carrot,distractor,1,2,lemon,distractor,2,3
9311-a,1447429776648,12,filler,rubberduck,target,2,1,grapefruit,distractor,3,2,eggplant,distractor,1,3
9311-a,1447429782103,13,filler,motorcycle,target,2,3,santahat,distractor,1,1,polarbear,distractor,3,2
9311-a,1447429787758,14,filler,strawberry,target,1,1,smokedetector,distractor,2,3,schoolbus,distractor,3,2
9311-a,1447429792033,15,filler,cherries,target,3,2,kitten,distractor,1,3,kiwi,distractor,2,1
9311-a,1447429801118,16,colorOnly,small_pink_bucket,target,1,1,big_red_bucket,distractor,3,3,small_red_bucket,distractor,2,2
9311-a,1447429807793,17,filler,baseball,target,1,3,ketchup,distractor,2,1,basketball,distractor,3,2
9311-a,1447429811306,18,colorOnly,big_pink_teacup,target,1,3,big_white_teacup,distractor,2,2,small_white_teacup,distractor,3,1
9311-a,1447429815641,19,filler,firetruck,target,1,1,artichoke,distractor,3,3,fox,distractor,2,2
9311-a,1447429821344,20,filler,football,target,1,3,television,distractor,2,1,cherries,distractor,3,2
9311-a,1447429825959,21,colorOnly,small_black_belt,target,2,3,big_brown_belt,distractor,1,1,small_brown_belt,distractor,3,2
9311-a,1447429831879,22,filler,raspberry,target,3,1,motorcycle,distractor,2,3,santahat,distractor,1,2
9311-a,1447429834559,23,filler,santahat,target,2,1,sheep,distractor,1,3,carrot,distractor,3,2
9311-a,1447429838959,24,filler,polarbear,target,3,2,cactus,distractor,2,1,lime,distractor,1,3
9311-a,1447429842464,25,filler,television,target,1,1,clarinet,distractor,3,2,rubberduck,distractor,2,3
9311-a,1447429848047,26,sizeOnly,big_blue_butterfly,target,3,1,small_blue_butterfly,distractor,1,2,small_purple_butterfly,distractor,2,3
9311-a,1447429852470,27,filler,bison,target,2,2,tennisball,distractor,1,3,tire,distractor,3,1
9311-a,1447429855792,28,filler,cactus,target,1,1,tomato,distractor,2,3,snake,distractor,3,2
9311-a,1447429859880,29,filler,garlic,target,3,2,dresser,distractor,1,1,firetruck,distractor,2,3
9311-a,1447429863270,30,filler,tennisball,target,1,2,bulldozer,distractor,3,1,feather,distractor,2,3
9311-a,1447429867053,31,colorAndSize,big_black_avocado,target,1,2,small_green_avocado,distractor,3,3,small_green_avocado,distractor,2,1
9311-a,1447429871433,32,filler,artichoke,target,1,2,camera,distractor,3,3,polarbear,distractor,2,1
9311-a,1447429876118,33,sizeOnly,big_purple_ornament,target,3,3,small_purple_ornament,distractor,1,1,small_blue_ornament,distractor,2,2
9311-a,1447429879768,34,colorOnly,big_orange_cushion,target,1,3,small_blue_cushion,distractor,3,2,big_blue_cushion,distractor,2,1
9311-a,1447429883215,35,filler,kiwi,target,3,2,chick,distractor,2,3,firetruck,distractor,1,1
9311-a,1447429887661,36,filler,flamingo,target,3,3,lime,distractor,1,2,pumpkin,distractor,2,1
9311-a,1447429890913,37,colorOnly,small_red_stapler,target,3,1,big_purple_stapler,distractor,1,3,small_purple_stapler,distractor,2,2
9311-a,1447429908721,38,filler,orange,target,3,3,pumpkin,distractor,2,1,cherries,distractor,1,2
9311-a,1447429914124,39,filler,tooth,target,1,3,toilet,distractor,2,2,kitten,distractor,3,1
9311-a,1447429920832,40,filler,clarinet,target,3,3,bulldozer,distractor,1,1,horse,distractor,2,2
9311-a,1447429924712,41,filler,lion,target,3,2,toilet,distractor,2,1,fox,distractor,1,3
9311-a,1447429929892,42,sizeOnly,big_white_shoe,target,1,2,small_yellow_shoe,distractor,3,3,small_white_shoe,distractor,2,1
9311-a,1447429933600,43,colorOnly,big_orange_billiardball,target,1,3,big_purple_billiardball,distractor,2,2,small_purple_billiardball,distractor,3,1
9311-a,1447429937892,44,colorAndSize,small_blue_tack,target,3,3,big_red_tack,distractor,1,2,big_red_tack,distractor,2,1
9311-a,1447429942132,45,filler,penguin,target,3,1,elephant,distractor,2,2,violin,distractor,1,3
9311-a,1447429945415,46,filler,garlic,target,2,2,lion,distractor,3,1,sheep,distractor,1,3
9311-a,1447429949570,47,filler,tennisball,target,2,3,orange,distractor,3,1,sheep,distractor,1,2
9311-a,1447429952673,48,filler,lime,target,2,3,baseball,distractor,1,2,schoolbus,distractor,3,1
9311-a,1447429955970,49,filler,santahat,target,1,1,smokedetector,distractor,3,2,bear,distractor,2,3
9311-a,1447429959558,50,filler,bison,target,1,3,tooth,distractor,3,2,rhinoceros,distractor,2,1
9311-a,1447429964341,51,sizeOnly,big_blue_rug,target,2,3,small_blue_rug,distractor,1,2,small_purple_rug,distractor,3,1
9311-a,1447429968405,52,filler,teddybear,target,1,3,chick,distractor,2,2,dresser,distractor,3,1
9311-a,1447429972261,53,filler,toilet,target,3,1,horse,distractor,1,2,bulldozer,distractor,2,3
9311-a,1447429975796,54,colorAndSize,small_blue_book,target,1,3,big_black_book,distractor,2,1,big_black_book,distractor,3,2
9311-a,1447429981798,55,filler,zucchini,target,3,2,cactus,distractor,2,1,clarinet,distractor,1,3
9311-a,1447429986166,56,filler,toilet,target,3,3,egg,distractor,2,1,santahat,distractor,1,2
9311-a,1447429992909,57,sizeOnly,small_blue_toothbrush,target,3,1,big_blue_toothbrush,distractor,2,2,big_red_toothbrush,distractor,1,3
9311-a,1447429997549,58,sizeOnly,big_pink_phone,target,2,1,small_pink_phone,distractor,3,3,small_white_phone,distractor,1,2
9311-a,1447430001357,59,filler,violin,target,2,1,clarinet,distractor,1,2,tennisball,distractor,3,3
9311-a,1447430005069,60,filler,tomato,target,1,1,lemon,distractor,3,2,tophat,distractor,2,3
9311-a,1447430009597,61,colorAndSize,big_purple_bracelet,target,1,2,small_green_bracelet,distractor,3,1,small_green_bracelet,distractor,2,3
9311-a,1447430013590,62,colorAndSize,small_white_weddingcake,target,3,1,big_pink_weddingcake,distractor,1,3,big_pink_weddingcake,distractor,2,2
9311-a,1447430018445,63,sizeOnly,small_black_turtle,target,3,1,big_black_turtle,distractor,2,3,big_brown_turtle,distractor,1,2
9311-a,1447430023052,64,colorOnly,small_yellow_balloon,target,3,3,small_pink_balloon,distractor,2,1,big_pink_balloon,distractor,1,2
9311-a,1447430028195,65,sizeOnly,small_red_pepper,target,2,2,big_green_pepper,distractor,3,1,big_red_pepper,distractor,1,3
9311-a,1447430035260,66,filler,clarinet,target,1,2,piano,distractor,3,1,hotdog,distractor,2,3
9311-a,1447430039293,67,filler,feather,target,2,2,hotdog,distractor,1,1,ketchup,distractor,3,3
9311-a,1447430042261,68,filler,bear,target,1,1,camera,distractor,3,2,bison,distractor,2,3
9311-a,1447430046380,69,filler,artichoke,target,1,1,horse,distractor,3,3,tennisball,distractor,2,2
9311-a,1447430049903,70,colorAndSize,big_green_framee,target,3,2,small_pink_framee,distractor,2,1,small_pink_framee,distractor,1,3
9311-a,1447430053656,71,filler,elephant,target,3,2,camera,distractor,2,3,firetruck,distractor,1,1
9311-a,1447430058301,72,filler,lobster,target,1,2,santahat,distractor,3,3,lion,distractor,2,1
9311-a,1447430061691,73,colorOnly,big_red_chair,target,2,2,big_green_chair,distractor,1,3,small_green_chair,distractor,3,1
9311-a,1447430066563,74,filler,eggplant,target,2,3,tennisball,distractor,1,2,trumpet,distractor,3,1
9311-a,1447430071422,75,filler,zucchini,target,1,2,violin,distractor,3,1,cherries,distractor,2,3
9311-a,1447430075019,76,filler,banana,target,3,2,lion,distractor,2,3,tire,distractor,1,1
9311-a,1447430078646,77,filler,tooth,target,2,2,coconut,distractor,3,3,crocodile,distractor,1,1
9311-a,1447430082259,78,filler,artichoke,target,2,3,fireextinguisher,distractor,3,1,rubberduck,distractor,1,2
9311-a,1447430090564,79,colorOnly,big_black_comb,target,3,2,big_blue_comb,distractor,2,1,small_blue_comb,distractor,1,3
9311-a,1447430096634,80,filler,lobster,target,2,3,violin,distractor,1,2,kitten,distractor,3,1
9311-a,1447430099797,81,colorOnly,small_orange_coathanger,target,3,1,big_purple_coathanger,distractor,1,3,small_purple_coathanger,distractor,2,2
9311-a,1447430103412,82,colorOnly,small_blue_golfball,target,1,1,big_pink_golfball,distractor,3,2,small_pink_golfball,distractor,2,3
9311-a,1447430106385,83,filler,television,target,2,1,iguana,distractor,1,3,car,distractor,3,2
