gameid, time, roundNum, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs 
1754-2,1447427300970,1,sizeOnly,big_purple_bike,target,3,2,small_red_bike,distractor,2,1,small_purple_bike,distractor,1,3
1754-2,1447427321513,2,filler,football,target,3,3,gloves,distractor,2,1,rhinoceros,distractor,1,2
1754-2,1447427328680,3,filler,carrot,target,2,3,binoculars,distractor,1,1,car,distractor,3,2
1754-2,1447427338145,4,filler,fireextinguisher,target,3,1,smokedetector,distractor,2,2,horse,distractor,1,3
1754-2,1447427344843,5,filler,tophat,target,3,2,camera,distractor,2,1,grapefruit,distractor,1,3
1754-2,1447427353627,6,sizeOnly,big_brown_turtle,target,1,1,small_black_turtle,distractor,3,2,small_brown_turtle,distractor,2,3
1754-2,1447427364517,7,colorOnly,small_green_folder,target,2,1,small_blue_folder,distractor,3,3,big_blue_folder,distractor,1,2
1754-2,1447427383732,8,filler,artichoke,target,1,2,zucchini,distractor,3,3,football,distractor,2,1
1754-2,1447427404829,9,filler,feather,target,2,3,flamingo,distractor,1,1,dresser,distractor,3,2
1754-2,1447427414379,10,filler,toilet,target,1,1,cherries,distractor,2,3,eggplant,distractor,3,2
1754-2,1447427422299,11,filler,ketchup,target,1,2,orange,distractor,2,1,violin,distractor,3,3
1754-2,1447427434970,12,colorOnly,big_purple_coathanger,target,2,1,big_orange_coathanger,distractor,3,3,small_orange_coathanger,distractor,1,2
1754-2,1447427443941,13,filler,firetruck,target,3,3,snowflake,distractor,1,1,santahat,distractor,2,2
1754-2,1447427448203,14,filler,banana,target,2,2,firehydrant,distractor,3,3,lion,distractor,1,1
1754-2,1447427453877,15,colorAndSize,big_purple_flower,target,3,1,small_red_flower,distractor,1,2,small_red_flower,distractor,2,3
1754-2,1447427459878,16,sizeOnly,big_red_toothbrush,target,1,2,small_blue_toothbrush,distractor,2,1,small_red_toothbrush,distractor,3,3
1754-2,1447427465508,17,filler,tophat,target,1,1,horse,distractor,3,3,schoolbus,distractor,2,2
1754-2,1447427474061,18,filler,artichoke,target,2,1,pumpkin,distractor,3,2,car,distractor,1,3
1754-2,1447427479560,19,filler,car,target,3,3,binoculars,distractor,2,1,cactus,distractor,1,2
1754-2,1447427483527,20,filler,cherries,target,1,1,toilet,distractor,2,2,polarbear,distractor,3,3
1754-2,1447427488697,21,filler,strawberry,target,3,1,schoolbus,distractor,2,3,eggplant,distractor,1,2
1754-2,1447427494100,22,filler,trumpet,target,3,1,rhinoceros,distractor,2,2,motorcycle,distractor,1,3
1754-2,1447427506242,23,filler,firehydrant,target,3,2,clarinet,distractor,1,1,dresser,distractor,2,3
1754-2,1447427515696,24,colorOnly,small_pink_weddingcake,target,3,3,small_white_weddingcake,distractor,2,1,big_white_weddingcake,distractor,1,2
1754-2,1447427525029,25,filler,smokedetector,target,1,1,car,distractor,2,2,tire,distractor,3,3
1754-2,1447427531542,26,filler,orange,target,1,3,ketchup,distractor,3,2,bear,distractor,2,1
1754-2,1447427537843,27,filler,football,target,1,1,pumpkin,distractor,2,3,eggplant,distractor,3,2
1754-2,1447427545214,28,colorOnly,small_black_book,target,3,2,small_blue_book,distractor,2,1,big_blue_book,distractor,1,3
1754-2,1447427551065,29,filler,firetruck,target,1,2,garbagecan,distractor,3,3,rubberduck,distractor,2,1
1754-2,1447427557517,30,filler,iguana,target,1,2,lobster,distractor,3,3,mailbox,distractor,2,1
1754-2,1447427561517,31,filler,elephant,target,2,2,cactus,distractor,3,3,carrot,distractor,1,1
1754-2,1447427565395,32,filler,grapefruit,target,2,2,clarinet,distractor,3,3,artichoke,distractor,1,1
1754-2,1447427569585,33,filler,schoolbus,target,1,2,lemon,distractor,2,1,lime,distractor,3,3
1754-2,1447427576328,34,filler,polarbear,target,3,3,fox,distractor,2,1,tennisball,distractor,1,2
1754-2,1447427586222,35,filler,snake,target,1,1,gloves,distractor,3,3,basketball,distractor,2,2
1754-2,1447427591153,36,colorAndSize,small_blue_guitar,target,3,1,big_green_guitar,distractor,2,3,big_green_guitar,distractor,1,2
1754-2,1447427596738,37,colorAndSize,big_blue_comb,target,3,2,small_black_comb,distractor,1,3,small_black_comb,distractor,2,1
1754-2,1447427600558,38,colorOnly,big_white_teacup,target,2,2,big_pink_teacup,distractor,3,3,small_pink_teacup,distractor,1,1
1754-2,1447427605841,39,filler,camera,target,2,3,fox,distractor,1,1,orange,distractor,3,2
1754-2,1447427609943,40,filler,penguin,target,3,3,trumpet,distractor,2,1,zucchini,distractor,1,2
1754-2,1447427614118,41,filler,camera,target,3,3,pumpkin,distractor,1,1,tomato,distractor,2,2
1754-2,1447427618208,42,filler,toilet,target,1,3,ketchup,distractor,2,1,bulldozer,distractor,3,2
1754-2,1447427621357,43,colorAndSize,small_blue_tack,target,1,3,big_red_tack,distractor,2,1,big_red_tack,distractor,3,2
1754-2,1447427626838,44,filler,bulldozer,target,3,1,binoculars,distractor,1,3,garbagecan,distractor,2,2
1754-2,1447427632131,45,filler,firehydrant,target,3,2,piano,distractor,1,3,hotdog,distractor,2,1
1754-2,1447427638384,46,filler,feather,target,3,1,pumpkin,distractor,2,2,lemon,distractor,1,3
1754-2,1447427641272,47,filler,sheep,target,3,2,piano,distractor,1,1,hotdog,distractor,2,3
1754-2,1447427645577,48,sizeOnly,small_orange_napkin,target,2,1,big_yellow_napkin,distractor,1,2,big_orange_napkin,distractor,3,3
1754-2,1447427649213,49,sizeOnly,big_purple_rug,target,2,1,small_blue_rug,distractor,3,3,small_purple_rug,distractor,1,2
1754-2,1447427653071,50,filler,violin,target,1,3,crocodile,distractor,2,1,fox,distractor,3,2
1754-2,1447427656694,51,filler,car,target,2,2,garbagecan,distractor,1,1,dresser,distractor,3,3
1754-2,1447427659977,52,filler,bear,target,3,1,basketball,distractor,1,2,violin,distractor,2,3
1754-2,1447427665417,53,filler,snowflake,target,2,2,carrot,distractor,1,1,kiwi,distractor,3,3
