gameid, time, roundNum, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs 
3075-1,1447690261822,1,filler,hotdog,target,1,1,clarinet,distractor,2,2,trumpet,distractor,3,3
3075-1,1447690275510,2,filler,cactus,target,3,3,strawberry,distractor,2,1,zucchini,distractor,1,2
3075-1,1447690286709,3,filler,football,target,3,2,trumpet,distractor,2,3,strawberry,distractor,1,1
3075-1,1447690294037,4,colorAndSize,big_black_book,target,2,2,small_blue_book,distractor,1,3,small_blue_book,distractor,3,1
3075-1,1447690301765,5,sizeOnly,small_black_turtle,target,2,1,big_black_turtle,distractor,3,2,big_brown_turtle,distractor,1,3
3075-1,1447690309140,6,filler,motorcycle,target,2,2,snowflake,distractor,1,3,snake,distractor,3,1
3075-1,1447690321494,7,filler,eggplant,target,3,1,elephant,distractor,2,3,grapefruit,distractor,1,2
3075-1,1447690344741,8,filler,clarinet,target,2,2,gloves,distractor,1,3,car,distractor,3,1
3075-1,1447690353332,9,colorAndSize,big_orange_napkin,target,2,3,small_yellow_napkin,distractor,3,2,small_yellow_napkin,distractor,1,1
3075-1,1447690360260,10,filler,strawberry,target,2,2,elephant,distractor,3,3,television,distractor,1,1
3075-1,1447690366324,11,colorAndSize,big_red_yarn,target,2,1,small_purple_yarn,distractor,3,3,small_purple_yarn,distractor,1,2
3075-1,1447690374508,12,filler,lobster,target,1,1,carrot,distractor,3,3,pumpkin,distractor,2,2
3075-1,1447690380467,13,filler,sheep,target,2,3,tennisball,distractor,3,1,football,distractor,1,2
3075-1,1447690386621,14,colorOnly,small_brown_jacket,target,1,2,small_green_jacket,distractor,2,1,big_green_jacket,distractor,3,3
3075-1,1447690400669,15,filler,grapefruit,target,1,2,cherries,distractor,2,3,violin,distractor,3,1
3075-1,1447690413428,16,sizeOnly,big_green_pepper,target,3,2,small_red_pepper,distractor,2,1,small_green_pepper,distractor,1,3
3075-1,1447690424115,17,filler,teddybear,target,1,1,crocodile,distractor,3,2,garbagecan,distractor,2,3
3075-1,1447690430419,18,filler,cactus,target,3,2,toilet,distractor,1,1,garbagecan,distractor,2,3
3075-1,1447690443291,19,filler,television,target,3,2,carrot,distractor,2,1,football,distractor,1,3
3075-1,1447690450250,20,filler,carrot,target,3,1,clarinet,distractor,1,3,hotdog,distractor,2,2
3075-1,1447690459098,21,colorOnly,small_red_bucket,target,1,2,small_pink_bucket,distractor,3,1,big_pink_bucket,distractor,2,3
3075-1,1447690473386,22,filler,snowflake,target,1,2,dresser,distractor,2,1,horse,distractor,3,3
3075-1,1447690486025,23,filler,tooth,target,1,2,camera,distractor,2,3,fox,distractor,3,1
3075-1,1447690507059,24,filler,sheep,target,3,2,smokedetector,distractor,1,3,flamingo,distractor,2,1
3075-1,1447690526163,25,filler,raspberry,target,3,2,strawberry,distractor,2,3,banana,distractor,1,1
3075-1,1447690539681,26,filler,broccoli,target,1,2,tophat,distractor,2,1,football,distractor,3,3
3075-1,1447690550217,27,filler,piano,target,1,1,bear,distractor,2,2,tophat,distractor,3,3
3075-1,1447690556409,28,filler,raspberry,target,1,3,garlic,distractor,2,2,mailbox,distractor,3,1
3075-1,1447690566496,29,filler,garlic,target,1,2,santahat,distractor,3,3,toilet,distractor,2,1
3075-1,1447690579473,30,filler,fireextinguisher,target,1,3,kitten,distractor,2,2,television,distractor,3,1
3075-1,1447690586257,31,colorOnly,small_blue_rug,target,3,2,small_purple_rug,distractor,1,3,big_purple_rug,distractor,2,1
3075-1,1447690594088,32,colorAndSize,small_green_avocado,target,1,1,big_black_avocado,distractor,3,3,big_black_avocado,distractor,2,2
3075-1,1447690601136,33,filler,lobster,target,2,1,smokedetector,distractor,3,2,iguana,distractor,1,3
3075-1,1447690611064,34,filler,snowflake,target,1,2,rhinoceros,distractor,2,1,kiwi,distractor,3,3
3075-1,1447690622055,35,colorAndSize,small_white_weddingcake,target,1,3,big_pink_weddingcake,distractor,2,1,big_pink_weddingcake,distractor,3,2
3075-1,1447690635889,36,colorAndSize,big_black_comb,target,1,2,small_blue_comb,distractor,2,3,small_blue_comb,distractor,3,1
3075-1,1447690643153,37,colorOnly,big_pink_teacup,target,3,1,big_white_teacup,distractor,1,3,small_white_teacup,distractor,2,2
3075-1,1447690652863,38,sizeOnly,small_black_belt,target,2,3,big_black_belt,distractor,1,2,big_brown_belt,distractor,3,1
3075-1,1447690664471,39,filler,coconut,target,3,1,clarinet,distractor,2,3,ketchup,distractor,1,2
3075-1,1447690674894,40,filler,bison,target,1,3,lion,distractor,3,2,horse,distractor,2,1
3075-1,1447690680887,41,filler,watermelon,target,1,3,pumpkin,distractor,3,1,elephant,distractor,2,2
3075-1,1447690686575,42,filler,horse,target,3,3,strawberry,distractor,1,2,grapefruit,distractor,2,1
3075-1,1447690693001,43,sizeOnly,small_purple_stapler,target,1,3,big_purple_stapler,distractor,3,1,big_red_stapler,distractor,2,2
3075-1,1447690698023,44,filler,kiwi,target,3,3,piano,distractor,1,1,flamingo,distractor,2,2
3075-1,1447690706679,45,filler,firetruck,target,3,2,pumpkin,distractor,2,1,grapefruit,distractor,1,3
3075-1,1447690712846,46,sizeOnly,big_blue_candle,target,3,2,small_blue_candle,distractor,2,3,small_red_candle,distractor,1,1
3075-1,1447690722173,47,sizeOnly,small_pink_golfball,target,2,2,big_pink_golfball,distractor,1,3,big_blue_golfball,distractor,3,1
