gameid, time, roundNum, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs 
1596-3,1447691379261,1,filler,car,target,2,3,carrot,distractor,1,1,garlic,distractor,3,2
1596-3,1447691399589,2,filler,coconut,target,2,2,garlic,distractor,3,1,orange,distractor,1,3
1596-3,1447691415048,3,sizeOnly,small_white_weddingcake,target,3,2,big_pink_weddingcake,distractor,2,1,big_white_weddingcake,distractor,1,3
1596-3,1447691429779,4,sizeOnly,small_white_phone,target,1,2,big_pink_phone,distractor,3,3,big_white_phone,distractor,2,1
1596-3,1447691445959,5,colorAndSize,big_purple_ornament,target,2,1,small_blue_ornament,distractor,1,3,small_blue_ornament,distractor,3,2
1596-3,1447691454769,6,filler,toilet,target,1,1,camera,distractor,3,2,eggplant,distractor,2,3
1596-3,1447691465318,7,colorOnly,big_purple_rug,target,1,2,big_blue_rug,distractor,3,1,small_blue_rug,distractor,2,3
1596-3,1447691478940,8,filler,carrot,target,1,2,iguana,distractor,2,1,clarinet,distractor,3,3
1596-3,1447691499812,9,filler,iguana,target,1,3,firetruck,distractor,3,1,cherries,distractor,2,2
1596-3,1447691513946,10,filler,banana,target,2,3,ketchup,distractor,1,2,camera,distractor,3,1
1596-3,1447691533562,11,filler,fireextinguisher,target,1,1,crocodile,distractor,3,3,cherries,distractor,2,2
1596-3,1447691543517,12,sizeOnly,small_purple_yarn,target,3,3,big_red_yarn,distractor,2,2,big_purple_yarn,distractor,1,1
1596-3,1447691552474,13,filler,cherries,target,1,3,smokedetector,distractor,3,1,cactus,distractor,2,2
1596-3,1447691562939,14,sizeOnly,big_yellow_balloon,target,3,2,small_pink_balloon,distractor,2,3,small_yellow_balloon,distractor,1,1
1596-3,1447691571577,15,filler,lime,target,3,3,mailbox,distractor,1,2,polarbear,distractor,2,1
1596-3,1447691580013,16,colorAndSize,big_red_flower,target,2,3,small_purple_flower,distractor,3,2,small_purple_flower,distractor,1,1
1596-3,1447691589371,17,filler,elephant,target,2,2,cactus,distractor,3,3,artichoke,distractor,1,1
1596-3,1447691599081,18,filler,toilet,target,1,3,egg,distractor,3,2,binoculars,distractor,2,1
1596-3,1447691608526,19,filler,garlic,target,1,3,tomato,distractor,2,1,kiwi,distractor,3,2
1596-3,1447691619360,20,filler,basketball,target,1,1,tomato,distractor,3,3,pumpkin,distractor,2,2
1596-3,1447691629554,21,filler,santahat,target,2,2,kiwi,distractor,3,1,snowflake,distractor,1,3
1596-3,1447691639414,22,filler,tooth,target,2,1,teddybear,distractor,1,3,cherries,distractor,3,2
1596-3,1447691651065,23,colorAndSize,big_purple_bike,target,2,2,small_red_bike,distractor,1,1,small_red_bike,distractor,3,3
1596-3,1447691661063,24,colorOnly,small_pink_framee,target,3,3,small_green_framee,distractor,1,2,big_green_framee,distractor,2,1
1596-3,1447691675015,25,filler,football,target,3,1,rubberduck,distractor,1,2,polarbear,distractor,2,3
1596-3,1447691684479,26,colorOnly,big_green_rock,target,3,2,small_purple_rock,distractor,1,1,big_purple_rock,distractor,2,3
1596-3,1447691694888,27,sizeOnly,small_orange_cushion,target,1,3,big_blue_cushion,distractor,3,2,big_orange_cushion,distractor,2,1
1596-3,1447691708697,28,colorOnly,small_red_tack,target,2,1,small_blue_tack,distractor,1,3,big_blue_tack,distractor,3,2
1596-3,1447691719046,29,sizeOnly,small_purple_stapler,target,1,2,big_purple_stapler,distractor,2,1,big_red_stapler,distractor,3,3
1596-3,1447691726252,30,colorAndSize,big_blue_butterfly,target,3,1,small_purple_butterfly,distractor,2,3,small_purple_butterfly,distractor,1,2
1596-3,1447691734289,31,filler,flamingo,target,2,2,cactus,distractor,3,1,baseball,distractor,1,3
1596-3,1447691744900,32,sizeOnly,small_blue_candle,target,1,3,big_red_candle,distractor,3,1,big_blue_candle,distractor,2,2
1596-3,1447691753130,33,filler,smokedetector,target,1,3,schoolbus,distractor,3,2,basketball,distractor,2,1
1596-3,1447691762922,34,colorOnly,small_orange_billiardball,target,3,3,small_purple_billiardball,distractor,1,2,big_purple_billiardball,distractor,2,1
1596-3,1447691773780,35,filler,trumpet,target,1,2,horse,distractor,2,1,crocodile,distractor,3,3
1596-3,1447691780271,36,filler,firehydrant,target,3,3,rhinoceros,distractor,2,1,television,distractor,1,2
1596-3,1447691789496,37,filler,motorcycle,target,3,1,teddybear,distractor,1,2,hotdog,distractor,2,3
1596-3,1447691797872,38,colorOnly,small_blue_folder,target,2,1,big_green_folder,distractor,3,2,small_green_folder,distractor,1,3
1596-3,1447691808884,39,filler,ketchup,target,3,3,baseball,distractor,2,1,zucchini,distractor,1,2
1596-3,1447691814993,40,colorOnly,small_green_jacket,target,1,2,big_brown_jacket,distractor,2,3,small_brown_jacket,distractor,3,1
1596-3,1447691821152,41,filler,tomato,target,1,1,bison,distractor,3,3,basketball,distractor,2,2
1596-3,1447691827366,42,filler,tooth,target,1,1,grapefruit,distractor,2,3,snowflake,distractor,3,2
1596-3,1447691833928,43,filler,toilet,target,1,1,binoculars,distractor,2,2,santahat,distractor,3,3
1596-3,1447691844385,44,filler,clarinet,target,3,1,horse,distractor,1,2,rubberduck,distractor,2,3
1596-3,1447691857607,45,filler,fireextinguisher,target,3,1,penguin,distractor,1,2,raspberry,distractor,2,3
1596-3,1447691864912,46,filler,iguana,target,3,1,smokedetector,distractor,2,2,sheep,distractor,1,3
1596-3,1447691874991,47,filler,schoolbus,target,1,3,grapefruit,distractor,2,1,lobster,distractor,3,2
