gameid, time, roundNum, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs 
8263-2,1447698439420,1,filler,tennisball,target,3,3,eggplant,distractor,1,2,schoolbus,distractor,2,1
8263-2,1447698449009,2,filler,motorcycle,target,1,1,gloves,distractor,3,2,broccoli,distractor,2,3
8263-2,1447698454798,3,colorOnly,small_black_book,target,2,1,small_blue_book,distractor,1,3,big_blue_book,distractor,3,2
8263-2,1447698460208,4,filler,teddybear,target,2,1,bulldozer,distractor,1,3,tennisball,distractor,3,2
8263-2,1447698465959,5,filler,motorcycle,target,2,3,firehydrant,distractor,1,2,mailbox,distractor,3,1
8263-2,1447698470550,6,filler,bison,target,3,3,chick,distractor,2,2,strawberry,distractor,1,1
8263-2,1447698476647,7,filler,bison,target,3,3,television,distractor,1,2,clarinet,distractor,2,1
8263-2,1447698484420,8,colorAndSize,small_orange_napkin,distractor,3,1,big_yellow_napkin,target,1,2,small_orange_napkin,distractor,2,3
8263-2,1447698490669,9,colorAndSize,big_purple_coathanger,target,2,1,small_orange_coathanger,distractor,1,2,small_orange_coathanger,distractor,3,3
8263-2,1447698503367,10,filler,smokedetector,target,3,1,car,distractor,1,3,lobster,distractor,2,2
8263-2,1447698507719,11,filler,tomato,target,2,3,lime,distractor,3,1,bear,distractor,1,2
8263-2,1447698511320,12,filler,lemon,target,2,3,piano,distractor,3,1,kitten,distractor,1,2
8263-2,1447698516451,13,filler,flamingo,target,3,2,egg,distractor,1,3,garlic,distractor,2,1
8263-2,1447698521387,14,colorOnly,small_pink_hairdryer,distractor,3,1,small_purple_hairdryer,target,1,3,big_pink_hairdryer,distractor,2,2
8263-2,1447698526488,15,filler,motorcycle,distractor,3,2,rhinoceros,distractor,1,1,artichoke,target,2,3
8263-2,1447698530371,16,filler,santahat,target,3,2,rubberduck,distractor,2,3,dresser,distractor,1,1
8263-2,1447698534191,17,sizeOnly,big_red_chair,distractor,2,1,small_green_chair,target,3,3,big_green_chair,distractor,1,2
8263-2,1447698539205,18,sizeOnly,big_orange_cushion,distractor,2,1,small_blue_cushion,target,1,2,big_blue_cushion,distractor,3,3
8263-2,1447698544325,19,filler,watermelon,target,1,3,lemon,distractor,2,2,piano,distractor,3,1
8263-2,1447698549261,20,sizeOnly,big_purple_rock,distractor,2,3,big_green_rock,distractor,1,2,small_purple_rock,target,3,1
8263-2,1447698553642,21,filler,broccoli,target,2,2,ketchup,distractor,3,3,tophat,distractor,1,1
8263-2,1447698583103,22,filler,mailbox,target,1,3,cactus,distractor,3,1,elephant,distractor,2,2
8263-2,1447698588354,23,colorOnly,small_red_bike,distractor,1,3,big_red_bike,distractor,2,1,small_purple_bike,target,3,2
8263-2,1447698591964,24,filler,bear,target,3,1,binoculars,distractor,2,3,broccoli,distractor,1,2
8263-2,1447698595252,25,colorOnly,small_red_pepper,target,3,1,big_green_pepper,distractor,2,2,small_green_pepper,distractor,1,3
8263-2,1447698599373,26,filler,toilet,target,3,3,santahat,distractor,1,2,carrot,distractor,2,1
8263-2,1447698603964,27,filler,bison,target,3,3,firetruck,distractor,1,1,snake,distractor,2,2
8263-2,1447698608354,28,filler,elephant,target,1,2,zucchini,distractor,3,1,firehydrant,distractor,2,3
8263-2,1447698613103,29,filler,violin,target,3,2,firehydrant,distractor,1,1,strawberry,distractor,2,3
8263-2,1447698620294,30,filler,ketchup,target,1,2,tophat,distractor,2,1,basketball,distractor,3,3
8263-2,1447698624555,31,sizeOnly,small_purple_ornament,distractor,3,2,small_blue_ornament,distractor,1,1,big_purple_ornament,target,2,3
8263-2,1447698629413,32,filler,flamingo,target,3,3,chick,distractor,2,1,tophat,distractor,1,2
8263-2,1447698633014,33,filler,elephant,distractor,2,1,feather,target,1,2,snake,distractor,3,3
8263-2,1447698636514,34,filler,football,distractor,1,2,rhinoceros,distractor,3,3,baseball,target,2,1
8263-2,1447698638295,35,filler,football,distractor,1,2,rhinoceros,distractor,3,3,baseball,target,2,1
8263-2,1447698640933,36,filler,football,distractor,1,2,rhinoceros,distractor,3,3,baseball,target,2,1
8263-2,1447698641761,37,filler,football,distractor,1,2,rhinoceros,distractor,3,3,baseball,target,2,1
8263-2,1447698641957,38,filler,football,distractor,1,2,rhinoceros,distractor,3,3,baseball,target,2,1
8263-2,1447698642333,39,filler,football,distractor,1,2,rhinoceros,distractor,3,3,baseball,target,2,1
8263-2,1447698643023,40,filler,football,distractor,1,2,rhinoceros,distractor,3,3,baseball,target,2,1
8263-2,1447698643401,41,filler,football,distractor,1,2,baseball,target,2,1,rhinoceros,distractor,3,3
8263-2,1447698645624,42,filler,football,distractor,1,2,rhinoceros,distractor,3,3,baseball,target,2,1
8263-2,1447698645814,43,filler,football,distractor,1,2,rhinoceros,distractor,3,3,baseball,target,2,1
8263-2,1447698647085,44,filler,baseball,target,2,1,rhinoceros,distractor,3,3,football,distractor,1,2
8263-2,1447698648114,45,filler,rhinoceros,distractor,3,3,baseball,target,2,1,football,distractor,1,2
8263-2,1447698648836,46,filler,football,distractor,1,2,rhinoceros,distractor,3,3,baseball,target,2,1
8263-2,1447698715386,47,filler,crocodile,distractor,3,2,kiwi,distractor,2,3,santahat,target,1,1
8263-2,1447698721129,48,filler,bison,distractor,3,2,kitten,distractor,1,1,fox,target,2,3
8263-2,1447698725856,49,filler,binoculars,distractor,3,1,teddybear,distractor,2,3,crocodile,target,1,2
8263-2,1447698729676,50,filler,lemon,distractor,2,1,iguana,target,1,3,eggplant,distractor,3,2
8263-2,1447698732967,51,filler,carrot,distractor,2,1,santahat,target,1,3,kiwi,distractor,3,2
8263-2,1447698736005,52,filler,camera,distractor,2,3,horse,target,3,2,tophat,distractor,1,1
8263-2,1447698739168,53,filler,egg,distractor,1,3,fireextinguisher,target,3,1,hotdog,distractor,2,2
8263-2,1447698743996,54,colorOnly,small_purple_rug,distractor,3,2,small_blue_rug,target,2,1,big_purple_rug,distractor,1,3
8263-2,1447698747597,55,filler,toilet,target,2,2,firetruck,distractor,3,3,pumpkin,distractor,1,1
8263-2,1447698751057,56,colorAndSize,big_orange_billiardball,distractor,3,2,small_purple_billiardball,target,2,1,big_orange_billiardball,distractor,1,3
8263-2,1447698754642,57,filler,flamingo,distractor,2,1,garlic,distractor,3,2,cactus,target,1,3
8263-2,1447698758008,58,filler,iguana,distractor,2,3,motorcycle,distractor,1,1,bison,target,3,2
8263-2,1447698761941,59,filler,bulldozer,distractor,2,1,binoculars,distractor,3,3,bison,target,1,2
8263-2,1447698765081,60,filler,eggplant,target,1,1,penguin,distractor,3,3,binoculars,distractor,2,2
8263-2,1447698768658,61,filler,clarinet,distractor,2,1,tire,distractor,3,2,polarbear,target,1,3
8263-2,1447698772627,62,sizeOnly,big_black_avocado,target,2,2,small_black_avocado,distractor,3,3,small_green_avocado,distractor,1,1
8263-2,1447698776149,63,filler,rhinoceros,distractor,1,3,elephant,distractor,2,1,pumpkin,target,3,2
8263-2,1447698780520,64,colorOnly,big_pink_balloon,target,2,2,small_yellow_balloon,distractor,1,1,big_yellow_balloon,distractor,3,3
8263-2,1447698783728,65,filler,fireextinguisher,distractor,2,1,crocodile,distractor,3,2,bison,target,1,3
8263-2,1447698787933,66,sizeOnly,big_pink_bucket,target,3,3,small_pink_bucket,distractor,2,1,small_red_bucket,distractor,1,2
8263-2,1447698791350,67,filler,egg,distractor,1,2,chick,distractor,3,1,polarbear,target,2,3
8263-2,1447698794946,68,colorOnly,small_red_yarn,distractor,3,2,small_purple_yarn,target,2,1,big_red_yarn,distractor,1,3
8263-2,1447698798758,69,colorAndSize,big_red_tack,distractor,3,1,small_blue_tack,target,1,3,big_red_tack,distractor,2,2
8263-2,1447698802019,70,colorAndSize,small_green_jacket,distractor,2,1,small_green_jacket,distractor,3,2,big_brown_jacket,target,1,3
8263-2,1447698805099,71,colorAndSize,small_pink_weddingcake,distractor,1,3,big_white_weddingcake,target,3,1,small_pink_weddingcake,distractor,2,2
8263-2,1447698809710,72,filler,schoolbus,target,3,3,lion,distractor,2,2,basketball,distractor,1,1
8263-2,1447698812940,73,filler,tomato,distractor,1,3,smokedetector,distractor,2,1,santahat,target,3,2
8263-2,1447698816379,74,filler,dresser,distractor,2,1,football,target,1,2,penguin,distractor,3,3
