gameid, time, roundNum, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs 
6346-e,1447955871634,1,colorAndSize,small_green_jacket,target,1,3,big_brown_jacket,distractor,3,2,big_brown_jacket,distractor,2,1
6346-e,1447955905336,2,sizeOnly,big_blue_butterfly,target,3,3,small_blue_butterfly,distractor,2,2,small_purple_butterfly,distractor,1,1
6346-e,1447955920043,3,colorAndSize,big_red_candle,target,3,3,small_blue_candle,distractor,1,2,small_blue_candle,distractor,2,1
6346-e,1447955931746,4,colorAndSize,big_blue_tack,target,2,2,small_red_tack,distractor,3,3,small_red_tack,distractor,1,1
6346-e,1447955939402,5,filler,camera,target,1,3,tennisball,distractor,2,2,coconut,distractor,3,1
6346-e,1447955951656,6,filler,teddybear,target,1,2,mailbox,distractor,3,1,clarinet,distractor,2,3
6346-e,1447955965565,7,sizeOnly,big_yellow_balloon,target,3,2,small_pink_balloon,distractor,2,3,small_yellow_balloon,distractor,1,1
6346-e,1447955974862,8,filler,banana,target,1,1,rubberduck,distractor,3,2,tooth,distractor,2,3
6346-e,1447955984305,9,colorOnly,small_black_comb,target,1,3,big_blue_comb,distractor,3,2,small_blue_comb,distractor,2,1
6346-e,1447955993109,10,filler,kiwi,target,2,3,sheep,distractor,3,2,tomato,distractor,1,1
6346-e,1447956009777,11,filler,dresser,target,1,3,flamingo,distractor,2,1,car,distractor,3,2
6346-e,1447956016187,12,filler,lemon,target,2,1,feather,distractor,1,3,sheep,distractor,3,2
6346-e,1447956025013,13,filler,rhinoceros,target,3,3,ketchup,distractor,1,2,snake,distractor,2,1
6346-e,1447956039508,14,filler,violin,target,2,1,chick,distractor,1,2,watermelon,distractor,3,3
6346-e,1447956050539,15,filler,toilet,target,1,3,snake,distractor,3,1,eggplant,distractor,2,2
6346-e,1447956063042,16,filler,football,target,2,1,santahat,distractor,1,2,binoculars,distractor,3,3
6346-e,1447956070875,17,filler,bear,target,2,1,football,distractor,1,3,lime,distractor,3,2
6346-e,1447956078130,18,filler,rhinoceros,target,3,1,iguana,distractor,2,3,dresser,distractor,1,2
6346-e,1447956088645,19,sizeOnly,small_yellow_shoe,target,2,2,big_white_shoe,distractor,3,3,big_yellow_shoe,distractor,1,1
6346-e,1447956096023,20,filler,banana,target,3,3,kiwi,distractor,1,1,horse,distractor,2,2
6346-e,1447956106110,21,filler,carrot,target,2,1,tomato,distractor,1,2,lobster,distractor,3,3
6346-e,1447956113671,22,filler,tooth,target,1,3,kiwi,distractor,2,1,feather,distractor,3,2
6346-e,1447956121215,23,filler,snake,target,3,1,lobster,distractor,1,2,tooth,distractor,2,3
6346-e,1447956136101,24,colorAndSize,small_blue_golfball,target,1,2,big_pink_golfball,distractor,2,1,big_pink_golfball,distractor,3,3
6346-e,1447956148296,25,colorAndSize,small_purple_stapler,target,2,3,big_red_stapler,distractor,1,2,big_red_stapler,distractor,3,1
6346-e,1447956162447,26,filler,zucchini,target,2,3,flamingo,distractor,3,1,feather,distractor,1,2
6346-e,1447956170181,27,filler,eggplant,target,3,3,chick,distractor,1,2,elephant,distractor,2,1
6346-e,1447956177237,28,filler,egg,target,3,3,snake,distractor,2,1,sheep,distractor,1,2
6346-e,1447956185328,29,filler,eggplant,target,1,3,tire,distractor,3,1,egg,distractor,2,2
6346-e,1447956194878,30,colorAndSize,big_blue_toothbrush,target,3,1,small_red_toothbrush,distractor,2,2,small_red_toothbrush,distractor,1,3
6346-e,1447956207091,31,colorOnly,big_orange_napkin,target,1,2,small_yellow_napkin,distractor,3,3,big_yellow_napkin,distractor,2,1
6346-e,1447956217240,32,filler,broccoli,target,3,3,tophat,distractor,1,2,car,distractor,2,1
6346-e,1447956227769,33,filler,trumpet,target,2,2,snowflake,distractor,3,3,bison,distractor,1,1
