gameid,time,roundNum,sender,contents
1596-3,1447691373882,1,listener,"hello?"
1596-3,1447691376405,1,speaker,"vehicle"
1596-3,1447691385707,2,listener,"thanks"
1596-3,1447691393905,2,speaker,"yw nut"
1596-3,1447691412988,3,speaker,"smallest"
1596-3,1447691426861,4,speaker,"smallest"
1596-3,1447691443971,5,speaker,"largest"
1596-3,1447691453145,6,speaker,"potty"
1596-3,1447691463171,7,speaker,"purple"
1596-3,1447691472621,8,speaker,"vegetable"
1596-3,1447691496200,9,speaker,"green"
1596-3,1447691506258,10,speaker,"yellow"
1596-3,1447691531820,11,speaker,"fire extinguisher"
1596-3,1447691539658,12,speaker,"smallest"
1596-3,1447691550272,13,speaker,"fruit"
1596-3,1447691561118,14,speaker,"largest"
1596-3,1447691568773,15,speaker,"green"
1596-3,1447691576630,16,speaker,"red"
1596-3,1447691586795,17,speaker,"animal"
1596-3,1447691594499,18,speaker,"potty"
1596-3,1447691606240,19,speaker,"white"
1596-3,1447691613649,20,speaker,"ball"
1596-3,1447691624627,21,speaker,"hat"
1596-3,1447691637186,22,speaker,"tooth"
1596-3,1447691647237,23,speaker,"purple"
1596-3,1447691654593,24,speaker,"pink"
1596-3,1447691666023,25,speaker,"ball"
1596-3,1447691680315,26,speaker,"green"
1596-3,1447691690785,27,speaker,"smallest"
1596-3,1447691699171,28,speaker,"red"
1596-3,1447691716470,29,speaker,"smallest"
1596-3,1447691724618,30,speaker,"blue"
1596-3,1447691729677,31,speaker,"pink"
1596-3,1447691742340,32,speaker,"smallest"
1596-3,1447691751288,33,speaker,"white"
1596-3,1447691758516,34,speaker,"orange"
1596-3,1447691769949,35,speaker,"brass"
1596-3,1447691778880,36,speaker,"red"
1596-3,1447691787409,37,speaker,"red"
1596-3,1447691796681,38,speaker,"blue"
1596-3,1447691806960,39,speaker,"heinz"
1596-3,1447691813792,40,speaker,"green"
1596-3,1447691818127,41,speaker,"red"
1596-3,1447691825722,42,speaker,"tooth"
1596-3,1447691832368,43,speaker,"potty"
1596-3,1447691842767,44,speaker,"instrument"
1596-3,1447691851136,45,speaker,"extinguisher"
1596-3,1447691862031,46,speaker,"green"
1596-3,1447691870176,47,speaker,"bus"
1596-3,1447691879818,48,speaker,"animal"
1596-3,1447691886010,49,speaker,"green"
1596-3,1447691897395,50,speaker,"animal"
1596-3,1447691904466,51,speaker,"yellow"
1596-3,1447691910481,52,speaker,"bike"
1596-3,1447691928070,53,speaker,"green"
1596-3,1447691939514,54,speaker,"vegetable"
1596-3,1447691949410,55,speaker,"brass"
1596-3,1447691958589,56,speaker,"dresser"
1596-3,1447691974922,57,speaker,"smallest"
1596-3,1447691989307,58,speaker,"red"
1596-3,1447691997899,59,speaker,"black"
1596-3,1447692009750,60,speaker,"pink"
1596-3,1447692027910,61,speaker,"black"
1596-3,1447692044551,62,speaker,"bus"
1596-3,1447692061043,63,speaker,"animal"
1596-3,1447692068197,64,speaker,"hydrank"
1596-3,1447692080906,65,speaker,"smallest"
1596-3,1447692088751,66,speaker,"feather"
1596-3,1447692097083,67,speaker,"ball"
1596-3,1447692106450,68,speaker,"red"
1596-3,1447692115371,69,speaker,"largest"
1596-3,1447692121953,70,speaker,"pink"
1596-3,1447692130076,71,speaker,"white"
1596-3,1447692137370,72,speaker,"animal"
1596-3,1447692147459,73,speaker,"green"
1596-3,1447692156776,74,speaker,"smallest"
1596-3,1447692168367,75,speaker,"lion"
1596-3,1447692176688,76,speaker,"brown"
1596-3,1447692184040,77,speaker,"yellow"
1596-3,1447692195208,78,speaker,"cactus"
1596-3,1447692203545,79,speaker,"largest"
1596-3,1447692210787,80,speaker,"fox"
1596-3,1447692220984,81,speaker,"tooth"
1596-3,1447692229955,82,speaker,"white"
1596-3,1447692239603,83,speaker,"green"
1596-3,1447692247821,84,speaker,"ball"
1596-3,1447692260055,85,speaker,"bear"
1596-3,1447692271166,86,speaker,"blue"
1596-3,1447692280272,87,speaker,"largest"
1596-3,1447692288500,88,speaker,"chick"
1596-3,1447692294958,89,speaker,"fruit"
1596-3,1447692300975,90,speaker,"red"
1596-3,1447692311921,91,speaker,"stuffed animal"
1596-3,1447692319955,92,speaker,"pumpkin"
1596-3,1447692328242,93,speaker,"animal"
1596-3,1447692334259,94,speaker,"red"
1596-3,1447692347926,95,speaker,"CAT"
1596-3,1447692365219,96,speaker,"largest"
1596-3,1447692376407,97,speaker,"snowflake"
1596-3,1447692382942,98,speaker,"red"
1596-3,1447692395519,99,speaker,"hot dogs"
1596-3,1447692406045,100,speaker,"blue"
1596-3,1447692412378,101,speaker,"red"
1596-3,1447692420158,102,speaker,"truck"
1596-3,1447692427942,103,speaker,"duck"
1596-3,1447692434679,104,speaker,"green"
1596-3,1447692444800,105,speaker,"eggplant"
1596-3,1447692450880,106,speaker,"feather"
1596-3,1447692456567,107,speaker,"rhino"
1596-3,1447692463109,108,speaker,"blue"
