gameid,time,roundNum,sender,contents
6040-6,1447692054699,1,speaker,"snake"
6040-6,1447692063461,2,speaker,"hydrant"
6040-6,1447692068162,3,speaker,"snake"
6040-6,1447692072041,4,speaker,"camera"
6040-6,1447692075898,5,speaker,"red"
6040-6,1447692079843,6,speaker,"red"
6040-6,1447692087082,7,speaker,"big one"
6040-6,1447692091371,8,speaker,"rhino"
6040-6,1447692096011,9,speaker,"red"
6040-6,1447692102222,10,speaker,"white phone"
6040-6,1447692108600,11,speaker,"grape fruit"
6040-6,1447692113732,12,speaker,"watermelon"
6040-6,1447692119217,13,speaker,"pink"
6040-6,1447692124485,14,speaker,"big belt"
6040-6,1447692128835,15,speaker,"fox"
6040-6,1447692134353,16,speaker,"small turtle"
6040-6,1447692138674,17,speaker,"piano"
6040-6,1447692144134,18,speaker,"small orb"
6040-6,1447692150336,19,speaker,"binoculars"
6040-6,1447692154399,20,speaker,"horse"
6040-6,1447692160265,21,speaker,"big teacup"
6040-6,1447692164518,22,speaker,"snake"
6040-6,1447692168339,23,speaker,"green chair"
6040-6,1447692174706,24,speaker,"ketchup"
6040-6,1447692178881,25,speaker,"green pepper"
6040-6,1447692183677,26,speaker,"small pillow"
6040-6,1447692190544,27,speaker,"hydrant"
6040-6,1447692196834,28,speaker,"small one"
6040-6,1447692201161,29,speaker,"basket ball"
6040-6,1447692205438,30,speaker,"small cake"
6040-6,1447692209151,31,speaker,"tire"
6040-6,1447692212830,32,speaker,"duck"
6040-6,1447692217969,33,speaker,"red bike"
6040-6,1447692222509,34,speaker,"hot dogs"
6040-6,1447692226526,35,speaker,"mailbox"
6040-6,1447692231511,36,speaker,"cactus"
6040-6,1447692235872,37,speaker,"flamingo"
6040-6,1447692240185,38,speaker,"fire truck"
6040-6,1447692245647,39,speaker,"basket ball"
6040-6,1447692250478,40,speaker,"crocodile"
6040-6,1447692254073,41,speaker,"lemon"
6040-6,1447692258084,42,speaker,"ketchup"
6040-6,1447692261803,43,speaker,"ball"
6040-6,1447692267050,44,speaker,"teddy"
6040-6,1447692272211,45,speaker,"darker one"
6040-6,1447692279055,46,speaker,"chameleon"
6040-6,1447692282878,47,speaker,"egg"
6040-6,1447692286725,48,speaker,"elephant"
6040-6,1447692290166,49,speaker,"lemon"
6040-6,1447692295300,50,speaker,"artichoke"
6040-6,1447692301436,51,speaker,"instrument"
6040-6,1447692305518,52,speaker,"yellow"
6040-6,1447692309640,53,speaker,"trumpet"
6040-6,1447692314306,54,speaker,"television"
6040-6,1447692321098,55,speaker,"farm thing"
6040-6,1447692325709,56,speaker,"lizzard"
6040-6,1447692333535,57,speaker,"trumpet"
6040-6,1447692340523,58,speaker,"aligator"
6040-6,1447692344644,59,speaker,"grapefruit"
6040-6,1447692347820,60,speaker,"glove"
6040-6,1447692351708,61,speaker,"purple"
6040-6,1447692354847,62,speaker,"blue"
6040-6,1447692359696,63,speaker,"purple"
6040-6,1447692364666,64,speaker,"hydrant"
6040-6,1447692368412,65,speaker,"banana"
6040-6,1447692373297,66,speaker,"hydrant"
6040-6,1447692377041,67,speaker,"green"
6040-6,1447692380499,68,speaker,"penguin"
6040-6,1447692384245,69,speaker,"small shoe"
6040-6,1447692388533,70,speaker,"aligator"
6040-6,1447692392647,71,speaker,"pink butterfly"
6040-6,1447692396686,72,speaker,"blue"
6040-6,1447692400024,73,speaker,"green"
6040-6,1447692403984,74,speaker,"strawberry"
6040-6,1447692409136,75,speaker,"trash can"
6040-6,1447692413644,76,speaker,"iguana"
6040-6,1447692417380,77,speaker,"big mat"
6040-6,1447692420507,78,speaker,"egg"
6040-6,1447692424458,79,speaker,"alarm"
6040-6,1447692429026,80,speaker,"baseball"
6040-6,1447692433514,81,speaker,"small candle"
6040-6,1447692437800,82,speaker,"strawberry"
6040-6,1447692442562,83,speaker,"purple yarn"
6040-6,1447692447592,84,speaker,"trumpet"
6040-6,1447692450702,85,speaker,"bear"
6040-6,1447692453721,86,speaker,"lion"
6040-6,1447692459019,87,speaker,"garlic"
6040-6,1447692462105,88,speaker,"car"
6040-6,1447692466699,89,speaker,"small comb"
6040-6,1447692470803,90,speaker,"raspberry"
6040-6,1447692473747,91,speaker,"hat"
6040-6,1447692477160,92,speaker,"yellow"
6040-6,1447692480200,93,speaker,"tomato"
6040-6,1447692483364,94,speaker,"snake"
6040-6,1447692489648,95,speaker,"squash"
6040-6,1447692494330,96,speaker,"red"
6040-6,1447692498043,97,speaker,"strawberry"
6040-6,1447692502271,98,speaker,"small flower"
6040-6,1447692507282,99,speaker,"farm truck"
6040-6,1447692511090,100,speaker,"football"
6040-6,1447692514187,101,speaker,"fox"
6040-6,1447692517679,102,speaker,"ball"
6040-6,1447692521134,103,speaker,"tomato"
6040-6,1447692526865,104,speaker,"big napkin"
6040-6,1447692531602,105,speaker,"green"
6040-6,1447692536312,106,speaker,"white ball"
6040-6,1447692540899,107,speaker,"crocodile"
6040-6,1447692545174,108,speaker,"bike"
