gameid,time,roundNum,sender,contents
5721-4,1447692935741,1,speaker,"flamingo"
5721-4,1447692941934,2,speaker,"purple thing"
5721-4,1447692946160,3,speaker,"penguin"
5721-4,1447692949901,4,speaker,"purple"
5721-4,1447692958745,5,speaker,"leftmost item"
5721-4,1447692962721,6,speaker,"tooth"
5721-4,1447692968825,7,speaker,"leftmost"
5721-4,1447692972188,8,speaker,"middle"
5721-4,1447692974936,9,speaker,"left"
5721-4,1447692977772,10,speaker,"middle"
5721-4,1447692980928,11,speaker,"right"
5721-4,1447692983612,12,speaker,"middle"
5721-4,1447692986801,13,speaker,"left"
5721-4,1447692989562,14,speaker,"left"
5721-4,1447692992882,15,speaker,"left"
5721-4,1447692995626,16,speaker,"middle"
5721-4,1447692998688,17,speaker,"right"
5721-4,1447693001186,18,speaker,"left"
5721-4,1447693003816,19,speaker,"middle"
5721-4,1447693006504,20,speaker,"right"
5721-4,1447693009304,21,speaker,"right"
5721-4,1447693011657,22,speaker,"left"
5721-4,1447693014210,23,speaker,"right"
5721-4,1447693016352,24,speaker,"left"
5721-4,1447693018775,25,speaker,"left"
5721-4,1447693021459,26,speaker,"right"
5721-4,1447693023748,27,speaker,"middle"
5721-4,1447693025972,28,speaker,"left"
5721-4,1447693028044,29,speaker,"left"
5721-4,1447693030586,30,speaker,"right"
5721-4,1447693036077,31,speaker,"left"
5721-4,1447693038716,32,speaker,"middle"
5721-4,1447693041857,33,speaker,"right"
5721-4,1447693044425,34,speaker,"left"
5721-4,1447693047793,35,speaker,"middle"
5721-4,1447693050636,36,speaker,"right"
5721-4,1447693053547,37,speaker,"middle"
5721-4,1447693056313,38,speaker,"right"
5721-4,1447693058386,39,speaker,"left"
5721-4,1447693061185,40,speaker,"left"
5721-4,1447693064464,41,speaker,"right"
5721-4,1447693066651,42,speaker,"right"
5721-4,1447693068982,43,speaker,"left"
5721-4,1447693071328,44,speaker,"left"
5721-4,1447693073511,45,speaker,"left"
5721-4,1447693076143,46,speaker,"right"
5721-4,1447693078529,47,speaker,"left"
5721-4,1447693080969,48,speaker,"right"
5721-4,1447693083253,49,speaker,"middle"
5721-4,1447693086467,50,speaker,"right"
5721-4,1447693089099,51,speaker,"middle"
5721-4,1447693091422,52,speaker,"middle"
5721-4,1447693094513,53,speaker,"right"
5721-4,1447693097142,54,speaker,"right"
5721-4,1447693099684,55,speaker,"right"
5721-4,1447693102015,56,speaker,"middle"
5721-4,1447693104404,57,speaker,"left"
5721-4,1447693107481,58,speaker,"right"
5721-4,1447693110565,59,speaker,"left"
5721-4,1447693112718,60,speaker,"middle"
5721-4,1447693115318,61,speaker,"right"
5721-4,1447693118080,62,speaker,"middle"
5721-4,1447693120576,63,speaker,"right"
5721-4,1447693122786,64,speaker,"right"
5721-4,1447693125061,65,speaker,"right"
5721-4,1447693127216,66,speaker,"right"
5721-4,1447693129831,67,speaker,"middle"
5721-4,1447693131856,68,speaker,"right"
5721-4,1447693134473,69,speaker,"left"
5721-4,1447693137396,70,speaker,"left"
5721-4,1447693140076,71,speaker,"middle"
5721-4,1447693142083,72,speaker,"left"
5721-4,1447693144649,73,speaker,"left"
5721-4,1447693146942,74,speaker,"right"
5721-4,1447693149253,75,speaker,"right"
5721-4,1447693151628,76,speaker,"left"
5721-4,1447693154707,77,speaker,"right"
5721-4,1447693157506,78,speaker,"middle"
5721-4,1447693161151,79,speaker,"right"
5721-4,1447693163322,80,speaker,"right"
5721-4,1447693166031,81,speaker,"left"
5721-4,1447693168353,82,speaker,"left"
5721-4,1447693170975,83,speaker,"right"
5721-4,1447693173305,84,speaker,"middle"
5721-4,1447693175652,85,speaker,"right"
5721-4,1447693177754,86,speaker,"right"
5721-4,1447693180401,87,speaker,"left"
5721-4,1447693182950,88,speaker,"right"
5721-4,1447693186226,89,speaker,"right"
5721-4,1447693189090,90,speaker,"right"
5721-4,1447693191673,91,speaker,"middle"
5721-4,1447693194359,92,speaker,"right"
5721-4,1447693196703,93,speaker,"right"
5721-4,1447693198877,94,speaker,"right"
5721-4,1447693201201,95,speaker,"middle"
5721-4,1447693203708,96,speaker,"left"
5721-4,1447693206601,97,speaker,"left"
5721-4,1447693209013,98,speaker,"left"
5721-4,1447693211786,99,speaker,"right"
5721-4,1447693214103,100,speaker,"right"
5721-4,1447693216628,101,speaker,"right"
5721-4,1447693220012,102,speaker,"left"
5721-4,1447693222373,103,speaker,"right"
5721-4,1447693224583,104,speaker,"right"
5721-4,1447693226573,105,speaker,"right"
5721-4,1447693229080,106,speaker,"middle"
5721-4,1447693231417,107,speaker,"left"
5721-4,1447693234169,108,speaker,"middle"
