gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
1267-7,1479309523704,1,tomato,informative,tomato_red,target,2,4,pear_yellow,distractor,3,3,tomato_pink,distractor,4,2
1267-7,1479309535670,2,banana,overinformative,banana_blue,target,4,3,pear_green,distractor,3,2,avocado_black,distractor,2,4
1267-7,1479309542351,3,carrot,overinformative,carrot_purple,target,4,2,banana_blue,distractor,2,3,tomato_pink,distractor,3,4
1267-7,1479309553619,4,avocado,informative,avocado_green,target,3,3,avocado_black,distractor,2,2,pear_orange,distractor,4,4
1267-7,1479309560518,5,banana,overinformative,banana_brown,target,4,4,avocado_black,distractor,3,3,tomato_red,distractor,2,2
1267-7,1479309566232,6,pear,overinformative,pear_orange,target,3,4,apple_green,distractor,4,2,tomato_pink,distractor,2,3
1267-7,1479309570934,7,apple,overinformative,apple_blue,target,2,2,tomato_green,distractor,4,4,banana_brown,distractor,3,3
1267-7,1479309580951,8,avocado,overinformative-cc,avocado_red,target,4,4,tomato_pink,distractor,2,2,cup_red,distractor,3,3
1267-7,1479309587519,9,pear,overinformative-cc,pear_yellow,target,3,4,apple_blue,distractor,2,2,cup_yellow,distractor,4,3
1267-7,1479309592388,10,banana,overinformative,banana_yellow,target,4,3,pear_green,distractor,3,2,pear_orange,distractor,2,4
1267-7,1479309597091,11,tomato,overinformative,tomato_green,target,3,2,carrot_orange,distractor,4,3,banana_brown,distractor,2,4
1267-7,1479309604309,12,avocado,overinformative,avocado_green,target,3,4,tomato_pink,distractor,2,3,pear_yellow,distractor,4,2
1267-7,1479309610576,13,tomato,overinformative-cc,tomato_red,target,4,2,cup_red,distractor,3,3,carrot_orange,distractor,2,4
1267-7,1479309619179,14,tomato,informative,tomato_green,target,4,2,banana_blue,distractor,3,3,tomato_red,distractor,2,4
1267-7,1479309625098,15,avocado,overinformative,avocado_red,target,2,2,pear_orange,distractor,4,4,banana_blue,distractor,3,3
1267-7,1479309630658,16,carrot,overinformative,carrot_pink,target,4,3,pear_yellow,distractor,2,2,tomato_red,distractor,3,4
1267-7,1479309636588,17,avocado,overinformative-cc,avocado_black,target,4,2,cup_black,distractor,2,3,tomato_red,distractor,3,4
1267-7,1479309642297,18,avocado,overinformative-cc,avocado_green,target,3,2,pear_yellow,distractor,2,3,cup_green,distractor,4,4
1267-7,1479309648121,19,apple,informative,apple_blue,target,2,3,carrot_purple,distractor,4,2,apple_red,distractor,3,4
1267-7,1479309653295,20,apple,overinformative,apple_green,target,3,4,tomato_pink,distractor,4,3,banana_yellow,distractor,2,2
1267-7,1479309659183,21,carrot,overinformative-cc,carrot_purple,target,3,3,cup_purple,distractor,2,4,apple_red,distractor,4,2
1267-7,1479309663880,22,banana,informative,banana_brown,target,2,3,banana_blue,distractor,4,4,carrot_purple,distractor,3,2
1267-7,1479309670190,23,carrot,informative,carrot_purple,target,4,2,apple_green,distractor,2,4,carrot_orange,distractor,3,3
1267-7,1479309675031,24,apple,overinformative-cc,apple_blue,target,4,2,cup_blue,distractor,3,4,tomato_red,distractor,2,3
1267-7,1479309680151,25,tomato,overinformative-cc,tomato_green,target,2,4,cup_green,distractor,4,2,avocado_black,distractor,3,3
1267-7,1479309684759,26,tomato,overinformative,tomato_red,target,2,2,pear_green,distractor,4,4,banana_yellow,distractor,3,3
1267-7,1479309688510,27,apple,overinformative-cc,apple_red,target,2,2,cup_red,distractor,4,3,carrot_pink,distractor,3,4
1267-7,1479309694671,28,avocado,overinformative,avocado_black,target,2,2,pear_green,distractor,3,4,apple_blue,distractor,4,3
1267-7,1479309700983,29,carrot,overinformative-cc,carrot_pink,target,2,3,banana_brown,distractor,4,2,cup_pink,distractor,3,4
1267-7,1479309705925,30,banana,overinformative-cc,banana_blue,target,3,2,carrot_orange,distractor,4,4,cup_blue,distractor,2,3
1267-7,1479309710052,31,apple,overinformative,apple_red,target,2,2,tomato_pink,distractor,4,4,banana_brown,distractor,3,3
1267-7,1479309714807,32,pear,informative,pear_orange,target,3,4,banana_blue,distractor,2,2,pear_yellow,distractor,4,3
1267-7,1479309720748,33,tomato,overinformative-cc,tomato_pink,target,3,4,cup_pink,distractor,2,2,banana_yellow,distractor,4,3
1267-7,1479309726037,34,pear,informative,pear_green,target,4,2,pear_orange,distractor,2,3,avocado_black,distractor,3,4
1267-7,1479309731301,35,pear,overinformative-cc,pear_green,target,4,3,apple_red,distractor,3,4,cup_green,distractor,2,2
1267-7,1479309736965,36,pear,informative,pear_yellow,target,4,4,tomato_pink,distractor,3,3,pear_green,distractor,2,2
1267-7,1479309741676,37,carrot,overinformative-cc,carrot_orange,target,4,3,cup_orange,distractor,3,2,banana_brown,distractor,2,4
1267-7,1479309746718,38,carrot,informative,carrot_pink,target,3,4,banana_yellow,distractor,4,2,carrot_orange,distractor,2,3
1267-7,1479309751372,39,banana,informative,banana_blue,target,3,2,avocado_green,distractor,2,4,banana_brown,distractor,4,3
1267-7,1479309756980,40,banana,overinformative-cc,banana_brown,target,2,4,tomato_green,distractor,4,3,cup_brown,distractor,3,2
1267-7,1479309761902,41,banana,overinformative-cc,banana_yellow,target,2,4,tomato_green,distractor,4,3,cup_yellow,distractor,3,2
1267-7,1479309766715,42,carrot,informative,carrot_orange,target,4,2,carrot_purple,distractor,2,4,avocado_black,distractor,3,3
1267-7,1479309771924,43,avocado,informative,avocado_black,target,3,2,avocado_green,distractor,2,3,apple_green,distractor,4,4
1267-7,1479309777836,44,pear,overinformative,pear_yellow,target,4,3,tomato_red,distractor,2,4,carrot_purple,distractor,3,2
1267-7,1479309783178,45,tomato,overinformative,tomato_pink,target,2,4,apple_red,distractor,4,2,banana_blue,distractor,3,3
1267-7,1479309788081,46,banana,informative,banana_yellow,target,4,2,avocado_red,distractor,2,4,banana_brown,distractor,3,3
1267-7,1479309792882,47,tomato,informative,tomato_pink,target,2,4,banana_brown,distractor,4,3,tomato_green,distractor,3,2
1267-7,1479309797471,48,apple,informative,apple_red,target,4,2,apple_green,distractor,3,4,pear_yellow,distractor,2,3
1267-7,1479309802937,49,avocado,informative,avocado_red,target,3,3,tomato_green,distractor,4,4,avocado_black,distractor,2,2
1267-7,1479309808352,50,apple,overinformative-cc,apple_green,target,3,2,cup_green,distractor,2,4,carrot_pink,distractor,4,3
1267-7,1479309812921,51,apple,informative,apple_green,target,2,4,apple_blue,distractor,4,3,carrot_orange,distractor,3,2
1267-7,1479309818003,52,pear,overinformative-cc,pear_orange,target,4,3,banana_brown,distractor,2,4,cup_orange,distractor,3,2
1267-7,1479309822888,53,pear,overinformative,pear_green,target,2,4,carrot_pink,distractor,3,2,avocado_black,distractor,4,3
1267-7,1479309828349,54,carrot,overinformative,carrot_orange,target,4,4,tomato_pink,distractor,2,3,tomato_green,distractor,3,2
