gameid, time, roundNum, trialType, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
9695-f,1478761725499,1,undefined,undefined,tomato_pink,target,4,4,undefined,undefined,tomato_red,distractor,2,2,undefined,undefined,carrot_orange,distractor,3,3,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478761739743,2,undefined,undefined,apple_blue,target,3,4,undefined,undefined,apple_green,distractor,4,3,undefined,undefined,carrot_purple,distractor,2,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478761751799,3,undefined,undefined,carrot_purple,target,4,4,undefined,undefined,tomato_pink,distractor,2,2,undefined,undefined,cup_purple,distractor,3,3,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478761779193,4,undefined,undefined,tomato_green,target,3,2,undefined,undefined,tomato_red,distractor,4,3,undefined,undefined,carrot_pink,distractor,2,4,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478761793152,5,undefined,undefined,tomato_green,target,3,3,undefined,undefined,apple_red,distractor,4,2,undefined,undefined,banana_brown,distractor,2,4,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478761800532,6,undefined,undefined,tomato_red,target,3,3,undefined,undefined,tomato_green,distractor,2,4,undefined,undefined,banana_yellow,distractor,4,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478761807484,7,undefined,undefined,apple_red,target,2,3,undefined,undefined,apple_blue,distractor,3,2,undefined,undefined,carrot_pink,distractor,4,4,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478761815286,8,undefined,undefined,banana_brown,target,2,4,undefined,undefined,tomato_red,distractor,4,2,undefined,undefined,banana_blue,distractor,3,3,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478761824076,9,undefined,undefined,banana_blue,target,2,2,undefined,undefined,pear_red,distractor,4,3,undefined,undefined,carrot_orange,distractor,3,4,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478761833206,10,undefined,undefined,tomato_pink,target,4,4,undefined,undefined,carrot_purple,distractor,3,3,undefined,undefined,cup_pink,distractor,2,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478761840235,11,undefined,undefined,banana_yellow,target,3,2,undefined,undefined,banana_brown,distractor,4,4,undefined,undefined,avocado_black,distractor,2,3,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478761847121,12,undefined,undefined,tomato_green,target,4,2,undefined,undefined,pear_orange,distractor,3,4,undefined,undefined,cup_green,distractor,2,3,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478761856613,13,undefined,undefined,carrot_purple,target,3,2,undefined,undefined,carrot_orange,distractor,4,3,undefined,undefined,banana_blue,distractor,2,4,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478761864021,14,undefined,undefined,apple_green,target,2,3,undefined,undefined,carrot_pink,distractor,3,4,undefined,undefined,cup_green,distractor,4,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478761871301,15,undefined,undefined,carrot_orange,target,2,2,undefined,undefined,apple_green,distractor,4,3,undefined,undefined,carrot_pink,distractor,3,4,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478761878225,16,undefined,undefined,banana_brown,target,3,2,undefined,undefined,cup_brown,distractor,4,4,undefined,undefined,tomato_red,distractor,2,3,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478761884384,17,undefined,undefined,banana_blue,target,3,3,undefined,undefined,banana_yellow,distractor,2,2,undefined,undefined,apple_red,distractor,4,4,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478761890629,18,undefined,undefined,carrot_pink,target,2,2,undefined,undefined,banana_yellow,distractor,3,4,undefined,undefined,banana_yellow,distractor,4,3,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478761896610,19,undefined,undefined,tomato_red,target,4,2,undefined,undefined,banana_brown,distractor,3,3,undefined,undefined,cup_red,distractor,2,4,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478761992135,20,undefined,undefined,carrot_pink,target,4,2,undefined,undefined,pear_red,distractor,3,4,undefined,undefined,cup_pink,distractor,2,3,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478761997679,21,undefined,undefined,banana_blue,target,3,3,undefined,undefined,pear_green,distractor,4,2,undefined,undefined,cup_blue,distractor,2,4,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478762002169,22,undefined,undefined,tomato_red,target,3,2,undefined,undefined,avocado_black,distractor,2,3,undefined,undefined,pear_orange,distractor,4,4,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478762007241,23,undefined,undefined,banana_yellow,target,4,4,undefined,undefined,tomato_pink,distractor,2,3,undefined,undefined,apple_green,distractor,3,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478762014063,24,undefined,undefined,carrot_orange,target,3,3,undefined,undefined,apple_green,distractor,4,2,undefined,undefined,cup_orange,distractor,2,4,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478762018345,25,undefined,undefined,banana_brown,target,3,3,undefined,undefined,tomato_pink,distractor,4,4,undefined,undefined,carrot_purple,distractor,2,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9695-f,1478762023875,26,undefined,undefined,apple_blue,target,2,3,undefined,undefined,pear_red,distractor,4,4,undefined,undefined,cup_blue,distractor,3,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
