gameid,time,roundNum,sender,contents
5078-a,1478562440408,1,speaker,"bright blue"
5078-a,1478562448549,2,speaker,"car"
5078-a,1478562457651,3,speaker,"eisbaer"
5078-a,1478562471217,4,speaker,"small"
5078-a,1478562480979,5,speaker,"white"
5078-a,1478562489700,6,speaker,"rose"
5078-a,1478562501228,7,speaker,"bright blue"
5078-a,1478562511178,8,speaker,"fish"
5078-a,1478562521896,9,speaker,"big"
5078-a,1478562531952,10,speaker,"small"
5078-a,1478562538775,11,speaker,"yellow"
5078-a,1478562545911,12,speaker,"brown"
5078-a,1478562552063,13,speaker,"car"
5078-a,1478562557952,14,speaker,"shirt"
5078-a,1478562566864,15,speaker,"dog"
