gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
2691-7,1479346668327,1,pepper,overinformative-cc,pepper_orange,target,2,3,cup_orange,distractor,4,2,pear_yellow,distractor,3,4
2691-7,1479346692128,2,tomato,informative,tomato_green,target,3,3,tomato_red,distractor,4,4,avocado_black,distractor,2,2
2691-7,1479346702220,3,avocado,informative,avocado_red,target,2,2,apple_blue,distractor,3,4,avocado_green,distractor,4,3
2691-7,1479346724148,4,tomato,overinformative,tomato_green,target,2,4,apple_red,distractor,4,2,pepper_orange,distractor,3,3
2691-7,1479346732012,5,banana,overinformative-cc,cup_blue,distractor,3,3,banana_blue,target,2,2,apple_green,distractor,4,4
2691-7,1479346742860,6,pepper,overinformative,pepper_green,target,4,3,carrot_purple,distractor,3,2,banana_yellow,distractor,2,4
2691-7,1479346748545,7,banana,overinformative,banana_brown,target,4,3,apple_blue,distractor,3,4,pepper_green,distractor,2,2
2691-7,1479346757941,8,banana,informative,banana_yellow,target,3,3,pear_green,distractor,2,4,banana_blue,distractor,4,2
2691-7,1479346776166,9,tomato,informative,tomato_pink,target,2,4,tomato_green,distractor,3,2,pear_orange,distractor,4,3
2691-7,1479346790022,10,tomato,overinformative-cc,tomato_red,target,4,2,cup_red,distractor,2,4,apple_blue,distractor,3,3
2691-7,1479346799627,11,pear,informative,pear_orange,target,2,4,carrot_pink,distractor,3,3,pear_green,distractor,4,2
2691-7,1479346806351,12,tomato,overinformative,avocado_black,distractor,2,3,apple_green,distractor,4,4,tomato_red,target,3,2
2691-7,1479346814225,13,pepper,overinformative,pepper_red,target,2,2,avocado_black,distractor,3,3,pear_orange,distractor,4,4
2691-7,1479346820574,14,banana,overinformative-cc,banana_brown,target,3,4,carrot_pink,distractor,2,3,cup_brown,distractor,4,2
2691-7,1479346826013,15,pear,overinformative,pear_orange,target,2,2,pepper_green,distractor,4,3,avocado_black,distractor,3,4
2691-7,1479346832045,16,tomato,overinformative,tomato_pink,target,3,3,carrot_purple,distractor,4,4,apple_green,distractor,2,2
2691-7,1479346839328,17,avocado,overinformative-cc,avocado_green,target,3,2,pepper_red,distractor,4,3,cup_green,distractor,2,4
2691-7,1479346849214,18,carrot,overinformative,carrot_orange,target,4,3,apple_blue,distractor,3,4,tomato_pink,distractor,2,2
2691-7,1479346855813,19,apple,informative,apple_red,target,4,4,apple_blue,distractor,2,3,avocado_green,distractor,3,2
2691-7,1479346868237,20,apple,overinformative,carrot_pink,distractor,3,2,avocado_black,distractor,2,4,apple_green,target,4,3
2691-7,1479346881069,21,avocado,informative,avocado_black,target,3,4,avocado_red,distractor,4,2,carrot_orange,distractor,2,3
2691-7,1479346891000,22,carrot,overinformative,pear_orange,distractor,4,2,carrot_pink,target,2,3,apple_green,distractor,3,4
2691-7,1479346896768,23,apple,overinformative-cc,apple_green,target,4,4,cup_green,distractor,2,3,pear_orange,distractor,3,2
2691-7,1479346903644,24,banana,overinformative-cc,banana_yellow,target,3,4,cup_yellow,distractor,4,3,pepper_green,distractor,2,2
2691-7,1479346910017,25,pepper,informative,pepper_orange,distractor,2,4,carrot_pink,distractor,4,2,pepper_red,target,3,3
2691-7,1479346915693,26,pear,overinformative-cc,pear_green,target,4,3,banana_brown,distractor,2,2,cup_green,distractor,3,4
2691-7,1479346921565,27,banana,informative,banana_brown,target,4,4,pepper_red,distractor,3,3,banana_blue,distractor,2,2
2691-7,1479346929682,28,carrot,informative,carrot_orange,distractor,2,2,carrot_purple,target,4,4,avocado_black,distractor,3,3
2691-7,1479346936833,29,tomato,informative,tomato_red,target,4,3,tomato_pink,distractor,3,4,carrot_purple,distractor,2,2
2691-7,1479346945141,30,avocado,overinformative-cc,avocado_black,target,2,2,cup_black,distractor,4,3,tomato_pink,distractor,3,4
2691-7,1479346950567,31,banana,overinformative,banana_blue,target,3,3,carrot_pink,distractor,2,2,pepper_orange,distractor,4,4
2691-7,1479346957361,32,carrot,overinformative-cc,carrot_pink,target,2,4,banana_yellow,distractor,4,3,cup_pink,distractor,3,2
2691-7,1479346963960,33,carrot,overinformative-cc,cup_orange,distractor,2,3,pepper_red,distractor,4,2,carrot_orange,target,3,4
2691-7,1479346973238,34,pepper,informative,pepper_green,target,3,2,carrot_purple,distractor,2,3,pepper_red,distractor,4,4
2691-7,1479346980063,35,apple,overinformative,apple_red,target,2,2,avocado_green,distractor,3,4,pepper_orange,distractor,4,3
2691-7,1479346989136,36,banana,overinformative,banana_yellow,target,3,3,apple_blue,distractor,2,2,tomato_pink,distractor,4,4
2691-7,1479346997093,37,apple,overinformative-cc,apple_red,target,4,4,banana_brown,distractor,2,3,cup_red,distractor,3,2
2691-7,1479347009403,38,pear,overinformative-cc,pear_yellow,target,3,3,pepper_orange,distractor,2,4,cup_yellow,distractor,4,2
2691-7,1479347015087,39,apple,overinformative-cc,apple_blue,target,3,2,cup_blue,distractor,4,3,avocado_black,distractor,2,4
2691-7,1479347134877,40,pear,overinformative,pear_green,target,3,3,apple_blue,distractor,2,2,carrot_orange,distractor,4,4
2691-7,1479347142402,41,carrot,overinformative-cc,carrot_purple,target,3,2,cup_purple,distractor,4,4,banana_brown,distractor,2,3
2691-7,1479347149386,42,avocado,overinformative,avocado_green,target,2,3,carrot_pink,distractor,4,4,pepper_orange,distractor,3,2
