gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
4041-d,1479399978757,1,pear,overinformative-cc,pear_yellow,target,4,2,cup_yellow,distractor,3,3,avocado_red,distractor,2,4
4041-d,1479399986577,2,tomato,informative,tomato_green,target,2,4,tomato_pink,distractor,4,2,carrot_orange,distractor,3,3
4041-d,1479399994623,3,carrot,overinformative,carrot_purple,target,2,3,avocado_black,distractor,3,4,apple_red,distractor,4,2
4041-d,1479400002104,4,banana,informative,banana_brown,target,2,4,banana_yellow,distractor,3,3,avocado_black,distractor,4,2
4041-d,1479400015809,5,avocado,informative,avocado_green,target,2,2,apple_blue,distractor,3,3,avocado_black,distractor,4,4
4041-d,1479400025617,6,tomato,overinformative,tomato_red,target,2,3,apple_blue,distractor,4,2,pear_orange,distractor,3,4
4041-d,1479400030985,7,carrot,overinformative-cc,carrot_orange,target,3,2,pear_yellow,distractor,2,4,cup_orange,distractor,4,3
4041-d,1479400037793,8,avocado,overinformative-cc,avocado_green,target,3,3,cup_green,distractor,4,2,apple_red,distractor,2,4
4041-d,1479400044179,9,pear,overinformative,pear_green,target,4,2,apple_red,distractor,3,3,carrot_purple,distractor,2,4
4041-d,1479400051130,10,banana,informative,banana_blue,target,4,3,avocado_black,distractor,3,2,banana_brown,distractor,2,4
4041-d,1479400060315,11,pepper,informative,pepper_red,target,4,3,pepper_green,distractor,3,2,pear_green,distractor,2,4
4041-d,1479400067746,12,pear,informative,pear_orange,target,3,2,banana_brown,distractor,4,4,pear_green,distractor,2,3
4041-d,1479400072944,13,apple,overinformative,apple_red,target,4,3,pear_orange,distractor,2,4,banana_blue,distractor,3,2
4041-d,1479400080240,14,banana,overinformative,banana_brown,target,4,3,apple_green,distractor,2,4,apple_blue,distractor,3,2
4041-d,1479400087192,15,carrot,overinformative,carrot_pink,target,2,4,avocado_black,distractor,3,3,tomato_green,distractor,4,2
4041-d,1479400096784,16,avocado,overinformative,avocado_red,target,2,2,banana_blue,distractor,4,4,tomato_pink,distractor,3,3
4041-d,1479400103864,17,carrot,overinformative-cc,carrot_purple,target,4,2,cup_purple,distractor,3,3,avocado_black,distractor,2,4
4041-d,1479400110081,18,apple,overinformative-cc,apple_red,target,3,4,cup_red,distractor,4,2,carrot_pink,distractor,2,3
4041-d,1479400115352,19,carrot,informative,carrot_purple,target,2,2,carrot_orange,distractor,4,4,apple_red,distractor,3,3
4041-d,1479400120519,20,pear,overinformative-cc,pear_green,target,2,3,pepper_orange,distractor,3,4,cup_green,distractor,4,2
4041-d,1479400125608,21,pepper,overinformative-cc,pepper_red,target,3,3,apple_blue,distractor,4,2,cup_red,distractor,2,4
4041-d,1479400136602,22,pear,informative,pear_yellow,target,2,4,pepper_red,distractor,3,3,pear_green,distractor,4,2
4041-d,1479400143248,23,carrot,overinformative-cc,carrot_pink,target,2,3,apple_red,distractor,4,4,cup_pink,distractor,3,2
4041-d,1479400148256,24,banana,overinformative,banana_blue,target,4,4,avocado_green,distractor,3,2,avocado_red,distractor,2,3
4041-d,1479400153456,25,apple,informative,apple_green,target,4,3,banana_yellow,distractor,2,2,apple_red,distractor,3,4
4041-d,1479400158554,26,apple,overinformative,apple_green,target,2,3,carrot_purple,distractor,3,2,pepper_red,distractor,4,4
4041-d,1479400164416,27,apple,overinformative-cc,apple_green,target,4,2,cup_green,distractor,2,4,tomato_red,distractor,3,3
4041-d,1479400170136,28,banana,overinformative-cc,banana_blue,target,2,2,cup_blue,distractor,3,4,tomato_pink,distractor,4,3
4041-d,1479400178924,29,pear,informative,pear_green,target,3,4,pear_orange,distractor,4,3,avocado_black,distractor,2,2
4041-d,1479400184056,30,pepper,overinformative,pepper_orange,target,3,3,avocado_black,distractor,2,2,apple_red,distractor,4,4
4041-d,1479400188312,31,pear,overinformative,pear_yellow,target,3,3,banana_blue,distractor,4,4,carrot_orange,distractor,2,2
4041-d,1479400192601,32,pear,overinformative,pear_orange,target,3,3,tomato_pink,distractor,4,2,tomato_green,distractor,2,4
4041-d,1479400200177,33,avocado,informative,avocado_red,target,4,4,carrot_purple,distractor,2,2,avocado_black,distractor,3,3
4041-d,1479400209784,34,avocado,overinformative-cc,avocado_black,target,3,4,apple_red,distractor,4,3,cup_black,distractor,2,2
4041-d,1479400214530,35,apple,informative,apple_blue,target,3,2,tomato_red,distractor,4,3,apple_green,distractor,2,4
4041-d,1479400219984,36,tomato,informative,tomato_red,target,4,3,tomato_green,distractor,3,2,banana_brown,distractor,2,4
4041-d,1479400225008,37,pepper,informative,pepper_green,target,2,2,pepper_orange,distractor,3,3,banana_blue,distractor,4,4
4041-d,1479400239567,38,avocado,overinformative,avocado_green,target,2,2,pepper_orange,distractor,4,3,tomato_red,distractor,3,4
4041-d,1479400246361,39,avocado,overinformative-cc,avocado_red,target,3,2,cup_red,distractor,2,4,pear_orange,distractor,4,3
4041-d,1479400251112,40,pepper,overinformative,pepper_green,target,2,3,tomato_pink,distractor,4,4,apple_red,distractor,3,2
4041-d,1479400256034,41,avocado,overinformative,avocado_black,target,3,2,apple_blue,distractor,2,3,carrot_pink,distractor,4,4
4041-d,1479400264327,42,tomato,informative,tomato_pink,target,3,3,pear_orange,distractor,4,4,tomato_green,distractor,2,2
4041-d,1479400269531,43,carrot,overinformative,carrot_orange,target,2,4,apple_blue,distractor,3,3,apple_green,distractor,4,2
4041-d,1479400275024,44,pear,overinformative-cc,pear_orange,target,3,3,cup_orange,distractor,4,4,carrot_purple,distractor,2,2
4041-d,1479400288863,45,carrot,informative,carrot_pink,target,2,4,apple_red,distractor,3,3,carrot_orange,distractor,4,2
4041-d,1479400294852,46,pepper,overinformative-cc,pepper_orange,target,2,2,banana_yellow,distractor,3,4,cup_orange,distractor,4,3
4041-d,1479400301265,47,pepper,informative,pepper_orange,target,3,2,pear_green,distractor,2,4,pepper_green,distractor,4,3
4041-d,1479400309064,48,banana,informative,banana_yellow,target,4,2,carrot_orange,distractor,3,4,banana_brown,distractor,2,3
4041-d,1479400313250,49,apple,overinformative,apple_blue,target,4,3,pear_yellow,distractor,3,2,tomato_red,distractor,2,4
4041-d,1479400318320,50,banana,overinformative-cc,banana_brown,target,3,3,cup_brown,distractor,4,4,avocado_green,distractor,2,2
4041-d,1479400326100,51,tomato,overinformative-cc,tomato_pink,target,2,2,cup_pink,distractor,4,4,banana_yellow,distractor,3,3
4041-d,1479400330889,52,avocado,informative,avocado_black,target,4,3,carrot_orange,distractor,3,2,avocado_green,distractor,2,4
4041-d,1479400336473,53,apple,informative,apple_red,target,3,3,carrot_pink,distractor,4,4,apple_green,distractor,2,2
4041-d,1479400341399,54,tomato,overinformative-cc,tomato_red,target,2,2,banana_blue,distractor,4,4,cup_red,distractor,3,3
4041-d,1479400348344,55,tomato,overinformative,tomato_green,target,2,2,banana_blue,distractor,3,4,banana_yellow,distractor,4,3
4041-d,1479400353208,56,pepper,overinformative,pepper_red,target,2,3,apple_green,distractor,3,4,carrot_purple,distractor,4,2
4041-d,1479400359465,57,apple,overinformative-cc,apple_blue,target,2,4,cup_blue,distractor,4,2,pear_orange,distractor,3,3
4041-d,1479400369985,58,tomato,overinformative,tomato_pink,target,2,3,pear_green,distractor,3,2,banana_blue,distractor,4,4
4041-d,1479400378688,59,tomato,overinformative-cc,tomato_green,target,4,4,avocado_red,distractor,2,2,cup_green,distractor,3,3
4041-d,1479400383432,60,banana,overinformative,banana_yellow,target,2,3,pepper_orange,distractor,4,2,avocado_green,distractor,3,4
4041-d,1479400392408,61,banana,overinformative-cc,banana_yellow,target,2,3,cup_yellow,distractor,3,4,tomato_pink,distractor,4,2
4041-d,1479400399791,62,carrot,informative,carrot_orange,target,2,4,apple_blue,distractor,3,3,carrot_pink,distractor,4,2
4041-d,1479400406985,63,pepper,overinformative-cc,pepper_green,target,3,2,carrot_pink,distractor,4,4,cup_green,distractor,2,3
