workerid,rt,item,response,slide_number_in_experiment,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,18175,apple_green,0.91,2,english,2,Female,26,,Yes,3,Linux,768,1366,Chrome,3NQUW096N579XTDEP78IWLTQMCD9LR,3GH2OW4UBYDJDBA40H32MQIJH077J4,Language study,A 5-minute study where you rate objects.,language experiment study communication stanford fun cognitive science,$0.75,Wed Oct 05 09:18:34 PDT 2016,30,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Fri Nov 04 09:18:34 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3NQUW096N579XTDEP78IWLTQMCD9LR,33C7UALJVLXZF1OUH7PN0ULP0XM18T,0,Submitted,Thu Oct 06 02:03:37 PDT 2016,Wed Oct 05 09:21:59 PDT 2016,Wed Oct 05 09:23:37 PDT 2016,,,,,,[],{},1.5975666666666666
0,2466,carrot_purple,0.04,3,english,2,Female,26,,Yes,3,Linux,768,1366,Chrome,3NQUW096N579XTDEP78IWLTQMCD9LR,3GH2OW4UBYDJDBA40H32MQIJH077J4,Language study,A 5-minute study where you rate objects.,language experiment study communication stanford fun cognitive science,$0.75,Wed Oct 05 09:18:34 PDT 2016,30,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Fri Nov 04 09:18:34 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3NQUW096N579XTDEP78IWLTQMCD9LR,33C7UALJVLXZF1OUH7PN0ULP0XM18T,0,Submitted,Thu Oct 06 02:03:37 PDT 2016,Wed Oct 05 09:21:59 PDT 2016,Wed Oct 05 09:23:37 PDT 2016,,,,,,[],{},1.5975666666666666
0,2844,pepper_orange,0.95,4,english,2,Female,26,,Yes,3,Linux,768,1366,Chrome,3NQUW096N579XTDEP78IWLTQMCD9LR,3GH2OW4UBYDJDBA40H32MQIJH077J4,Language study,A 5-minute study where you rate objects.,language experiment study communication stanford fun cognitive science,$0.75,Wed Oct 05 09:18:34 PDT 2016,30,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Fri Nov 04 09:18:34 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3NQUW096N579XTDEP78IWLTQMCD9LR,33C7UALJVLXZF1OUH7PN0ULP0XM18T,0,Submitted,Thu Oct 06 02:03:37 PDT 2016,Wed Oct 05 09:21:59 PDT 2016,Wed Oct 05 09:23:37 PDT 2016,,,,,,[],{},1.5975666666666666
0,1962,apple_red,0.98,5,english,2,Female,26,,Yes,3,Linux,768,1366,Chrome,3NQUW096N579XTDEP78IWLTQMCD9LR,3GH2OW4UBYDJDBA40H32MQIJH077J4,Language study,A 5-minute study where you rate objects.,language experiment study communication stanford fun cognitive science,$0.75,Wed Oct 05 09:18:34 PDT 2016,30,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Fri Nov 04 09:18:34 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3NQUW096N579XTDEP78IWLTQMCD9LR,33C7UALJVLXZF1OUH7PN0ULP0XM18T,0,Submitted,Thu Oct 06 02:03:37 PDT 2016,Wed Oct 05 09:21:59 PDT 2016,Wed Oct 05 09:23:37 PDT 2016,,,,,,[],{},1.5975666666666666
0,2218,orange_purple,0.02,6,english,2,Female,26,,Yes,3,Linux,768,1366,Chrome,3NQUW096N579XTDEP78IWLTQMCD9LR,3GH2OW4UBYDJDBA40H32MQIJH077J4,Language study,A 5-minute study where you rate objects.,language experiment study communication stanford fun cognitive science,$0.75,Wed Oct 05 09:18:34 PDT 2016,30,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Fri Nov 04 09:18:34 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3NQUW096N579XTDEP78IWLTQMCD9LR,33C7UALJVLXZF1OUH7PN0ULP0XM18T,0,Submitted,Thu Oct 06 02:03:37 PDT 2016,Wed Oct 05 09:21:59 PDT 2016,Wed Oct 05 09:23:37 PDT 2016,,,,,,[],{},1.5975666666666666
0,2812,pear_orange,0.02,7,english,2,Female,26,,Yes,3,Linux,768,1366,Chrome,3NQUW096N579XTDEP78IWLTQMCD9LR,3GH2OW4UBYDJDBA40H32MQIJH077J4,Language study,A 5-minute study where you rate objects.,language experiment study communication stanford fun cognitive science,$0.75,Wed Oct 05 09:18:34 PDT 2016,30,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Fri Nov 04 09:18:34 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3NQUW096N579XTDEP78IWLTQMCD9LR,33C7UALJVLXZF1OUH7PN0ULP0XM18T,0,Submitted,Thu Oct 06 02:03:37 PDT 2016,Wed Oct 05 09:21:59 PDT 2016,Wed Oct 05 09:23:37 PDT 2016,,,,,,[],{},1.5975666666666666
0,3454,carrot_orange,0.95,8,english,2,Female,26,,Yes,3,Linux,768,1366,Chrome,3NQUW096N579XTDEP78IWLTQMCD9LR,3GH2OW4UBYDJDBA40H32MQIJH077J4,Language study,A 5-minute study where you rate objects.,language experiment study communication stanford fun cognitive science,$0.75,Wed Oct 05 09:18:34 PDT 2016,30,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Fri Nov 04 09:18:34 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3NQUW096N579XTDEP78IWLTQMCD9LR,33C7UALJVLXZF1OUH7PN0ULP0XM18T,0,Submitted,Thu Oct 06 02:03:37 PDT 2016,Wed Oct 05 09:21:59 PDT 2016,Wed Oct 05 09:23:37 PDT 2016,,,,,,[],{},1.5975666666666666
0,2314,banana_brown,0.41,9,english,2,Female,26,,Yes,3,Linux,768,1366,Chrome,3NQUW096N579XTDEP78IWLTQMCD9LR,3GH2OW4UBYDJDBA40H32MQIJH077J4,Language study,A 5-minute study where you rate objects.,language experiment study communication stanford fun cognitive science,$0.75,Wed Oct 05 09:18:34 PDT 2016,30,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Fri Nov 04 09:18:34 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3NQUW096N579XTDEP78IWLTQMCD9LR,33C7UALJVLXZF1OUH7PN0ULP0XM18T,0,Submitted,Thu Oct 06 02:03:37 PDT 2016,Wed Oct 05 09:21:59 PDT 2016,Wed Oct 05 09:23:37 PDT 2016,,,,,,[],{},1.5975666666666666
0,2116,pepper_green,0.93,10,english,2,Female,26,,Yes,3,Linux,768,1366,Chrome,3NQUW096N579XTDEP78IWLTQMCD9LR,3GH2OW4UBYDJDBA40H32MQIJH077J4,Language study,A 5-minute study where you rate objects.,language experiment study communication stanford fun cognitive science,$0.75,Wed Oct 05 09:18:34 PDT 2016,30,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Fri Nov 04 09:18:34 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3NQUW096N579XTDEP78IWLTQMCD9LR,33C7UALJVLXZF1OUH7PN0ULP0XM18T,0,Submitted,Thu Oct 06 02:03:37 PDT 2016,Wed Oct 05 09:21:59 PDT 2016,Wed Oct 05 09:23:37 PDT 2016,,,,,,[],{},1.5975666666666666
0,1698,pear_yellow,0.97,11,english,2,Female,26,,Yes,3,Linux,768,1366,Chrome,3NQUW096N579XTDEP78IWLTQMCD9LR,3GH2OW4UBYDJDBA40H32MQIJH077J4,Language study,A 5-minute study where you rate objects.,language experiment study communication stanford fun cognitive science,$0.75,Wed Oct 05 09:18:34 PDT 2016,30,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Fri Nov 04 09:18:34 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3NQUW096N579XTDEP78IWLTQMCD9LR,33C7UALJVLXZF1OUH7PN0ULP0XM18T,0,Submitted,Thu Oct 06 02:03:37 PDT 2016,Wed Oct 05 09:21:59 PDT 2016,Wed Oct 05 09:23:37 PDT 2016,,,,,,[],{},1.5975666666666666
