gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
3377-8,1479402925794,1,avocado,overinformative,avocado_green,target,2,2,tomato_pink,distractor,4,4,carrot_orange,distractor,3,3
3377-8,1479402934709,2,avocado,overinformative-cc,avocado_black,target,4,4,apple_blue,distractor,3,2,cup_black,distractor,2,3
3377-8,1479402949842,3,carrot,informative,carrot_pink,target,4,3,apple_green,distractor,2,2,carrot_purple,distractor,3,4
3377-8,1479402958729,4,carrot,overinformative-cc,carrot_orange,target,4,3,cup_orange,distractor,2,2,avocado_red,distractor,3,4
3377-8,1479402964950,5,apple,overinformative-cc,apple_blue,target,3,4,carrot_orange,distractor,2,2,cup_blue,distractor,4,3
3377-8,1479402973098,6,pepper,overinformative-cc,pepper_red,target,4,2,cup_red,distractor,3,4,carrot_purple,distractor,2,3
3377-8,1479402979672,7,banana,overinformative,banana_brown,target,4,2,carrot_orange,distractor,2,4,avocado_green,distractor,3,3
3377-8,1479402985340,8,apple,overinformative,apple_green,target,2,3,banana_yellow,distractor,4,2,tomato_red,distractor,3,4
3377-8,1479402999923,9,tomato,informative,tomato_pink,target,2,4,tomato_green,distractor,3,3,apple_blue,distractor,4,2
3377-8,1479403007405,10,tomato,overinformative,tomato_red,target,2,3,pepper_green,distractor,3,4,banana_blue,distractor,4,2
3377-8,1479403013669,11,tomato,informative,tomato_green,target,3,2,pepper_orange,distractor,4,3,tomato_pink,distractor,2,4
3377-8,1479403019594,12,banana,overinformative-cc,banana_blue,target,3,2,carrot_purple,distractor,2,4,cup_blue,distractor,4,3
3377-8,1479403025938,13,banana,informative,banana_yellow,target,2,4,banana_brown,distractor,3,3,pear_green,distractor,4,2
3377-8,1479403033434,14,pepper,informative,pepper_orange,target,2,2,pepper_red,distractor,3,4,banana_blue,distractor,4,3
3377-8,1479403048956,15,avocado,informative,avocado_red,target,4,2,pepper_orange,distractor,3,4,avocado_green,distractor,2,3
3377-8,1479403054714,16,pepper,overinformative-cc,pepper_orange,target,4,2,cup_orange,distractor,3,4,banana_blue,distractor,2,3
3377-8,1479403060845,17,pear,overinformative,pear_yellow,target,4,4,avocado_red,distractor,3,3,apple_green,distractor,2,2
3377-8,1479403066705,18,pepper,overinformative,pepper_red,target,2,4,tomato_green,distractor,4,2,avocado_green,distractor,3,3
3377-8,1479403073177,19,pear,overinformative-cc,pear_orange,target,4,2,avocado_black,distractor,3,4,cup_orange,distractor,2,3
3377-8,1479403078031,20,pear,overinformative-cc,pear_green,target,4,4,cup_green,distractor,3,2,apple_blue,distractor,2,3
3377-8,1479403084546,21,carrot,overinformative,carrot_purple,target,2,4,tomato_green,distractor,3,3,avocado_black,distractor,4,2
3377-8,1479403089835,22,pepper,informative,pepper_green,target,4,3,pepper_orange,distractor,2,2,pear_yellow,distractor,3,4
3377-8,1479403095353,23,apple,overinformative,apple_red,target,2,4,avocado_green,distractor,3,3,pear_orange,distractor,4,2
3377-8,1479403101094,24,pear,overinformative,pear_green,target,2,4,banana_yellow,distractor,3,2,apple_blue,distractor,4,3
3377-8,1479403107001,25,banana,overinformative,banana_yellow,target,3,3,avocado_red,distractor,2,4,pear_green,distractor,4,2
3377-8,1479403113021,26,pear,overinformative,tomato_green,distractor,3,2,pear_orange,target,4,4,apple_blue,distractor,2,3
3377-8,1479403118313,27,tomato,informative,tomato_red,target,3,3,avocado_black,distractor,2,2,tomato_green,distractor,4,4
3377-8,1479403123289,28,banana,overinformative-cc,banana_yellow,target,2,4,apple_blue,distractor,3,3,cup_yellow,distractor,4,2
3377-8,1479403128872,29,carrot,overinformative-cc,carrot_pink,target,3,2,banana_brown,distractor,4,3,cup_pink,distractor,2,4
3377-8,1479403133961,30,pepper,overinformative,pepper_green,target,4,3,pear_orange,distractor,2,4,carrot_purple,distractor,3,2
3377-8,1479403140639,31,carrot,overinformative,carrot_pink,target,4,3,pepper_green,distractor,3,2,avocado_black,distractor,2,4
3377-8,1479403147856,32,tomato,overinformative-cc,tomato_red,target,2,2,apple_green,distractor,3,3,cup_red,distractor,4,4
3377-8,1479403159252,33,carrot,informative,carrot_orange,target,2,2,tomato_pink,distractor,3,3,carrot_purple,distractor,4,4
3377-8,1479403166142,34,avocado,overinformative-cc,avocado_green,target,2,2,cup_green,distractor,3,4,banana_yellow,distractor,4,3
3377-8,1479403172530,35,pear,informative,pear_yellow,target,2,3,pear_orange,distractor,4,2,apple_blue,distractor,3,4
3377-8,1479403178593,36,tomato,overinformative,tomato_green,target,2,4,banana_blue,distractor,3,2,carrot_pink,distractor,4,3
3377-8,1479403183580,37,apple,informative,apple_green,target,3,3,avocado_black,distractor,4,2,apple_red,distractor,2,4
3377-8,1479403190325,38,apple,overinformative-cc,apple_green,target,4,4,avocado_black,distractor,2,2,cup_green,distractor,3,3
3377-8,1479403199348,39,carrot,informative,carrot_purple,target,4,3,carrot_pink,distractor,3,4,pepper_red,distractor,2,2
3377-8,1479403204317,40,apple,overinformative,apple_blue,target,3,4,pear_yellow,distractor,2,3,banana_yellow,distractor,4,2
3377-8,1479403209645,41,pear,informative,pear_green,target,3,2,pear_orange,distractor,2,4,avocado_red,distractor,4,3
3377-8,1479403215045,42,avocado,informative,avocado_green,target,3,4,carrot_purple,distractor,2,2,avocado_black,distractor,4,3
3377-8,1479403220243,43,carrot,overinformative,carrot_orange,target,4,4,banana_yellow,distractor,2,2,pear_yellow,distractor,3,3
3377-8,1479403225494,44,apple,informative,apple_blue,target,4,2,apple_red,distractor,3,4,pear_green,distractor,2,3
3377-8,1479403229988,45,apple,informative,apple_red,target,3,4,banana_brown,distractor,4,3,apple_blue,distractor,2,2
3377-8,1479403236786,46,apple,overinformative-cc,apple_red,target,2,2,pear_orange,distractor,3,4,cup_red,distractor,4,3
3377-8,1479403242961,47,avocado,overinformative,avocado_red,target,3,3,carrot_purple,distractor,2,4,pepper_orange,distractor,4,2
3377-8,1479403247307,48,banana,overinformative-cc,banana_brown,target,3,3,avocado_red,distractor,2,4,cup_brown,distractor,4,2
3377-8,1479403252944,49,carrot,overinformative-cc,carrot_purple,target,2,3,tomato_pink,distractor,4,4,cup_purple,distractor,3,2
3377-8,1479403263104,50,banana,informative,banana_brown,target,4,2,banana_blue,distractor,3,4,pear_green,distractor,2,3
3377-8,1479403274337,51,tomato,overinformative,tomato_pink,target,4,2,pepper_red,distractor,3,3,pear_green,distractor,2,4
3377-8,1479403283093,52,pepper,overinformative-cc,pepper_green,target,2,4,pear_orange,distractor,4,2,cup_green,distractor,3,3
