gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
6715-9,1479834894020,1,tomato,overinformative,tomato_green,target,4,3,banana_blue,distractor,2,2,avocado_black,distractor,3,4
6715-9,1479834913455,2,banana,overinformative-cc,banana_yellow,target,3,3,tomato_green,distractor,4,4,cup_yellow,distractor,2,2
6715-9,1479834931719,3,pepper,overinformative-cc,pepper_green,target,2,3,cup_green,distractor,3,2,banana_blue,distractor,4,4
6715-9,1479834957386,4,banana,overinformative,banana_yellow,target,3,4,pepper_red,distractor,2,3,apple_blue,distractor,4,2
6715-9,1479834970754,5,carrot,overinformative-cc,carrot_orange,target,2,2,cup_orange,distractor,3,3,tomato_green,distractor,4,4
6715-9,1479834987748,6,pear,informative-cc,pear_yellow,distractor,3,4,cup_green,distractor,4,2,pear_green,target,2,3
6715-9,1479834995319,7,apple,overinformative,apple_red,target,4,4,carrot_pink,distractor,2,3,banana_brown,distractor,3,2
6715-9,1479835007388,8,pepper,overinformative-cc,pepper_orange,target,2,2,apple_red,distractor,4,3,cup_orange,distractor,3,4
6715-9,1479835020309,9,avocado,overinformative-cc,avocado_black,target,2,3,pepper_green,distractor,4,2,cup_black,distractor,3,4
6715-9,1479835029058,10,tomato,overinformative-cc,tomato_pink,target,4,3,banana_yellow,distractor,2,4,cup_pink,distractor,3,2
6715-9,1479835036169,11,tomato,informative-cc,tomato_red,target,4,4,cup_red,distractor,3,3,tomato_pink,distractor,2,2
6715-9,1479835045900,12,pepper,overinformative-cc,pepper_red,target,4,3,banana_blue,distractor,2,4,cup_red,distractor,3,2
6715-9,1479835055658,13,carrot,overinformative,carrot_pink,target,4,4,pepper_red,distractor,3,2,pear_yellow,distractor,2,3
6715-9,1479835062516,14,pepper,informative-cc,pepper_green,target,3,2,cup_green,distractor,4,4,pepper_red,distractor,2,3
6715-9,1479835071114,15,pepper,informative,pepper_orange,target,4,2,apple_red,distractor,3,3,pepper_red,distractor,2,4
6715-9,1479835078970,16,apple,informative,apple_green,target,4,4,apple_blue,distractor,2,2,carrot_purple,distractor,3,3
6715-9,1479835086492,17,banana,overinformative,banana_blue,target,4,2,pepper_red,distractor,2,4,tomato_red,distractor,3,3
6715-9,1479835094570,18,carrot,overinformative,carrot_purple,target,2,2,banana_brown,distractor,3,3,pear_yellow,distractor,4,4
6715-9,1479835102733,19,apple,overinformative,apple_green,target,3,4,pepper_red,distractor,4,3,carrot_purple,distractor,2,2
6715-9,1479835112276,20,pear,informative-cc,pear_orange,target,3,2,cup_orange,distractor,4,3,pear_yellow,distractor,2,4
6715-9,1479835119428,21,tomato,overinformative-cc,tomato_red,target,2,4,cup_red,distractor,3,2,banana_brown,distractor,4,3
6715-9,1479835126171,22,banana,informative-cc,banana_blue,target,2,3,cup_blue,distractor,3,4,banana_brown,distractor,4,2
6715-9,1479835132180,23,apple,informative-cc,apple_red,target,4,3,cup_red,distractor,2,2,apple_blue,distractor,3,4
6715-9,1479835161002,24,pear,informative,pear_yellow,target,4,2,pepper_orange,distractor,2,4,pear_green,distractor,3,3
6715-9,1479835174822,25,avocado,informative-cc,avocado_green,target,4,4,avocado_black,distractor,3,2,cup_green,distractor,2,3
6715-9,1479835194100,26,avocado,overinformative,avocado_green,target,2,3,banana_brown,distractor,3,4,apple_blue,distractor,4,2
6715-9,1479835204997,27,banana,overinformative,banana_brown,target,4,2,tomato_green,distractor,2,3,pepper_orange,distractor,3,4
6715-9,1479835212480,28,carrot,informative-cc,carrot_orange,target,3,3,carrot_purple,distractor,4,2,cup_orange,distractor,2,4
6715-9,1479835221599,29,banana,informative,banana_brown,target,3,4,apple_blue,distractor,2,3,banana_yellow,distractor,4,2
6715-9,1479835234592,30,pear,informative,pear_yellow,distractor,4,4,pear_green,target,3,2,tomato_pink,distractor,2,3
6715-9,1479835246478,31,pepper,informative,pepper_red,target,2,3,tomato_pink,distractor,3,4,pepper_orange,distractor,4,2
6715-9,1479835255780,32,tomato,informative-cc,tomato_pink,target,2,4,cup_pink,distractor,3,3,tomato_red,distractor,4,2
6715-9,1479835278303,33,pear,informative-cc,pear_yellow,target,4,3,pear_green,distractor,3,2,cup_yellow,distractor,2,4
6715-9,1479835286133,34,apple,informative,apple_blue,target,2,4,apple_red,distractor,4,2,avocado_green,distractor,3,3
6715-9,1479835297151,35,avocado,overinformative,avocado_black,target,2,4,pepper_green,distractor,3,2,carrot_pink,distractor,4,3
6715-9,1479835306010,36,avocado,informative,avocado_red,target,4,2,avocado_black,distractor,3,4,banana_blue,distractor,2,3
6715-9,1479835314156,37,pear,overinformative,pear_orange,target,3,3,banana_brown,distractor,2,4,pepper_green,distractor,4,2
6715-9,1479835323190,38,carrot,informative,carrot_pink,target,3,4,carrot_orange,distractor,4,3,tomato_red,distractor,2,2
6715-9,1479835330988,39,avocado,informative-cc,avocado_red,target,4,3,cup_red,distractor,3,2,avocado_green,distractor,2,4
6715-9,1479835341584,40,tomato,informative-cc,tomato_green,target,3,3,tomato_pink,distractor,4,4,cup_green,distractor,2,2
6715-9,1479835347333,41,apple,overinformative,apple_blue,target,2,2,avocado_black,distractor,4,3,pepper_red,distractor,3,4
6715-9,1479835354990,42,carrot,overinformative-cc,carrot_purple,target,3,4,pear_yellow,distractor,2,2,cup_purple,distractor,4,3
