gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
0561-8,1479835808313,1,tomato,overinformative-cc,apple_green,distractor,2,3,tomato_red,target,3,4,cup_red,distractor,4,2
0561-8,1479835822166,2,carrot,overinformative-cc,carrot_purple,target,2,4,cup_purple,distractor,4,3,banana_yellow,distractor,3,2
0561-8,1479835833791,3,apple,overinformative-cc,apple_red,target,4,3,cup_red,distractor,3,4,tomato_pink,distractor,2,2
0561-8,1479835848441,4,pepper,informative-cc,pepper_orange,target,2,2,pepper_green,distractor,4,3,cup_orange,distractor,3,4
0561-8,1479835865532,5,tomato,overinformative,tomato_pink,target,4,3,pear_orange,distractor,2,4,pepper_orange,distractor,3,2
0561-8,1479835879436,6,banana,informative,banana_brown,target,2,4,apple_red,distractor,4,2,banana_blue,distractor,3,3
0561-8,1479835893407,7,banana,overinformative-cc,banana_blue,target,2,4,cup_blue,distractor,3,2,pear_orange,distractor,4,3
0561-8,1479835901923,8,pepper,overinformative,pepper_red,target,4,4,banana_yellow,distractor,2,2,carrot_orange,distractor,3,3
0561-8,1479835913211,9,avocado,overinformative,avocado_red,target,2,3,apple_green,distractor,3,2,pepper_green,distractor,4,4
0561-8,1479835924021,10,pear,overinformative-cc,pear_green,target,2,2,pepper_orange,distractor,4,3,cup_green,distractor,3,4
0561-8,1479835942328,11,pear,informative-cc,pear_yellow,target,3,4,pear_green,distractor,4,2,cup_yellow,distractor,2,3
0561-8,1479835954198,12,banana,informative-cc,banana_yellow,target,3,4,banana_brown,distractor,4,2,cup_yellow,distractor,2,3
0561-8,1479835964710,13,carrot,overinformative,carrot_purple,target,3,2,banana_blue,distractor,2,3,avocado_green,distractor,4,4
0561-8,1479835977865,14,banana,informative-cc,banana_blue,target,4,2,cup_blue,distractor,2,4,banana_brown,distractor,3,3
0561-8,1479835992335,15,avocado,overinformative-cc,avocado_black,target,2,4,tomato_green,distractor,4,2,cup_black,distractor,3,3
0561-8,1479836000975,16,avocado,overinformative,avocado_green,target,2,2,tomato_red,distractor,3,4,apple_blue,distractor,4,3
0561-8,1479836008550,17,avocado,informative,avocado_black,target,2,4,banana_yellow,distractor,4,2,avocado_green,distractor,3,3
0561-8,1479836024882,18,apple,overinformative,apple_blue,target,4,3,pepper_green,distractor,3,4,carrot_orange,distractor,2,2
0561-8,1479836051230,19,pepper,informative,pepper_orange,target,4,4,pear_yellow,distractor,2,3,pepper_red,distractor,3,2
0561-8,1479836091429,20,pepper,informative,pepper_red,target,2,4,carrot_purple,distractor,3,3,pepper_green,distractor,4,2
0561-8,1479836103166,21,carrot,overinformative,carrot_pink,target,4,2,avocado_black,distractor,2,4,pepper_green,distractor,3,3
0561-8,1479836113250,22,banana,informative,banana_yellow,target,4,4,banana_brown,distractor,3,3,apple_green,distractor,2,2
0561-8,1479836123890,23,banana,overinformative,banana_brown,target,2,2,pear_orange,distractor,3,3,avocado_red,distractor,4,4
0561-8,1479836134818,24,carrot,informative,carrot_orange,target,3,2,carrot_purple,distractor,4,4,tomato_green,distractor,2,3
0561-8,1479836145932,25,apple,informative,apple_blue,target,2,3,apple_green,distractor,4,2,carrot_pink,distractor,3,4
0561-8,1479836152050,26,apple,informative,apple_red,target,2,3,apple_blue,distractor,4,4,tomato_green,distractor,3,2
0561-8,1479836161781,27,pear,overinformative,pear_orange,target,3,3,carrot_pink,distractor,4,4,carrot_purple,distractor,2,2
0561-8,1479836168213,28,tomato,informative,tomato_red,target,3,3,tomato_pink,distractor,4,2,apple_green,distractor,2,4
0561-8,1479836178184,29,avocado,informative-cc,avocado_red,target,2,2,cup_red,distractor,3,4,avocado_black,distractor,4,3
0561-8,1479836189542,30,tomato,overinformative-cc,tomato_green,target,4,3,cup_green,distractor,2,2,banana_yellow,distractor,3,4
0561-8,1479836202831,31,carrot,overinformative-cc,carrot_pink,target,3,2,cup_pink,distractor,2,3,tomato_red,distractor,4,4
0561-8,1479836218383,32,apple,overinformative-cc,pear_yellow,distractor,4,3,apple_green,target,2,2,cup_green,distractor,3,4
0561-8,1479836237973,33,pear,overinformative-cc,pear_yellow,target,4,3,cup_yellow,distractor,2,4,avocado_black,distractor,3,2
0561-8,1479836252667,34,pepper,informative-cc,pepper_green,target,4,2,cup_green,distractor,2,3,pepper_red,distractor,3,4
0561-8,1479836268857,35,tomato,informative-cc,tomato_pink,target,2,4,tomato_green,distractor,3,2,cup_pink,distractor,4,3
0561-8,1479836277269,36,avocado,informative,avocado_green,target,3,3,avocado_red,distractor,2,4,banana_brown,distractor,4,2
0561-8,1479836289032,37,pear,overinformative-cc,pear_orange,target,2,3,banana_brown,distractor,4,2,cup_orange,distractor,3,4
0561-8,1479836296239,38,pepper,overinformative,pepper_green,target,3,4,banana_blue,distractor,2,3,avocado_red,distractor,4,2
0561-8,1479836312091,39,carrot,informative-cc,cup_orange,distractor,4,3,carrot_orange,target,3,4,carrot_pink,distractor,2,2
0561-8,1479836323334,40,pear,informative,pear_green,target,4,3,pear_orange,distractor,2,2,tomato_pink,distractor,3,4
0561-8,1479836332305,41,apple,overinformative,apple_green,target,3,3,carrot_purple,distractor,2,4,banana_yellow,distractor,4,2
0561-8,1479836340246,42,tomato,overinformative,tomato_green,target,3,3,pepper_red,distractor,4,2,banana_yellow,distractor,2,4
