gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
5834-3,1479836291062,1,pear,overinformative-cc,pear_orange,target,2,2,carrot_purple,distractor,4,3,cup_orange,distractor,3,4
5834-3,1479836298052,2,apple,overinformative,apple_green,target,4,4,carrot_orange,distractor,2,2,avocado_red,distractor,3,3
5834-3,1479836314321,3,banana,informative-cc,banana_yellow,target,4,4,banana_brown,distractor,3,3,cup_yellow,distractor,2,2
5834-3,1479836321866,4,carrot,overinformative-cc,carrot_purple,target,2,2,cup_purple,distractor,3,4,pepper_orange,distractor,4,3
5834-3,1479836329767,5,tomato,informative-cc,tomato_pink,target,2,3,cup_pink,distractor,4,2,tomato_red,distractor,3,4
5834-3,1479836336625,6,avocado,informative-cc,avocado_black,target,2,2,cup_black,distractor,3,3,avocado_red,distractor,4,4
5834-3,1479836343924,7,carrot,informative-cc,carrot_orange,target,3,3,carrot_pink,distractor,4,2,cup_orange,distractor,2,4
5834-3,1479836354640,8,carrot,informative-cc,carrot_pink,target,2,2,cup_pink,distractor,3,3,carrot_purple,distractor,4,4
5834-3,1479836360211,9,tomato,overinformative,tomato_red,target,3,2,carrot_purple,distractor,4,3,avocado_black,distractor,2,4
5834-3,1479836366797,10,pepper,informative,pepper_red,target,3,4,apple_green,distractor,4,2,pepper_orange,distractor,2,3
5834-3,1479836372266,11,banana,overinformative,banana_yellow,target,4,2,avocado_black,distractor,2,4,tomato_pink,distractor,3,3
5834-3,1479836379178,12,avocado,informative,avocado_green,target,4,4,banana_blue,distractor,3,2,avocado_red,distractor,2,3
5834-3,1479836384375,13,pear,overinformative,pear_orange,target,3,3,pepper_green,distractor,2,4,tomato_pink,distractor,4,2
5834-3,1479836390487,14,banana,informative-cc,banana_brown,target,4,2,cup_brown,distractor,2,4,banana_yellow,distractor,3,3
5834-3,1479836396424,15,carrot,informative,carrot_orange,target,4,2,carrot_purple,distractor,3,3,tomato_green,distractor,2,4
5834-3,1479836401878,16,apple,informative-cc,apple_green,target,3,2,cup_green,distractor,4,4,apple_blue,distractor,2,3
5834-3,1479836408441,17,apple,overinformative-cc,apple_blue,target,3,2,cup_blue,distractor,4,3,pear_green,distractor,2,4
5834-3,1479836413777,18,apple,informative-cc,cup_red,distractor,2,4,apple_blue,distractor,4,2,apple_red,target,3,3
5834-3,1479836423120,19,avocado,overinformative-cc,avocado_red,target,3,4,carrot_pink,distractor,2,3,cup_red,distractor,4,2
5834-3,1479836428864,20,pepper,overinformative,pepper_orange,target,2,4,tomato_green,distractor,3,3,banana_brown,distractor,4,2
5834-3,1479836433998,21,banana,overinformative,banana_blue,target,4,3,tomato_green,distractor,3,4,pepper_orange,distractor,2,2
5834-3,1479836439819,22,apple,informative,apple_blue,target,3,4,carrot_purple,distractor,4,2,apple_red,distractor,2,3
5834-3,1479836445212,23,tomato,overinformative-cc,tomato_green,target,3,4,cup_green,distractor,2,3,avocado_red,distractor,4,2
5834-3,1479836451812,24,tomato,informative,tomato_pink,target,4,3,pear_green,distractor,3,4,tomato_red,distractor,2,2
5834-3,1479836458685,25,tomato,overinformative,tomato_green,target,4,2,pear_orange,distractor,3,3,apple_red,distractor,2,4
5834-3,1479836463686,26,pear,overinformative,pear_green,target,3,3,tomato_pink,distractor,4,2,tomato_red,distractor,2,4
5834-3,1479836472889,27,avocado,informative-cc,avocado_red,target,3,2,cup_red,distractor,2,3,avocado_green,distractor,4,4
5834-3,1479836479176,28,avocado,overinformative,avocado_green,target,2,3,apple_blue,distractor,3,2,apple_red,distractor,4,4
5834-3,1479836484169,29,pepper,overinformative-cc,pepper_green,target,3,2,carrot_pink,distractor,2,4,cup_green,distractor,4,3
5834-3,1479836491668,30,pear,informative,pear_yellow,target,2,2,pear_orange,distractor,4,3,carrot_pink,distractor,3,4
5834-3,1479836499272,31,carrot,informative-cc,carrot_purple,target,4,3,carrot_pink,distractor,2,4,cup_purple,distractor,3,2
5834-3,1479836504625,32,carrot,overinformative,carrot_pink,target,3,2,pepper_red,distractor,4,4,banana_yellow,distractor,2,3
5834-3,1479836509712,33,tomato,overinformative-cc,tomato_red,target,2,4,banana_brown,distractor,3,3,cup_red,distractor,4,2
5834-3,1479836515092,34,banana,informative,banana_blue,target,3,2,banana_brown,distractor,4,4,carrot_purple,distractor,2,3
5834-3,1479836521038,35,avocado,overinformative,avocado_black,target,2,2,pear_yellow,distractor,3,4,apple_red,distractor,4,3
5834-3,1479836531400,36,pepper,informative,pepper_orange,target,2,3,pepper_green,distractor,4,2,avocado_red,distractor,3,4
5834-3,1479836538214,37,pear,overinformative,pear_yellow,target,2,4,avocado_green,distractor,3,2,tomato_red,distractor,4,3
5834-3,1479836542951,38,pepper,overinformative,pepper_green,target,4,2,apple_blue,distractor,2,4,carrot_orange,distractor,3,3
5834-3,1479836549382,39,apple,overinformative-cc,apple_red,target,4,3,pepper_green,distractor,3,2,cup_red,distractor,2,4
5834-3,1479836555525,40,pear,informative-cc,pear_green,target,4,3,pear_orange,distractor,2,4,cup_green,distractor,3,2
5834-3,1479836560488,41,banana,overinformative,banana_brown,target,4,2,pepper_red,distractor,3,4,avocado_green,distractor,2,3
5834-3,1479836566363,42,pepper,informative-cc,pepper_red,target,4,2,pepper_orange,distractor,2,3,cup_red,distractor,3,4
