gameid,time,roundNum,sender,contents
4911-3,1479834228558,1,speaker,"orange fruit"
4911-3,1479834238962,2,speaker,"red"
4911-3,1479834250540,3,speaker,"blue"
4911-3,1479834265607,4,speaker,"green fruit"
4911-3,1479834275997,5,speaker,"red"
4911-3,1479834284963,6,speaker,"fruit"
4911-3,1479834304359,7,speaker,"round fruit"
4911-3,1479834318367,8,speaker,"purple veggie"
4911-3,1479834327627,9,speaker,"red"
4911-3,1479834337285,10,speaker,"fruit"
4911-3,1479834352411,11,speaker,"black fruit"
4911-3,1479834365259,12,speaker,"black fruit"
4911-3,1479834377108,13,speaker,"orange fruit"
4911-3,1479834390917,14,speaker,"orange veggie"
4911-3,1479834403580,15,speaker,"green fruit"
4911-3,1479834419809,16,speaker,"fruit"
4911-3,1479834433047,16,listener,"banana or pepper bro"
4911-3,1479834452940,16,speaker,"banana is a fruit, pepper is a veggie"
4911-3,1479834456943,16,listener,"pretty sure you can directly name the objects"
4911-3,1479834469012,17,speaker,"then pear it is haha"
4911-3,1479834474724,18,listener,"yay"
4911-3,1479834487766,18,speaker,"yellow banana"
4911-3,1479834496312,19,speaker,"purple carrot"
4911-3,1479834509243,20,speaker,"avocado"
4911-3,1479834518378,21,speaker,"tomato"
4911-3,1479834525151,22,speaker,"pepper"
4911-3,1479834533147,23,speaker,"avocado"
4911-3,1479834543780,24,speaker,"dark banana"
4911-3,1479834555670,25,speaker,"purple carrot"
4911-3,1479834563995,26,speaker,"blue apple"
4911-3,1479834571265,27,speaker,"green apple"
4911-3,1479834578284,28,speaker,"green tomato"
4911-3,1479834589884,29,speaker,"yellow pear"
4911-3,1479834600353,30,speaker,"purple tomato"
4911-3,1479834608225,31,speaker,"green tomato"
4911-3,1479834616759,32,speaker,"red tomato"
4911-3,1479834625306,33,speaker,"red apple"
4911-3,1479834635088,34,speaker,"pepper"
4911-3,1479834644278,35,speaker,"green pepper"
4911-3,1479834651953,36,speaker,"red apple"
4911-3,1479834662320,37,speaker,"orange carrot"
4911-3,1479834670581,38,speaker,"green pear"
4911-3,1479834678702,39,speaker,"purple carrot"
4911-3,1479834687838,40,speaker,"banana"
4911-3,1479834695825,41,speaker,"carrot"
4911-3,1479834702283,42,speaker,"apple"
