gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
5175-f,1479833358351,1,pear,informative-cc,pear_orange,target,2,3,pear_green,distractor,4,4,cup_orange,distractor,3,2
5175-f,1479833363120,2,tomato,overinformative-cc,tomato_red,target,3,3,cup_red,distractor,2,2,banana_brown,distractor,4,4
5175-f,1479833373241,3,carrot,informative-cc,carrot_orange,target,3,4,carrot_pink,distractor,4,3,cup_orange,distractor,2,2
5175-f,1479833387917,4,carrot,informative,carrot_pink,target,2,3,avocado_red,distractor,3,2,carrot_purple,distractor,4,4
5175-f,1479833395358,5,banana,overinformative-cc,banana_blue,target,2,2,pepper_orange,distractor,4,3,cup_blue,distractor,3,4
5175-f,1479833404435,6,tomato,informative-cc,tomato_pink,target,2,3,tomato_red,distractor,4,4,cup_pink,distractor,3,2
5175-f,1479833409917,7,pear,informative,pear_orange,target,3,3,banana_yellow,distractor,2,2,pear_green,distractor,4,4
5175-f,1479833416649,8,avocado,informative,avocado_red,target,2,2,avocado_green,distractor,4,3,carrot_pink,distractor,3,4
5175-f,1479833426582,9,pear,overinformative-cc,pear_yellow,target,4,3,carrot_pink,distractor,3,2,cup_yellow,distractor,2,4
5175-f,1479833432938,10,pepper,overinformative,pepper_red,target,4,4,carrot_purple,distractor,3,2,banana_yellow,distractor,2,3
5175-f,1479833445340,11,apple,overinformative-cc,apple_blue,target,4,2,cup_blue,distractor,2,3,carrot_pink,distractor,3,4
5175-f,1479833458284,12,apple,informative-cc,apple_blue,target,2,4,apple_red,distractor,3,3,cup_blue,distractor,4,2
5175-f,1479833463637,13,pepper,overinformative-cc,pepper_orange,target,2,4,banana_brown,distractor,3,2,cup_orange,distractor,4,3
5175-f,1479833470852,14,avocado,overinformative-cc,avocado_green,target,4,4,apple_blue,distractor,3,3,cup_green,distractor,2,2
5175-f,1479833475253,15,pepper,overinformative,pepper_orange,target,4,4,carrot_purple,distractor,2,3,pear_yellow,distractor,3,2
5175-f,1479833484369,16,carrot,overinformative,carrot_orange,target,3,4,avocado_green,distractor,2,2,banana_brown,distractor,4,3
5175-f,1479833492033,17,pepper,informative,pepper_green,target,2,4,pepper_orange,distractor,3,3,pear_yellow,distractor,4,2
5175-f,1479833499317,18,apple,informative-cc,apple_red,target,3,2,apple_blue,distractor,2,3,cup_red,distractor,4,4
5175-f,1479833513662,19,avocado,overinformative,avocado_black,target,4,4,apple_blue,distractor,2,2,pear_green,distractor,3,3
5175-f,1479833523806,20,avocado,overinformative,avocado_green,target,4,4,carrot_purple,distractor,3,3,pear_orange,distractor,2,2
5175-f,1479833530714,21,pear,informative,pear_green,target,3,4,apple_red,distractor,2,3,pear_orange,distractor,4,2
5175-f,1479833539012,22,pear,informative-cc,pear_green,target,3,4,pear_yellow,distractor,4,3,cup_green,distractor,2,2
5175-f,1479833546146,23,banana,informative,banana_brown,target,3,3,apple_red,distractor,2,4,banana_yellow,distractor,4,2
5175-f,1479833550539,24,tomato,overinformative,tomato_red,target,3,4,banana_blue,distractor,2,2,carrot_pink,distractor,4,3
5175-f,1479833555038,25,carrot,overinformative,carrot_purple,target,2,4,banana_blue,distractor,3,3,apple_red,distractor,4,2
5175-f,1479833559446,26,carrot,overinformative-cc,carrot_pink,target,3,2,cup_pink,distractor,2,3,pepper_red,distractor,4,4
5175-f,1479833563638,27,tomato,overinformative,tomato_green,target,3,4,carrot_pink,distractor,2,3,banana_yellow,distractor,4,2
5175-f,1479833567179,28,tomato,overinformative-cc,tomato_pink,target,2,3,cup_pink,distractor,3,4,pear_orange,distractor,4,2
5175-f,1479833571291,29,banana,overinformative,banana_brown,target,4,3,pear_yellow,distractor,2,2,pepper_orange,distractor,3,4
5175-f,1479833578770,30,banana,informative,banana_yellow,target,4,3,tomato_red,distractor,2,2,banana_blue,distractor,3,4
5175-f,1479833583179,31,pepper,overinformative-cc,pepper_red,target,4,4,apple_blue,distractor,2,2,cup_red,distractor,3,3
5175-f,1479833587043,32,banana,overinformative,banana_blue,target,3,3,pear_orange,distractor,4,2,avocado_black,distractor,2,4
5175-f,1479833591753,33,pear,overinformative,pear_yellow,target,3,3,carrot_purple,distractor,2,2,apple_red,distractor,4,4
5175-f,1479833596654,34,banana,informative-cc,banana_yellow,target,2,4,cup_yellow,distractor,3,2,banana_brown,distractor,4,3
5175-f,1479833600605,35,avocado,overinformative-cc,avocado_black,target,4,4,tomato_green,distractor,3,3,cup_black,distractor,2,2
5175-f,1479833606442,36,tomato,informative-cc,tomato_green,target,4,2,tomato_red,distractor,2,4,cup_green,distractor,3,3
5175-f,1479833610670,37,pepper,overinformative-cc,pepper_green,target,4,3,cup_green,distractor,3,2,banana_blue,distractor,2,4
5175-f,1479833616642,38,avocado,overinformative-cc,avocado_red,target,4,2,carrot_pink,distractor,2,3,cup_red,distractor,3,4
5175-f,1479833621855,39,carrot,informative,carrot_purple,target,3,2,avocado_black,distractor,2,3,carrot_orange,distractor,4,4
5175-f,1479833626471,40,apple,overinformative-cc,apple_green,target,4,2,pear_yellow,distractor,3,4,cup_green,distractor,2,3
5175-f,1479833631270,41,apple,overinformative,apple_red,target,2,4,avocado_green,distractor,4,3,pear_yellow,distractor,3,2
5175-f,1479833637545,42,apple,overinformative,apple_green,target,4,2,pepper_orange,distractor,3,3,banana_blue,distractor,2,4
