gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
5468-7,1479833708991,1,banana,informative-cc,banana_yellow,target,2,4,banana_brown,distractor,4,2,cup_yellow,distractor,3,3
5468-7,1479833716743,2,carrot,informative-cc,carrot_purple,target,3,2,carrot_orange,distractor,2,4,cup_purple,distractor,4,3
5468-7,1479833722742,3,banana,overinformative-cc,banana_brown,target,4,4,pepper_orange,distractor,3,2,cup_brown,distractor,2,3
5468-7,1479833734147,4,pepper,informative-cc,pepper_orange,target,3,4,pepper_red,distractor,2,3,cup_orange,distractor,4,2
5468-7,1479833749130,5,carrot,informative-cc,carrot_purple,distractor,3,3,carrot_pink,target,2,2,cup_pink,distractor,4,4
5468-7,1479833772057,6,apple,overinformative,apple_green,target,3,2,pepper_orange,distractor,4,3,banana_yellow,distractor,2,4
5468-7,1479833779519,7,tomato,informative,tomato_green,target,4,2,tomato_pink,distractor,2,4,avocado_black,distractor,3,3
5468-7,1479833787401,8,tomato,overinformative-cc,tomato_green,target,2,3,cup_green,distractor,4,4,banana_yellow,distractor,3,2
5468-7,1479833796894,9,pepper,overinformative,pepper_green,target,2,2,carrot_pink,distractor,4,3,tomato_red,distractor,3,4
5468-7,1479833802394,10,pepper,overinformative-cc,pepper_red,target,4,3,cup_red,distractor,2,2,pear_orange,distractor,3,4
5468-7,1479833808715,11,carrot,overinformative-cc,carrot_orange,target,2,2,cup_orange,distractor,4,4,apple_red,distractor,3,3
5468-7,1479833814107,12,tomato,overinformative,tomato_red,target,2,4,avocado_black,distractor,3,2,apple_blue,distractor,4,3
5468-7,1479833819292,13,avocado,overinformative,avocado_red,target,3,2,pear_yellow,distractor,4,4,apple_green,distractor,2,3
5468-7,1479833830386,14,carrot,informative,carrot_purple,target,3,2,banana_blue,distractor,4,3,carrot_pink,distractor,2,4
5468-7,1479833835341,15,avocado,overinformative,avocado_green,target,4,4,apple_blue,distractor,2,2,tomato_red,distractor,3,3
5468-7,1479833843585,16,banana,informative-cc,banana_brown,target,4,2,cup_brown,distractor,3,4,banana_yellow,distractor,2,3
5468-7,1479833848842,17,pear,overinformative-cc,pear_green,target,3,2,pepper_red,distractor,2,4,cup_green,distractor,4,3
5468-7,1479833856277,18,banana,informative-cc,banana_blue,target,2,4,cup_blue,distractor,3,2,banana_brown,distractor,4,3
5468-7,1479833861346,19,pear,overinformative,pear_yellow,target,2,4,tomato_red,distractor,4,3,apple_red,distractor,3,2
5468-7,1479833867834,20,banana,informative,banana_yellow,target,2,2,carrot_purple,distractor,4,4,banana_brown,distractor,3,3
5468-7,1479833875890,21,carrot,overinformative-cc,carrot_pink,target,4,2,apple_blue,distractor,2,4,cup_pink,distractor,3,3
5468-7,1479833880826,22,banana,overinformative,banana_blue,target,3,3,avocado_black,distractor,2,4,pepper_green,distractor,4,2
5468-7,1479833885983,23,apple,informative-cc,apple_blue,target,4,2,apple_red,distractor,2,4,cup_blue,distractor,3,3
5468-7,1479833896805,24,avocado,informative-cc,avocado_red,target,2,2,avocado_black,distractor,3,4,cup_red,distractor,4,3
5468-7,1479833904147,25,avocado,informative,avocado_green,target,2,4,banana_brown,distractor,4,3,avocado_red,distractor,3,2
5468-7,1479833908563,26,apple,overinformative-cc,apple_red,target,2,2,carrot_purple,distractor,4,3,cup_red,distractor,3,4
5468-7,1479833915562,27,pepper,informative-cc,pepper_green,target,4,2,cup_green,distractor,2,4,pepper_orange,distractor,3,3
5468-7,1479833921893,28,apple,overinformative-cc,apple_green,target,2,4,tomato_pink,distractor,4,3,cup_green,distractor,3,2
5468-7,1479833928245,29,pear,overinformative,pear_orange,target,4,3,carrot_purple,distractor,3,4,apple_red,distractor,2,2
5468-7,1479833935872,30,pear,informative-cc,pear_yellow,target,2,4,cup_yellow,distractor,3,3,pear_green,distractor,4,2
5468-7,1479833942803,31,tomato,informative,tomato_red,target,2,4,tomato_green,distractor,3,3,pear_yellow,distractor,4,2
5468-7,1479833948889,32,apple,overinformative,apple_red,target,4,2,avocado_black,distractor,3,4,pepper_green,distractor,2,3
5468-7,1479833957402,33,carrot,informative-cc,carrot_orange,target,4,2,cup_orange,distractor,2,4,carrot_purple,distractor,3,3
5468-7,1479833965125,34,avocado,overinformative-cc,avocado_black,target,4,3,cup_black,distractor,3,4,apple_blue,distractor,2,2
5468-7,1479833970534,35,apple,overinformative-cc,apple_blue,target,2,4,cup_blue,distractor,3,2,pepper_green,distractor,4,3
5468-7,1479833976898,36,tomato,overinformative,tomato_pink,target,2,2,banana_blue,distractor,4,4,apple_green,distractor,3,3
5468-7,1479833981751,37,pepper,informative-cc,pepper_red,target,3,2,pepper_green,distractor,2,4,cup_red,distractor,4,3
5468-7,1479833989691,38,pear,overinformative,pear_green,target,3,3,pepper_orange,distractor,2,4,banana_brown,distractor,4,2
5468-7,1479833998826,39,pear,overinformative-cc,pear_orange,target,2,3,cup_orange,distractor,3,2,tomato_red,distractor,4,4
5468-7,1479834008247,40,avocado,informative,avocado_black,target,4,2,avocado_green,distractor,2,4,carrot_orange,distractor,3,3
5468-7,1479834015835,41,tomato,informative-cc,tomato_pink,target,2,3,tomato_green,distractor,4,2,cup_pink,distractor,3,4
5468-7,1479834026912,42,pepper,informative,pepper_orange,target,4,2,pepper_red,distractor,3,3,tomato_pink,distractor,2,4
