gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
6033-5,1479835124788,1,pepper,overinformative,pepper_red,target,2,2,tomato_green,distractor,4,3,tomato_pink,distractor,3,4
6033-5,1479835147017,2,tomato,informative,tomato_green,target,4,2,tomato_pink,distractor,3,3,banana_yellow,distractor,2,4
6033-5,1479835160667,3,apple,informative-cc,apple_green,target,4,3,apple_red,distractor,2,4,cup_green,distractor,3,2
6033-5,1479835179574,4,avocado,overinformative-cc,avocado_black,target,2,4,cup_black,distractor,4,2,carrot_orange,distractor,3,3
6033-5,1479835194006,5,tomato,overinformative,tomato_green,target,4,3,pepper_orange,distractor,2,4,banana_blue,distractor,3,2
6033-5,1479835211350,6,pear,informative-cc,pear_orange,target,3,2,cup_orange,distractor,2,3,pear_green,distractor,4,4
6033-5,1479835222332,7,banana,informative,banana_blue,target,4,4,avocado_green,distractor,3,2,banana_yellow,distractor,2,3
6033-5,1479835228990,8,carrot,overinformative,carrot_purple,target,3,4,banana_yellow,distractor,2,3,tomato_red,distractor,4,2
6033-5,1479835235403,9,apple,overinformative,apple_blue,target,2,4,carrot_purple,distractor,3,2,pepper_orange,distractor,4,3
6033-5,1479835242669,10,apple,overinformative-cc,apple_red,target,4,3,cup_red,distractor,3,2,banana_yellow,distractor,2,4
6033-5,1479835249814,11,banana,overinformative-cc,banana_yellow,target,4,2,cup_yellow,distractor,2,3,apple_green,distractor,3,4
6033-5,1479835258502,12,pepper,overinformative-cc,pepper_orange,target,3,3,cup_orange,distractor,4,4,banana_brown,distractor,2,2
6033-5,1479835267468,13,carrot,informative,carrot_pink,target,2,4,carrot_purple,distractor,3,3,pear_green,distractor,4,2
6033-5,1479835276274,14,tomato,overinformative-cc,tomato_pink,target,4,2,cup_pink,distractor,2,3,banana_brown,distractor,3,4
6033-5,1479835283032,15,pepper,overinformative-cc,pepper_green,target,4,3,tomato_pink,distractor,3,4,cup_green,distractor,2,2
6033-5,1479835288538,16,apple,overinformative,apple_green,target,4,3,carrot_orange,distractor,2,2,pepper_red,distractor,3,4
6033-5,1479835293512,17,apple,informative,apple_blue,target,2,4,banana_yellow,distractor,3,2,apple_red,distractor,4,3
6033-5,1479835298062,18,banana,overinformative,banana_blue,target,3,2,apple_green,distractor,2,3,pear_orange,distractor,4,4
6033-5,1479835302531,19,pepper,informative,pepper_red,target,2,3,pepper_green,distractor,4,4,carrot_purple,distractor,3,2
6033-5,1479835307671,20,carrot,informative,carrot_purple,target,4,4,apple_blue,distractor,2,2,carrot_orange,distractor,3,3
6033-5,1479835312037,21,carrot,overinformative,carrot_orange,target,2,3,pepper_green,distractor,4,4,banana_brown,distractor,3,2
6033-5,1479835320924,22,pear,informative,pear_yellow,target,3,3,banana_brown,distractor,2,4,pear_orange,distractor,4,2
6033-5,1479835326041,23,tomato,informative,tomato_red,target,3,2,banana_yellow,distractor,2,3,tomato_pink,distractor,4,4
6033-5,1479835332701,24,pear,overinformative,pear_yellow,target,2,4,carrot_purple,distractor,3,2,carrot_pink,distractor,4,3
6033-5,1479835337999,25,pepper,informative-cc,pepper_green,target,3,3,cup_green,distractor,4,4,pepper_red,distractor,2,2
6033-5,1479835344224,26,banana,informative-cc,banana_yellow,target,3,2,banana_blue,distractor,4,4,cup_yellow,distractor,2,3
6033-5,1479835351659,27,tomato,overinformative,tomato_pink,target,2,3,apple_green,distractor,4,4,pepper_green,distractor,3,2
6033-5,1479835356632,28,banana,informative,banana_brown,target,3,3,banana_yellow,distractor,4,4,apple_green,distractor,2,2
6033-5,1479835361930,29,avocado,overinformative,avocado_black,target,4,3,banana_blue,distractor,3,2,apple_blue,distractor,2,4
6033-5,1479835366881,30,avocado,overinformative,avocado_green,target,3,3,carrot_purple,distractor,2,4,apple_red,distractor,4,2
6033-5,1479835372617,31,avocado,overinformative-cc,avocado_red,target,3,2,carrot_purple,distractor,4,3,cup_red,distractor,2,4
6033-5,1479835376870,32,apple,overinformative,apple_red,target,2,4,banana_brown,distractor,4,3,pear_orange,distractor,3,2
6033-5,1479835388435,33,pear,overinformative-cc,pear_orange,target,3,2,cup_orange,distractor,4,4,tomato_red,distractor,2,3
6033-5,1479835397039,34,banana,overinformative-cc,banana_brown,target,2,4,avocado_green,distractor,3,2,cup_brown,distractor,4,3
6033-5,1479835402913,35,pear,overinformative-cc,pear_green,target,3,4,apple_blue,distractor,2,3,cup_green,distractor,4,2
6033-5,1479835410371,36,avocado,overinformative,avocado_red,target,4,3,pear_orange,distractor,3,2,pepper_green,distractor,2,4
6033-5,1479835416029,37,tomato,informative-cc,tomato_red,target,4,3,tomato_green,distractor,2,2,cup_red,distractor,3,4
6033-5,1479835422759,38,carrot,overinformative-cc,carrot_orange,target,2,4,pear_green,distractor,3,2,cup_orange,distractor,4,3
6033-5,1479835427216,39,pear,overinformative,pear_green,target,3,2,apple_blue,distractor,4,3,carrot_orange,distractor,2,4
6033-5,1479835432782,40,pepper,informative,pepper_orange,target,4,4,carrot_pink,distractor,3,2,pepper_red,distractor,2,3
6033-5,1479835440695,41,avocado,informative-cc,avocado_green,target,3,2,cup_green,distractor,2,4,avocado_black,distractor,4,3
6033-5,1479835446101,42,carrot,overinformative,carrot_pink,target,2,2,pepper_green,distractor,4,4,pepper_orange,distractor,3,3
