gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
2367-2,1479835401609,1,tomato,informative-cc,tomato_green,target,4,4,cup_green,distractor,2,2,tomato_pink,distractor,3,3
2367-2,1479835410558,2,pear,overinformative,pear_orange,target,4,3,apple_blue,distractor,2,4,banana_brown,distractor,3,2
2367-2,1479835444687,3,pear,overinformative-cc,pear_green,target,2,3,carrot_purple,distractor,4,4,cup_green,distractor,3,2
2367-2,1479835452532,4,pepper,informative,pepper_green,target,2,2,pepper_orange,distractor,3,4,pear_yellow,distractor,4,3
2367-2,1479835460857,5,carrot,overinformative-cc,carrot_pink,target,4,4,cup_pink,distractor,2,3,avocado_red,distractor,3,2
2367-2,1479835468902,6,tomato,overinformative,tomato_red,target,4,2,carrot_orange,distractor,2,3,pepper_orange,distractor,3,4
2367-2,1479835476563,7,avocado,overinformative,avocado_black,target,4,2,banana_blue,distractor,2,3,pepper_orange,distractor,3,4
2367-2,1479835483176,8,apple,overinformative-cc,apple_red,target,4,2,avocado_green,distractor,3,4,cup_red,distractor,2,3
2367-2,1479835490086,9,apple,informative,apple_red,target,4,2,pepper_green,distractor,2,4,apple_blue,distractor,3,3
2367-2,1479835496691,10,carrot,informative,carrot_purple,target,2,2,carrot_orange,distractor,3,3,banana_yellow,distractor,4,4
2367-2,1479835507709,11,pepper,overinformative-cc,pepper_orange,target,4,2,cup_orange,distractor,3,4,carrot_purple,distractor,2,3
2367-2,1479835514657,12,tomato,overinformative-cc,tomato_green,target,2,3,cup_green,distractor,4,4,carrot_orange,distractor,3,2
2367-2,1479835534683,13,pear,informative-cc,pear_yellow,target,2,2,cup_yellow,distractor,4,4,pear_orange,distractor,3,3
2367-2,1479835542949,14,pepper,informative-cc,pepper_red,target,3,2,pepper_orange,distractor,4,4,cup_red,distractor,2,3
2367-2,1479835555559,15,pear,informative-cc,pear_orange,target,3,4,cup_orange,distractor,2,3,pear_green,distractor,4,2
2367-2,1479835561962,16,avocado,overinformative,avocado_red,target,2,2,banana_yellow,distractor,3,3,pear_yellow,distractor,4,4
2367-2,1479835569862,17,banana,informative,banana_yellow,target,4,4,banana_brown,distractor,3,2,pepper_green,distractor,2,3
2367-2,1479835576380,18,carrot,informative-cc,carrot_purple,target,3,3,carrot_orange,distractor,4,4,cup_purple,distractor,2,2
2367-2,1479835593321,19,pepper,informative-cc,pepper_orange,target,2,2,cup_orange,distractor,3,4,pepper_red,distractor,4,3
2367-2,1479835599604,20,carrot,overinformative-cc,carrot_orange,target,4,2,apple_green,distractor,2,4,cup_orange,distractor,3,3
2367-2,1479835606852,21,apple,overinformative,apple_green,target,4,3,pepper_red,distractor,2,2,banana_brown,distractor,3,4
2367-2,1479835615392,22,banana,informative,banana_blue,target,2,4,pepper_green,distractor,4,2,banana_yellow,distractor,3,3
2367-2,1479835629510,23,avocado,informative-cc,avocado_black,target,3,4,avocado_red,distractor,2,2,cup_black,distractor,4,3
2367-2,1479835637355,24,carrot,informative-cc,carrot_pink,target,3,2,carrot_orange,distractor,4,4,cup_pink,distractor,2,3
2367-2,1479835643907,25,banana,informative-cc,banana_yellow,target,2,2,banana_blue,distractor,3,3,cup_yellow,distractor,4,4
2367-2,1479835650191,26,tomato,overinformative-cc,tomato_red,target,3,2,avocado_black,distractor,4,3,cup_red,distractor,2,4
2367-2,1479835660353,27,tomato,overinformative,tomato_pink,target,3,2,avocado_green,distractor,2,3,banana_brown,distractor,4,4
2367-2,1479835675602,28,pear,informative,pear_yellow,target,4,4,apple_blue,distractor,3,2,pear_green,distractor,2,3
2367-2,1479835684207,29,pear,overinformative,pear_green,target,2,2,apple_red,distractor,4,3,tomato_pink,distractor,3,4
2367-2,1479835693191,30,carrot,informative-cc,carrot_orange,target,4,4,cup_orange,distractor,3,2,carrot_purple,distractor,2,3
2367-2,1479835701170,31,apple,overinformative-cc,apple_blue,target,3,3,cup_blue,distractor,2,2,pepper_orange,distractor,4,4
2367-2,1479835708736,32,banana,overinformative,banana_blue,target,2,2,carrot_purple,distractor,4,4,tomato_pink,distractor,3,3
2367-2,1479835719910,33,tomato,informative,tomato_pink,target,4,2,tomato_green,distractor,3,3,banana_blue,distractor,2,4
2367-2,1479835726490,34,pepper,overinformative,pepper_red,target,3,4,banana_brown,distractor,2,2,banana_blue,distractor,4,3
2367-2,1479835733086,35,pepper,overinformative,pepper_green,target,2,3,carrot_orange,distractor,4,2,tomato_pink,distractor,3,4
2367-2,1479835741139,36,avocado,informative-cc,avocado_green,target,3,2,cup_green,distractor,4,3,avocado_red,distractor,2,4
2367-2,1479835749768,37,avocado,overinformative,avocado_green,target,2,2,apple_red,distractor,4,3,carrot_pink,distractor,3,4
2367-2,1479835756420,38,apple,informative-cc,apple_blue,target,4,3,cup_blue,distractor,3,2,apple_red,distractor,2,4
2367-2,1479835763801,39,apple,overinformative-cc,apple_green,target,2,3,cup_green,distractor,4,2,carrot_pink,distractor,3,4
2367-2,1479835774601,40,avocado,informative-cc,avocado_red,target,4,3,avocado_green,distractor,2,2,cup_red,distractor,3,4
2367-2,1479835787036,41,banana,informative-cc,banana_brown,target,3,3,banana_yellow,distractor,2,4,cup_brown,distractor,4,2
2367-2,1479835797757,42,banana,overinformative-cc,banana_brown,target,4,4,cup_brown,distractor,2,2,apple_blue,distractor,3,3
