gameid,time,roundNum,sender,contents
6033-5,1479835104649,1,listener,"Hello!"
6033-5,1479835121241,1,listener,"Let's do this!"
6033-5,1479835121504,1,speaker,"hello.  its red"
6033-5,1479835134661,2,listener,"Easy peasy"
6033-5,1479835144166,2,speaker,"seems too easy.  its green"
6033-5,1479835158840,3,speaker,"its edible and green"
6033-5,1479835172647,4,speaker,"its edible and dark green"
6033-5,1479835191852,5,speaker,"edible and green again"
6033-5,1479835202623,6,listener,"This is nice and easy."
6033-5,1479835205000,6,listener,"I like it."
6033-5,1479835208280,6,speaker,"edible and brownish"
6033-5,1479835220270,7,speaker,"its blue"
6033-5,1479835227663,8,speaker,"its purple"
6033-5,1479835233191,9,speaker,"its blue"
6033-5,1479835241152,10,speaker,"its red and edible"
6033-5,1479835247880,11,speaker,"its yellow and edible"
6033-5,1479835256769,12,speaker,"its orange and edible"
6033-5,1479835264584,13,speaker,"its light purple"
6033-5,1479835274326,14,speaker,"its edible and purple"
6033-5,1479835281797,15,speaker,"its green and edible"
6033-5,1479835286600,16,speaker,"its green"
6033-5,1479835292033,17,speaker,"its blue"
6033-5,1479835296617,18,speaker,"its blue"
6033-5,1479835301126,19,speaker,"its red"
6033-5,1479835305678,20,speaker,"its purple"
6033-5,1479835310665,21,speaker,"orange"
6033-5,1479835319317,22,speaker,"its yellowish"
6033-5,1479835324669,23,speaker,"its red"
6033-5,1479835331332,24,speaker,"its yellowish"
6033-5,1479835336637,25,speaker,"its green and edible"
6033-5,1479835342585,26,speaker,"its yellow and edible"
6033-5,1479835350260,27,speaker,"its purple"
6033-5,1479835354513,28,speaker,"its brown"
6033-5,1479835360332,29,speaker,"its dark green"
6033-5,1479835365600,30,speaker,"its green"
6033-5,1479835371412,31,speaker,"its red and edible"
6033-5,1479835375570,32,speaker,"its red"
6033-5,1479835384777,33,speaker,"its brownish and edible"
6033-5,1479835394717,34,speaker,"its brown and edible"
6033-5,1479835401736,35,speaker,"its green and edible"
6033-5,1479835408913,36,speaker,"its reddish"
6033-5,1479835414425,37,speaker,"its red and edible"
6033-5,1479835420214,38,speaker,"its orange and edibel"
6033-5,1479835425798,39,speaker,"its green"
6033-5,1479835431506,40,speaker,"its orange"
6033-5,1479835438633,41,speaker,"its green and edible"
6033-5,1479835444616,42,speaker,"its purple"
