gameid,time,roundNum,sender,contents
0837-1,1479835275537,1,speaker,"it is the long curved object"
0837-1,1479835306626,2,speaker,"it is the darker longobject"
0837-1,1479835318349,3,speaker,"it is the lighter long object"
0837-1,1479835331102,4,speaker,"it is the round one"
0837-1,1479835346051,5,speaker,"it is pear shaped"
0837-1,1479835357806,6,speaker,"stem without leaves"
0837-1,1479835373532,7,speaker,"odd colored round fruit"
0837-1,1479835384026,8,speaker,"green fruit"
0837-1,1479835394675,9,speaker,"long object same color as cup"
0837-1,1479835403703,10,speaker,"blue banana"
0837-1,1479835412013,11,speaker,"oddly colored fruit"
0837-1,1479835419974,12,speaker,"fruit that is too dark"
0837-1,1479835428441,13,speaker,"oddly colored duplicate"
0837-1,1479835435150,14,speaker,"normal color"
0837-1,1479835445862,15,speaker,"normal color similar to cup"
0837-1,1479835453394,16,speaker,"normal color"
0837-1,1479835462871,17,speaker,"normal colored and long"
0837-1,1479835470807,18,speaker,"not a duplicate"
0837-1,1479835477101,19,speaker,"dark fruit"
0837-1,1479835486606,20,speaker,"color is duplicate, fruit"
0837-1,1479835501375,21,speaker,"wrong colored duplicate"
0837-1,1479835510328,22,speaker,"miscolored"
0837-1,1479835518244,23,speaker,"correct color"
0837-1,1479835524344,24,speaker,"correct color fruit"
0837-1,1479835533212,25,speaker,"stemmed fruit"
0837-1,1479835540657,26,speaker,"odd color "
0837-1,1479835557726,27,speaker,"fruit color similar to cup"
0837-1,1479835566322,28,speaker,"correctly colored veg"
0837-1,1479835575099,29,speaker,"red "
0837-1,1479835583572,30,speaker,"beg colored like cup"
0837-1,1479835585342,30,speaker,"veg*"
0837-1,1479835593655,31,speaker,"correctly colored duplicate"
0837-1,1479835604638,32,speaker,"correctly colore dup"
0837-1,1479835616515,33,speaker,"correct color"
0837-1,1479835623186,34,speaker,"wrong color"
0837-1,1479835629133,35,speaker,"correct color"
0837-1,1479835636081,36,speaker,"wrong color round"
0837-1,1479835642616,37,speaker,"correct color"
0837-1,1479835649180,38,speaker,"round"
0837-1,1479835656481,39,speaker,"incorrect colored duplicate"
0837-1,1479835662753,40,speaker,"correct"
0837-1,1479835671322,41,speaker,"looks gross to eat"
0837-1,1479835685210,42,speaker,"same color round fruit"
0837-1,1479835686742,42,speaker,"as cup"
