gameid,time,roundNum,sender,contents
6589-d,1479839001440,1,speaker,"blah blah blah"
6589-d,1479839014293,1,listener,"blah to you too?"
6589-d,1479839020407,1,speaker,"long and pointy"
6589-d,1479839038379,2,speaker,"curved "
6589-d,1479839049730,3,speaker,"small round"
6589-d,1479839059696,4,speaker,"pointy"
6589-d,1479839085427,5,speaker,"small round and rainbow"
6589-d,1479839094820,5,listener,"O_o"
6589-d,1479839096523,5,speaker,"lol"
6589-d,1479839113846,5,listener,"red or purple?"
6589-d,1479839114184,5,speaker,"purple drink"
6589-d,1479839125952,6,speaker,"mexican"
6589-d,1479839137685,7,speaker,"hot tamale"
6589-d,1479839144357,8,speaker,"round small"
6589-d,1479839154416,9,speaker,"blood"
6589-d,1479839166125,10,speaker,"curved sun color"
6589-d,1479839175361,11,speaker,"pointy dark"
6589-d,1479839190710,12,speaker,"black as night and round"
6589-d,1479839204211,13,speaker,"blue"
6589-d,1479839211377,14,speaker,"curved"
6589-d,1479839220705,15,speaker,"puke green"
6589-d,1479839233045,16,speaker,"bottom heavy"
6589-d,1479839242226,17,speaker,"curved"
6589-d,1479839253006,18,speaker,"fiber"
6589-d,1479839261218,18,listener,"hmm.~~~~~~"
6589-d,1479839263965,18,speaker,"crimson"
6589-d,1479839276166,19,speaker,"small round blood colored"
6589-d,1479839281817,20,speaker,"curved"
6589-d,1479839298038,21,speaker,"bottom heavy red"
6589-d,1479839322337,22,speaker,"pumpkin like vegetable"
6589-d,1479839335721,23,speaker,"puke green"
6589-d,1479839350658,24,speaker,"bottom heavy sunny"
6589-d,1479839365295,25,speaker,"pale green"
6589-d,1479839375840,26,speaker,"dark green "
6589-d,1479839382446,27,speaker,"curved"
6589-d,1479839394318,28,speaker,"small round puke green"
6589-d,1479839408507,29,speaker,"ninja turle"
6589-d,1479839413363,30,listener,"lol"
6589-d,1479839415492,30,speaker,"lol"
6589-d,1479839428767,30,speaker,"sleeping beauty"
6589-d,1479839436411,30,speaker,"bloody"
6589-d,1479839447731,31,speaker,"darkness black magick"
6589-d,1479839456328,32,speaker,"pointy thing"
6589-d,1479839471868,33,speaker,"small vegetable zombie"
6589-d,1479839480363,34,speaker,"mexican"
6589-d,1479839487672,35,speaker,"bottom heavy"
6589-d,1479839497571,36,speaker,"bottom heavy sun"
6589-d,1479839508901,37,speaker,"dark boold"
6589-d,1479839519968,38,speaker,"pointy orange"
6589-d,1479839526353,38,listener,"i have the feeling they're going to find this session quite strange if they read the chat logs"
6589-d,1479839534167,39,speaker,"probably xD"
6589-d,1479839539618,39,speaker,"candy apple"
6589-d,1479839547153,40,listener,"oops!"
6589-d,1479839554801,40,speaker,".~~~~~~"
6589-d,1479839556917,40,speaker,"lol"
6589-d,1479839563171,40,speaker,"bloody thing"
6589-d,1479839569738,41,speaker,"pointy"
6589-d,1479839581257,42,speaker,"sleeping beauty"
6589-d,1479839592873,42,speaker,"pale"
6589-d,1479839597537,42,listener,"sorry for making you wait before. i had this in queue without realizing it~~~ thanks for waiting and have a wonderful day~~~"
