gameid,time,roundNum,sender,contents
6532-c,1479839145909,1,speaker,"Hello, you want the purple carrot."
6532-c,1479839168458,2,speaker,"The rough skinned fruit. "
6532-c,1479839176175,3,speaker,"apple"
6532-c,1479839184822,3,listener,"red or green?"
6532-c,1479839190916,3,speaker,"red, sorry"
6532-c,1479839211606,4,speaker,"green rough skinned fruit"
6532-c,1479839229950,4,listener,"There's only red or black"
6532-c,1479839234847,4,speaker,"black"
6532-c,1479839242081,5,speaker,"pear"
6532-c,1479839250555,6,speaker,"red pepper"
6532-c,1479839263994,7,speaker,"red rough skinned fruit"
6532-c,1479839288551,8,speaker,"brown/chocolate  bannana"
6532-c,1479839299721,9,speaker,"green tomato"
6532-c,1479839309143,10,speaker,"green apple"
6532-c,1479839320258,11,speaker,"purple tomato"
6532-c,1479839327807,12,speaker,"blue bannana"
6532-c,1479839336702,13,speaker,"blue bannana"
6532-c,1479839344150,14,speaker,"green pepper"
6532-c,1479839350613,15,speaker,"blue apple"
6532-c,1479839357857,16,speaker,"blue apple"
6532-c,1479839368216,17,speaker,"green avocado"
6532-c,1479839375175,18,speaker,"pear"
6532-c,1479839384297,19,speaker,"purple carrot"
6532-c,1479839392040,20,speaker,"orange carrot"
6532-c,1479839399953,21,speaker,"yellow bannana"
6532-c,1479839408033,22,speaker,"red pepper"
6532-c,1479839423189,22,listener,"I only have orange or green"
6532-c,1479839424576,22,speaker,"orange"
6532-c,1479839435198,23,speaker,"green tomato"
6532-c,1479839443602,24,speaker,"brown bannana"
6532-c,1479839452527,25,speaker,"orange carrot"
6532-c,1479839460183,26,speaker,"green pear"
6532-c,1479839466312,27,speaker,"red apple"
6532-c,1479839479473,28,speaker,"orange pepper"
6532-c,1479839487005,29,speaker,"green appple"
6532-c,1479839494876,30,speaker,"red tomato"
6532-c,1479839503803,31,speaker,"green pear"
6532-c,1479839514941,32,speaker,"orange/red pear"
6532-c,1479839522881,33,speaker,"red tomato"
6532-c,1479839532926,34,speaker,"green avocado"
6532-c,1479839544534,35,speaker,"red/orange pepper"
6532-c,1479839555893,36,speaker,"yellow bannana"
6532-c,1479839568762,37,speaker,"dark purple carrot"
6532-c,1479839585705,38,speaker,"yellow carrot, same color as cup"
6532-c,1479839598062,38,listener,"only have pears"
6532-c,1479839606159,38,speaker,"yellow"
6532-c,1479839613832,39,speaker,"green pepper"
6532-c,1479839622367,40,speaker,"purple tomato"
6532-c,1479839632671,41,speaker,"red avocado"
6532-c,1479839642975,42,speaker,"purple carrot"
