"","gameid","time","roundNum","trialType","context","nameClickedObj","targetStatusClickedObj","spLocsClickedObj","lisLocsClickedObj","alt1Name","alt1TargetStatus","alt1SpLocs","alt1LisLocs","alt2Name","alt2TargetStatus","alt2SpLocs","alt2LisLocs","numMessages","numSMessages","numLMessages","speakerMessages","listenerMessages","messageTimeStamps","refExp","colorMentioned","typeMentioned","clickedType","clickedColor","NormedTypicality","binaryTypicality","ColorMentioned","CleanedResponse","ItemMentioned","CatMentioned","UtteranceType","Color","ColorAndType","Type","ColorAndCat","Cat","Other","Item","Half"
"26","6314-6",1479397556110,26,"banana","informative","banana_blue","target",2,3,"banana_yellow","distractor",4,4,"pear_orange","distractor",3,2,2,1,1,"blue","pear","1479397553427___1479397553608","blue","True","False","banana","blue",0.0219230769230769,"atypical",TRUE,"blue",FALSE,FALSE,"color",1,0,0,0,0,0,"banana",1
"27","6314-6",1479397561411,27,"banana","informative","banana_brown","target",4,2,"banana_blue","distractor",2,3,"tomato_green","distractor",3,4,1,1,0,"brown","","1479397560213","brown","True","False","banana","brown",0.2796,"atypical",TRUE,"brown",FALSE,FALSE,"color",1,0,0,0,0,0,"banana",1
"28","6314-6",1479397565739,28,"pepper","overinformative","pepper_red","target",3,3,"banana_yellow","distractor",2,2,"banana_brown","distractor",4,4,1,1,0,"red","","1479397564531","red","True","False","pepper","red",0.938846153846154,"typical",TRUE,"red",FALSE,FALSE,"color",1,0,0,0,0,0,"pepper",2
"29","6314-6",1479397570132,29,"banana","overinformative","banana_blue","target",2,3,"tomato_red","distractor",4,2,"carrot_purple","distractor",3,4,1,1,0,"blue","","1479397568770","blue","True","False","banana","blue",0.0219230769230769,"atypical",TRUE,"blue",FALSE,FALSE,"color",1,0,0,0,0,0,"banana",2
"30","6314-6",1479397573932,30,"apple","informative","apple_red","target",2,3,"pepper_orange","distractor",4,4,"apple_blue","distractor",3,2,1,1,0,"red","","1479397572754","red","True","False","apple","red",0.919259259259259,"typical",TRUE,"red",FALSE,FALSE,"color",1,0,0,0,0,0,"apple",2
"31","6314-6",1479397578924,31,"avocado","overinformative","avocado_green","target",2,4,"pear_orange","distractor",4,2,"pear_yellow","distractor",3,3,1,1,0,"green","","1479397577769","green","True","False","avocado","green",0.863076923076923,"typical",TRUE,"green",FALSE,FALSE,"color",1,0,0,0,0,0,"avocado",2
"32","6314-6",1479397584436,32,"pear","overinformative","pear_orange","target",4,4,"apple_green","distractor",2,3,"apple_blue","distractor",3,2,1,1,0,"orange","","1479397582818","orange","True","False","pear","orange",0.193103448275862,"atypical",TRUE,"orange",FALSE,FALSE,"color",1,0,0,0,0,0,"pear",2
"33","6314-6",1479397591053,33,"pepper","overinformative","pepper_orange","target",3,3,"carrot_purple","distractor",4,4,"tomato_pink","distractor",2,2,1,1,0,"orange","","1479397589618","orange","True","False","pepper","orange",0.514074074074074,"typical",TRUE,"orange",FALSE,FALSE,"color",1,0,0,0,0,0,"pepper",2
"34","6314-6",1479397595516,34,"tomato","overinformative","tomato_green","target",4,2,"pepper_orange","distractor",3,3,"pear_orange","distractor",2,4,1,1,0,"green","","1479397594418","green","True","False","tomato","green",0.513571428571429,"typical",TRUE,"green",FALSE,FALSE,"color",1,0,0,0,0,0,"tomato",2
"35","6314-6",1479397599415,35,"pepper","overinformative-cc","pepper_green","target",2,2,"cup_green","distractor",3,4,"carrot_pink","distractor",4,3,1,1,0,"green","","1479397598550","green","True","False","pepper","green",0.9128,"typical",TRUE,"green",FALSE,FALSE,"color",1,0,0,0,0,0,"pepper",2
"36","6314-6",1479397607163,36,"avocado","overinformative-cc","avocado_red","target",3,4,"cup_red","distractor",2,3,"banana_yellow","distractor",4,2,1,1,0,"red fruit","","1479397605218","red fruit","True","False","avocado","red",0.33037037037037,"atypical",TRUE,"red fruit",FALSE,TRUE,"color_and_cat",0,0,0,1,0,0,"avocado",2
"37","6314-6",1479397612722,37,"pepper","informative","pepper_red","target",4,2,"banana_brown","distractor",3,4,"pepper_orange","distractor",2,3,1,1,0,"red","","1479397610626","red","True","False","pepper","red",0.938846153846154,"typical",TRUE,"red",FALSE,FALSE,"color",1,0,0,0,0,0,"pepper",2
"38","6314-6",1479397621499,38,"carrot","overinformative-cc","carrot_orange","target",4,4,"cup_orange","distractor",3,2,"pear_green","distractor",2,3,1,1,0,"carrot","","1479397620258","carrot","False","True","carrot","orange",0.952173913043478,"typical",FALSE,"carrot",TRUE,FALSE,"type",0,0,1,0,0,0,"carrot",2
"39","6314-6",1479397626962,39,"pear","overinformative","pear_yellow","target",2,3,"tomato_green","distractor",3,4,"pepper_red","distractor",4,2,1,1,0,"yellow","","1479397625799","yellow","True","False","pear","yellow",0.766923076923077,"typical",TRUE,"yellow",FALSE,FALSE,"color",1,0,0,0,0,0,"pear",2
"40","6314-6",1479397631491,40,"banana","overinformative-cc","banana_yellow","target",4,4,"avocado_black","distractor",2,2,"cup_yellow","distractor",3,3,2,2,0,"yellow___ban","","1479397630151___1479397631785","yellow","True","False","banana","yellow",0.961481481481481,"typical",TRUE,"yellow",FALSE,FALSE,"color",1,0,0,0,0,0,"banana",2
"41","6314-6",1479397638964,41,"banana","overinformative-cc","banana_brown","target",2,4,"cup_brown","distractor",4,3,"pear_green","distractor",3,2,1,1,0,"brown ban","","1479397636263","brown ban","True","False","banana","brown",0.2796,"atypical",TRUE,"brown ban",FALSE,FALSE,"color",1,0,0,0,0,0,"banana",2
"42","6314-6",1479397643566,42,"banana","overinformative","banana_brown","target",4,2,"tomato_pink","distractor",2,4,"avocado_black","distractor",3,3,1,1,0,"brown","","1479397642280","brown","True","False","banana","brown",0.2796,"atypical",TRUE,"brown",FALSE,FALSE,"color",1,0,0,0,0,0,"banana",2
"43","6314-6",1479397647555,43,"apple","overinformative","apple_red","target",4,2,"pepper_orange","distractor",3,4,"pear_green","distractor",2,3,1,1,0,"red","","1479397646471","red","True","False","apple","red",0.919259259259259,"typical",TRUE,"red",FALSE,FALSE,"color",1,0,0,0,0,0,"apple",2
"44","6314-6",1479397651499,44,"apple","overinformative","apple_blue","target",4,3,"banana_yellow","distractor",2,2,"pear_green","distractor",3,4,1,1,0,"blue","","1479397650312","blue","True","False","apple","blue",0.0285185185185185,"atypical",TRUE,"blue",FALSE,FALSE,"color",1,0,0,0,0,0,"apple",2
"45","6314-6",1479397658870,45,"pear","overinformative-cc","pear_green","target",4,3,"tomato_pink","distractor",2,4,"cup_green","distractor",3,2,1,1,0,"pear","","1479397657415","pear","False","True","pear","green",0.869583333333333,"typical",FALSE,"pear",TRUE,FALSE,"type",0,0,1,0,0,0,"pear",2
"46","6314-6",1479397664236,46,"pear","overinformative-cc","pear_yellow","target",4,3,"cup_yellow","distractor",2,2,"pepper_red","distractor",3,4,1,1,0,"pear","","1479397663080","pear","False","True","pear","yellow",0.766923076923077,"typical",FALSE,"pear",TRUE,FALSE,"type",0,0,1,0,0,0,"pear",2
"47","6314-6",1479397668123,47,"tomato","informative","tomato_red","target",2,3,"avocado_black","distractor",4,4,"tomato_green","distractor",3,2,1,1,0,"red","","1479397667015","red","True","False","tomato","red",0.92962962962963,"typical",TRUE,"red",FALSE,FALSE,"color",1,0,0,0,0,0,"tomato",2
"48","6314-6",1479397672366,48,"pear","informative","pear_yellow","target",3,3,"carrot_purple","distractor",2,2,"pear_orange","distractor",4,4,1,1,0,"yellow","","1479397671415","yellow","True","False","pear","yellow",0.766923076923077,"typical",TRUE,"yellow",FALSE,FALSE,"color",1,0,0,0,0,0,"pear",2
"49","6314-6",1479397676194,49,"tomato","overinformative","tomato_red","target",3,2,"pepper_green","distractor",2,3,"pepper_orange","distractor",4,4,1,1,0,"red","","1479397675128","red","True","False","tomato","red",0.92962962962963,"typical",TRUE,"red",FALSE,FALSE,"color",1,0,0,0,0,0,"tomato",2
"50","6314-6",1479397680562,50,"avocado","informative","avocado_green","target",3,3,"avocado_black","distractor",2,4,"apple_blue","distractor",4,2,1,1,0,"green","","1479397679464","green","True","False","avocado","green",0.863076923076923,"typical",TRUE,"green",FALSE,FALSE,"color",1,0,0,0,0,0,"avocado",2
"51","6314-6",1479397684194,51,"pepper","overinformative-cc","pepper_red","target",3,3,"cup_red","distractor",2,2,"avocado_black","distractor",4,4,1,1,0,"red","","1479397683284","red","True","False","pepper","red",0.938846153846154,"typical",TRUE,"red",FALSE,FALSE,"color",1,0,0,0,0,0,"pepper",2
"52","6314-6",1479397688737,52,"carrot","informative","carrot_purple","target",3,4,"avocado_black","distractor",4,2,"carrot_orange","distractor",2,3,1,1,0,"blue","","1479397687544","blue","False","False","carrot","purple",0.08,"atypical",TRUE,"blue",FALSE,FALSE,"color",1,0,0,0,0,0,"carrot",2
"53","6314-6",1479397695098,53,"carrot","overinformative-cc","carrot_pink","target",2,2,"cup_pink","distractor",4,4,"banana_yellow","distractor",3,3,1,1,0,"carrot","","1479397693816","carrot","False","True","carrot","pink",0.0828571428571429,"atypical",FALSE,"carrot",TRUE,FALSE,"type",0,0,1,0,0,0,"carrot",2
"55","6314-6",1479397713561,55,"apple","overinformative-cc","apple_green","target",3,2,"cup_green","distractor",4,4,"avocado_black","distractor",2,3,1,1,0,"apple","","1479397712138","apple","False","True","apple","green",0.8672,"typical",FALSE,"apple",TRUE,FALSE,"type",0,0,1,0,0,0,"apple",2
"56","6314-6",1479397719642,56,"apple","overinformative-cc","apple_blue","target",2,4,"cup_blue","distractor",4,3,"pear_yellow","distractor",3,2,1,1,0,"apple","","1479397717192","apple","False","True","apple","blue",0.0285185185185185,"atypical",FALSE,"apple",TRUE,FALSE,"type",0,0,1,0,0,0,"apple",2
"57","6314-6",1479397724698,57,"carrot","overinformative","carrot_pink","target",3,2,"tomato_red","distractor",2,3,"avocado_green","distractor",4,4,1,1,0,"purple","","1479397723400","purple","False","False","carrot","pink",0.0828571428571429,"atypical",TRUE,"purple",FALSE,FALSE,"color",1,0,0,0,0,0,"carrot",2
