gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, domainClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Domain, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Domain, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Domain, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Domain, alt4superdomain
3928-b,1448897000658,1,colorSizeTrial,sizeOnly2Distr2Same,big_black_book,target,3,2,NA,NA,small_black_book,distractor,4,3,NA,NA,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,small_black_book,distractor,2,4,NA,NA
3928-b,1448897025581,2,colorSizeTrial,sizeOnly4Distr3Same,small_green_framee,target,3,5,NA,NA,big_green_framee,distractor,1,3,NA,NA,big_green_framee,distractor,2,1,NA,NA,big_pink_framee,distractor,5,2,NA,NA,big_green_framee,distractor,4,4,NA,NA
3928-b,1448897039865,3,colorSizeTrial,colorOnly2Distr1Same,big_orange_napkin,target,2,3,NA,NA,blackStimulus,NA,1,1,NA,NA,small_yellow_napkin,distractor,3,2,NA,NA,big_yellow_napkin,distractor,4,4,NA,NA,blackStimulus,NA,5,5,NA,NA
3928-b,1448897049726,4,subSuperTrial,distr22,kiwi,target,2,4,fruit,food,blackStimulus,NA,1,1,NA,NA,bread,distrClass2,4,3,NA,food,blackStimulus,NA,5,5,NA,NA,hotdog,distrClass2,3,2,NA,food
3928-b,1448897068136,5,colorSizeTrial,sizeOnly2Distr1Same,big_green_binder,target,4,3,NA,NA,small_blue_binder,distractor,3,4,NA,NA,small_green_binder,distractor,2,2,NA,NA,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA
3928-b,1448897082726,6,colorSizeTrial,sizeOnly4Distr1Same,big_yellow_shoe,target,5,1,NA,NA,small_white_shoe,distractor,2,2,NA,NA,small_yellow_shoe,distractor,3,3,NA,NA,small_white_shoe,distractor,4,5,NA,NA,small_white_shoe,distractor,1,4,NA,NA
3928-b,1448897095521,7,colorSizeTrial,sizeOnly2Distr1Same,big_green_pepper,target,3,3,NA,NA,blackStimulus,NA,5,5,NA,NA,small_green_pepper,distractor,2,2,NA,NA,blackStimulus,NA,1,1,NA,NA,small_red_pepper,distractor,4,4,NA,NA
3928-b,1448897112977,8,subSuperTrial,distr33,tent,target,3,3,house,place,crosswalksign,distrClass3,4,2,NA,object,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,rhino,distrClass3,2,4,NA,animal
3928-b,1448897121401,9,colorSizeTrial,colorOnly4Distr1Same,big_brown_belt,target,2,4,NA,NA,small_black_belt,distractor,4,5,NA,NA,small_black_belt,distractor,5,3,NA,NA,small_black_belt,distractor,1,2,NA,NA,big_black_belt,distractor,3,1,NA,NA
3928-b,1448897130838,10,colorSizeTrial,sizeOnly4Distr3Same,small_purple_yarn,target,2,3,NA,NA,big_purple_yarn,distractor,4,4,NA,NA,big_purple_yarn,distractor,3,2,NA,NA,big_purple_yarn,distractor,5,1,NA,NA,big_red_yarn,distractor,1,5,NA,NA
3928-b,1448897138603,11,colorSizeTrial,sizeOnly4Distr1Same,small_green_guitar,target,1,1,NA,NA,big_blue_guitar,distractor,2,2,NA,NA,big_blue_guitar,distractor,4,5,NA,NA,big_green_guitar,distractor,5,3,NA,NA,big_blue_guitar,distractor,3,4,NA,NA
