gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, domainClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Domain, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Domain, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Domain, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Domain, alt4superdomain
4309-b,1448898199902,1,subSuperTrial,distr33,husky,target,2,2,dog,animal,blackStimulus,NA,5,5,NA,NA,mosque,distrClass3,4,3,NA,place,blackStimulus,NA,1,1,NA,NA,ketchup,distrClass3,3,4,NA,food
4309-b,1448898208787,2,subSuperTrial,distr12,belt2,target,4,2,clothing,object,blackStimulus,NA,5,5,NA,NA,tennisball,distrClass2,3,4,NA,object,socks,distrClass1,2,3,clothing,object,blackStimulus,NA,1,1,NA,NA
4309-b,1448898216498,3,subSuperTrial,distr33,banjo,target,4,2,instrument,object,blackStimulus,NA,5,5,NA,NA,pasta,distrClass3,2,3,NA,food,blackStimulus,NA,1,1,NA,NA,crocodile,distrClass3,3,4,NA,animal
4309-b,1448898223435,4,subSuperTrial,distr33,firetruck,target,3,3,vehicle,object,museum,distrClass3,2,2,NA,place,blackStimulus,NA,1,1,NA,NA,rice,distrClass3,4,4,NA,food,blackStimulus,NA,5,5,NA,NA
4309-b,1448898232418,5,subSuperTrial,distr23,corn,target,2,2,vegetable,food,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,hospital,distrClass3,4,3,NA,place,sandwich,distrClass2,3,4,NA,food
4309-b,1448898240034,6,subSuperTrial,distr23,pineapple,target,2,3,fruit,food,sushi,distrClass2,4,4,NA,food,penguin,distrClass3,3,2,NA,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA
4309-b,1448898247482,7,subSuperTrial,distr12,igloo,target,3,2,house,place,blackStimulus,NA,5,5,NA,NA,hut,distrClass1,2,4,house,place,blackStimulus,NA,1,1,NA,NA,museum,distrClass2,4,3,NA,place
4309-b,1448898260201,8,colorSizeTrial,sizeOnly2Distr2Same,big_pink_golfball,target,2,3,NA,NA,blackStimulus,NA,5,5,NA,NA,small_pink_golfball,distractor,4,2,NA,NA,blackStimulus,NA,1,1,NA,NA,small_pink_golfball,distractor,3,4,NA,NA
4309-b,1448898267401,9,subSuperTrial,distr23,bra,target,3,2,clothing,object,anvil,distrClass2,4,4,NA,object,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,sushi,distrClass3,2,3,NA,food
4309-b,1448898273648,10,colorSizeTrial,colorOnly4Distr4Same,small_purple_flower,target,3,4,NA,NA,small_red_flower,distractor,1,5,NA,NA,small_red_flower,distractor,4,2,NA,NA,small_red_flower,distractor,5,3,NA,NA,small_red_flower,distractor,2,1,NA,NA
4309-b,1448898279424,11,subSuperTrial,distr12,boat,target,3,2,vehicle,object,sideroadsign,distrClass2,2,4,NA,object,blackStimulus,NA,5,5,NA,NA,airplane,distrClass1,4,3,vehicle,object,blackStimulus,NA,1,1,NA,NA
4309-b,1448898289840,12,colorSizeTrial,sizeOnly4Distr2Same,small_green_jacket,target,5,1,NA,NA,big_green_jacket,distractor,3,4,NA,NA,big_brown_jacket,distractor,4,3,NA,NA,big_brown_jacket,distractor,1,5,NA,NA,big_green_jacket,distractor,2,2,NA,NA
