gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, domainClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Domain, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Domain, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Domain, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Domain, alt4superdomain
0844-2,1448988718307,1,colorSizeTrial,sizeOnly2Distr2Same,big_orange_cushion,target,2,3,NA,NA,blackStimulus,NA,1,1,NA,NA,small_orange_cushion,distractor,4,2,NA,NA,blackStimulus,NA,5,5,NA,NA,small_orange_cushion,distractor,3,4,NA,NA
0844-2,1448988724911,2,subSuperTrial,distr22,saxophone,target,4,2,instrument,object,tv,distrClass2,2,3,NA,object,sideroadsign,distrClass2,3,4,NA,object,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA
0844-2,1448988731814,3,subSuperTrial,distr33,tulip,target,2,2,flower,plant,blackStimulus,NA,5,5,NA,NA,horse,distrClass3,4,3,NA,animal,binoculars,distrClass3,3,4,NA,object,blackStimulus,NA,1,1,NA,NA
0844-2,1448988741210,4,subSuperTrial,distr12,grapefruit,target,2,2,fruit,food,sandwich,distrClass2,4,4,NA,food,blackStimulus,NA,1,1,NA,NA,peach,distrClass1,3,3,fruit,food,blackStimulus,NA,5,5,NA,NA
0844-2,1448988746205,5,colorSizeTrial,sizeOnly4Distr2Same,small_green_chair,distractor,2,3,NA,NA,small_red_chair,distractor,5,1,NA,NA,big_red_chair,target,1,2,NA,NA,small_green_chair,distractor,3,4,NA,NA,small_red_chair,distractor,4,5,NA,NA
0844-2,1448988752314,6,colorSizeTrial,sizeOnly4Distr3Same,small_blue_golfball,target,3,2,NA,NA,big_blue_golfball,distractor,1,4,NA,NA,big_blue_golfball,distractor,4,1,NA,NA,big_pink_golfball,distractor,5,3,NA,NA,big_blue_golfball,distractor,2,5,NA,NA
0844-2,1448988758137,7,colorSizeTrial,sizeOnly4Distr2Same,big_pink_phone,target,2,4,NA,NA,small_pink_phone,distractor,3,1,NA,NA,small_white_phone,distractor,1,3,NA,NA,small_pink_phone,distractor,4,5,NA,NA,small_white_phone,distractor,5,2,NA,NA
0844-2,1448988764465,8,colorSizeTrial,sizeOnly4Distr2Same,big_purple_butterfly,target,1,3,NA,NA,small_blue_butterfly,distractor,3,5,NA,NA,small_blue_butterfly,distractor,2,1,NA,NA,small_purple_butterfly,distractor,4,2,NA,NA,small_purple_butterfly,distractor,5,4,NA,NA
0844-2,1448988769662,9,colorSizeTrial,sizeOnly4Distr3Same,small_green_guitar,target,3,4,NA,NA,big_blue_guitar,distractor,1,5,NA,NA,big_green_guitar,distractor,2,3,NA,NA,big_green_guitar,distractor,4,2,NA,NA,big_green_guitar,distractor,5,1,NA,NA
0844-2,1448988774989,10,colorSizeTrial,sizeOnly4Distr1Same,big_purple_yarn,target,3,4,NA,NA,small_red_yarn,distractor,5,5,NA,NA,small_red_yarn,distractor,1,3,NA,NA,small_purple_yarn,distractor,2,1,NA,NA,small_red_yarn,distractor,4,2,NA,NA
0844-2,1448988782170,11,colorSizeTrial,colorOnly4Distr1Same,small_blue_candle,target,3,1,NA,NA,big_red_candle,distractor,4,4,NA,NA,big_red_candle,distractor,1,5,NA,NA,big_red_candle,distractor,2,2,NA,NA,small_red_candle,distractor,5,3,NA,NA
0844-2,1448988791373,12,subSuperTrial,distr22,lamp,target,3,2,furniture,object,blackStimulus,NA,5,5,NA,NA,tennisball,distrClass2,4,3,NA,object,blackStimulus,NA,1,1,NA,NA,mailbox,distrClass2,2,4,NA,object
0844-2,1448988796730,13,colorSizeTrial,sizeOnly4Distr1Same,small_orange_billiardball,distractor,2,2,NA,NA,small_orange_billiardball,distractor,1,3,NA,NA,small_purple_billiardball,distractor,5,5,NA,NA,small_orange_billiardball,distractor,4,4,NA,NA,big_purple_billiardball,target,3,1,NA,NA
0844-2,1448988802727,14,colorSizeTrial,colorOnly4Distr1Same,small_purple_rug,target,5,2,NA,NA,big_blue_rug,distractor,2,1,NA,NA,small_blue_rug,distractor,3,3,NA,NA,big_blue_rug,distractor,4,5,NA,NA,big_blue_rug,distractor,1,4,NA,NA
0844-2,1448988809136,15,subSuperTrial,distr23,bra,target,2,3,clothing,object,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,sushi,distrClass3,3,2,NA,food,smokedetector,distrClass2,4,4,NA,object
0844-2,1448988813645,16,colorSizeTrial,colorOnly4Distr3Same,small_blue_tack,target,3,3,NA,NA,big_red_tack,distractor,5,1,NA,NA,small_red_tack,distractor,2,4,NA,NA,small_red_tack,distractor,4,5,NA,NA,small_red_tack,distractor,1,2,NA,NA
0844-2,1448988820293,17,subSuperTrial,distr12,igloo,target,3,3,house,place,temple,distrClass2,2,2,NA,place,blackStimulus,NA,5,5,NA,NA,castle,distrClass1,4,4,house,place,blackStimulus,NA,1,1,NA,NA
0844-2,1448988825436,18,colorSizeTrial,sizeOnly2Distr1Same,small_brown_jacket,target,2,4,NA,NA,big_green_jacket,distractor,3,2,NA,NA,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,big_brown_jacket,distractor,4,3,NA,NA
0844-2,1448988831033,19,colorSizeTrial,colorOnly4Distr4Same,small_red_bucket,target,5,4,NA,NA,small_pink_bucket,distractor,3,1,NA,NA,small_pink_bucket,distractor,2,5,NA,NA,small_pink_bucket,distractor,1,3,NA,NA,small_pink_bucket,distractor,4,2,NA,NA
0844-2,1448988838310,20,subSuperTrial,distr12,boat,target,2,3,vehicle,object,blackStimulus,NA,5,5,NA,NA,binoculars,distrClass2,4,2,NA,object,motorcycle,distrClass1,3,4,vehicle,object,blackStimulus,NA,1,1,NA,NA
0844-2,1448988846925,21,subSuperTrial,distr12,tent,target,3,4,house,place,rv,distrClass1,4,3,house,place,hospital,distrClass2,2,2,NA,place,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA
0844-2,1448988851661,22,colorSizeTrial,colorOnly4Distr2Same,big_purple_rock,target,2,5,NA,NA,big_green_rock,distractor,3,1,NA,NA,big_green_rock,distractor,1,4,NA,NA,small_green_rock,distractor,4,3,NA,NA,small_green_rock,distractor,5,2,NA,NA
0844-2,1448988858885,23,subSuperTrial,distr22,piano,target,4,4,instrument,object,blackStimulus,NA,5,5,NA,NA,football,distrClass2,3,2,NA,object,blackStimulus,NA,1,1,NA,NA,eraser,distrClass2,2,3,NA,object
0844-2,1448988865887,24,subSuperTrial,distr33,firetruck,target,2,2,vehicle,object,chocolate,distrClass3,4,4,NA,food,blackStimulus,NA,1,1,NA,NA,pizza,distrClass3,3,3,NA,food,blackStimulus,NA,5,5,NA,NA
0844-2,1448988875205,25,subSuperTrial,distr23,carrot,target,3,4,vegetable,food,pizza,distrClass2,4,3,NA,food,blackStimulus,NA,5,5,NA,NA,flamingo,distrClass3,2,2,NA,animal,blackStimulus,NA,1,1,NA,NA
0844-2,1448988882898,26,subSuperTrial,distr22,swimsuit,target,4,2,clothing,object,greekcolumn,distrClass2,2,3,NA,object,blackStimulus,NA,1,1,NA,NA,laptop,distrClass2,3,4,NA,object,blackStimulus,NA,5,5,NA,NA
0844-2,1448988891532,27,subSuperTrial,distr12,sunflower,target,3,4,flower,plant,blackStimulus,NA,5,5,NA,NA,ivy,distrClass2,4,3,NA,plant,daffodil,distrClass1,2,2,flower,plant,blackStimulus,NA,1,1,NA,NA
0844-2,1448988900521,28,colorSizeTrial,sizeOnly4Distr4Same,big_black_avocado,target,3,3,NA,NA,small_black_avocado,distractor,1,2,NA,NA,small_black_avocado,distractor,5,1,NA,NA,small_black_avocado,distractor,4,4,NA,NA,small_black_avocado,distractor,2,5,NA,NA
0844-2,1448988906832,29,subSuperTrial,distr23,bathrobe,target,4,4,clothing,object,hotdog,distrClass3,3,3,NA,food,tooth,distrClass2,2,2,NA,object,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA
0844-2,1448988911925,30,colorSizeTrial,sizeOnly4Distr4Same,big_pink_balloon,target,1,3,NA,NA,small_pink_balloon,distractor,4,5,NA,NA,small_pink_balloon,distractor,5,4,NA,NA,small_pink_balloon,distractor,2,2,NA,NA,small_pink_balloon,distractor,3,1,NA,NA
0844-2,1448988917028,31,colorSizeTrial,sizeOnly4Distr2Same,small_brown_turtle,target,3,5,NA,NA,big_brown_turtle,distractor,4,2,NA,NA,big_black_turtle,distractor,5,4,NA,NA,big_black_turtle,distractor,1,1,NA,NA,big_brown_turtle,distractor,2,3,NA,NA
0844-2,1448988922704,32,subSuperTrial,distr23,bike2,target,3,2,vehicle,object,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,trafficcone,distrClass2,4,4,NA,object,fries,distrClass3,2,3,NA,food
0844-2,1448988929654,33,subSuperTrial,distr12,rose,target,2,4,flower,plant,blackStimulus,NA,1,1,NA,NA,grasses,distrClass2,3,2,NA,plant,hibiscus,distrClass1,4,3,flower,plant,blackStimulus,NA,5,5,NA,NA
0844-2,1448988934784,34,colorSizeTrial,colorOnly2Distr2Same,big_yellow_shoe,target,3,4,NA,NA,big_white_shoe,distractor,4,3,NA,NA,blackStimulus,NA,1,1,NA,NA,big_white_shoe,distractor,2,2,NA,NA,blackStimulus,NA,5,5,NA,NA
0844-2,1448988941349,35,colorSizeTrial,sizeOnly2Distr2Same,small_black_book,target,4,2,NA,NA,big_black_book,distractor,2,4,NA,NA,big_black_book,distractor,3,3,NA,NA,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA
0844-2,1448988946304,36,subSuperTrial,distr33,dalmatian,target,2,3,dog,animal,blackStimulus,NA,1,1,NA,NA,bread,distrClass3,4,4,NA,food,blackStimulus,NA,5,5,NA,NA,firehydrant,distrClass3,3,2,NA,object
