workerid,totalLength,gameID,thinksHuman,comments,ratePartner,role,nativeEnglish,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.id,Answer.catch_trials
0,504332,2691-b,yes,Very fun!,loved,speaker,yes,3ZLW647WAKUHH52QYSP3QCRUYL432P,3NJNX96T4K1G7FC29XZ10ZCYFVLGOG,Language study,A 20-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$1.75,Mon Nov 30 06:43:26 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 30 06:43:26 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3ZLW647WAKUHH52QYSP3QCRUYL432P,3QY5DC2MXRJO3DPFR95DLO75JOLUFM,0,Submitted,Mon Nov 30 23:33:59 PST 2015,Mon Nov 30 06:43:50 PST 2015,Mon Nov 30 06:53:59 PST 2015,,,,,,"""2691-b""",[]
1,434578,2691-b,yes,thanks for the opportunity to participate,loved,listener,yes,3ZLW647WAKUHH52QYSP3QCRUYL432P,3NJNX96T4K1G7FC29XZ10ZCYFVLGOG,Language study,A 20-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$1.75,Mon Nov 30 06:43:26 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 30 06:43:26 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3ZLW647WAKUHH52QYSP3QCRUYL432P,3UXUOQ9OKEWR9BWB3LQAXVIUEXBA7N,1,Submitted,Mon Nov 30 23:34:17 PST 2015,Mon Nov 30 06:43:57 PST 2015,Mon Nov 30 06:54:17 PST 2015,,,,,,"""2691-b""",[]
2,466718,4590-7,yes,none thank you,liked,speaker,yes,3ZLW647WAKUHH52QYSP3QCRUYL432P,3NJNX96T4K1G7FC29XZ10ZCYFVLGOG,Language study,A 20-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$1.75,Mon Nov 30 06:43:26 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 30 06:43:26 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3ZLW647WAKUHH52QYSP3QCRUYL432P,3I33IC7ZWF1KNAZ5X99F141M3HPA27,2,Submitted,Mon Nov 30 23:35:50 PST 2015,Mon Nov 30 06:43:50 PST 2015,Mon Nov 30 06:55:50 PST 2015,,,,,,"""4590-7""",[]
3,467457,4590-7,yes,,loved,listener,yes,3ZLW647WAKUHH52QYSP3QCRUYL432P,3NJNX96T4K1G7FC29XZ10ZCYFVLGOG,Language study,A 20-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$1.75,Mon Nov 30 06:43:26 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 30 06:43:26 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3ZLW647WAKUHH52QYSP3QCRUYL432P,34S6N1K2ZVI5YJTRDL1CXMNZMC6LHI,3,Submitted,Mon Nov 30 23:36:11 PST 2015,Mon Nov 30 06:43:57 PST 2015,Mon Nov 30 06:56:11 PST 2015,,,,,,"""4590-7""",[]
4,674000,6471-6,yes,It was fun but seemed so easy I thought I might be doing it wrong! Thanks!,liked,speaker,yes,3ZLW647WAKUHH52QYSP3QCRUYL432P,3NJNX96T4K1G7FC29XZ10ZCYFVLGOG,Language study,A 20-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$1.75,Mon Nov 30 06:43:26 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 30 06:43:26 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3ZLW647WAKUHH52QYSP3QCRUYL432P,3QAVNHZ3EM3QOWLD7FRKG00V9HGLA7,4,Submitted,Mon Nov 30 23:40:16 PST 2015,Mon Nov 30 06:43:53 PST 2015,Mon Nov 30 07:00:16 PST 2015,,,,,,"""6471-6""",[]
5,654856,6471-6,yes,I got a great partner who was fast and kept the descriptions very concise. We went through the rounds quickly.,loved,listener,yes,3ZLW647WAKUHH52QYSP3QCRUYL432P,3NJNX96T4K1G7FC29XZ10ZCYFVLGOG,Language study,A 20-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$1.75,Mon Nov 30 06:43:26 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 30 06:43:26 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3ZLW647WAKUHH52QYSP3QCRUYL432P,3CFVK00FWLKP1U9AH2A80VY9DYQL6H,5,Submitted,Mon Nov 30 23:40:18 PST 2015,Mon Nov 30 06:43:50 PST 2015,Mon Nov 30 07:00:18 PST 2015,,,,,,"""6471-6""",[]
6,636143,4568-8,yes,,loved,speaker,yes,3ZLW647WAKUHH52QYSP3QCRUYL432P,3NJNX96T4K1G7FC29XZ10ZCYFVLGOG,Language study,A 20-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$1.75,Mon Nov 30 06:43:26 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 30 06:43:26 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3ZLW647WAKUHH52QYSP3QCRUYL432P,3ZAZR5XV01HYM0ZF6UEKUA1HOT9CZJ,6,Submitted,Mon Nov 30 23:40:25 PST 2015,Mon Nov 30 06:44:42 PST 2015,Mon Nov 30 07:00:25 PST 2015,,,,,,"""4568-8""",[]
7,575491,4568-8,yes,This was really fun!!,loved,listener,yes,3ZLW647WAKUHH52QYSP3QCRUYL432P,3NJNX96T4K1G7FC29XZ10ZCYFVLGOG,Language study,A 20-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$1.75,Mon Nov 30 06:43:26 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 30 06:43:26 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3ZLW647WAKUHH52QYSP3QCRUYL432P,3W92K5RLWUGWEVLQQN29VYIB81HV5U,7,Submitted,Mon Nov 30 23:40:37 PST 2015,Mon Nov 30 06:43:55 PST 2015,Mon Nov 30 07:00:37 PST 2015,,,,,,"""4568-8""",[]
8,913711,9272-f,yes,,loved,speaker,yes,3ZLW647WAKUHH52QYSP3QCRUYL432P,3NJNX96T4K1G7FC29XZ10ZCYFVLGOG,Language study,A 20-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$1.75,Mon Nov 30 06:43:26 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 30 06:43:26 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3ZLW647WAKUHH52QYSP3QCRUYL432P,382M9COHEHEWXZPJWYL736M57N6UE4,8,Submitted,Mon Nov 30 23:47:21 PST 2015,Mon Nov 30 06:43:50 PST 2015,Mon Nov 30 07:07:21 PST 2015,,,,,,"""9272-f""",[]
9,726896,9272-f,yes,nope,liked,listener,yes,3ZLW647WAKUHH52QYSP3QCRUYL432P,3NJNX96T4K1G7FC29XZ10ZCYFVLGOG,Language study,A 20-minute experiment where you play a language game with another turker.,language experiment study communication stanford fun cognitive science,$1.75,Mon Nov 30 06:43:26 PST 2015,40,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Wed Dec 30 06:43:26 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3ZLW647WAKUHH52QYSP3QCRUYL432P,3I33IC7ZWF1KNAZ5X99F141M3HP2AZ,9,Submitted,Mon Nov 30 23:47:23 PST 2015,Mon Nov 30 06:44:09 PST 2015,Mon Nov 30 07:07:23 PST 2015,,,,,,"""9272-f""",[]
