gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, domainClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Domain, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Domain, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Domain, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Domain, alt4superdomain,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,sizeMentioned,colorMentioned,typeMentioned,otherFeatureMentioned,superClassMentioned,superSuperClassMentioned,superclassattributeMentioned,utteranceContracted,oneMentioned,theMentioned,clickedType,clickedSize,clickedColor,colorPreNominal,sizePreNominal,,notes
8102-e,1.44899E+12,1,subSuperTrial,distr33,belt2,target,4,2,clothing,object,sushi,distrClass3,3,3,NA,food,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,bear,distrClass3,2,4,NA,animal,1,1,0,belt,,1.44899E+12,belt,FALSE,FALSE,TRUE,,,,,,,,belt2,NA,NA,,,,
8102-e,1.44899E+12,2,subSuperTrial,distr22,germanShepherd,target,2,3,dog,animal,penguin,distrClass2,4,4,NA,animal,blackStimulus,NA,1,1,NA,NA,flamingo,distrClass2,3,2,NA,animal,blackStimulus,NA,5,5,NA,NA,1,1,0,dog,,1.44899E+12,dog,FALSE,FALSE,FALSE,,TRUE,,,,,,germanShepherd,NA,NA,,,,
8102-e,1.44899E+12,3,subSuperTrial,distr33,ambulance,target,3,4,vehicle,object,pizza,distrClass3,4,2,NA,food,blackStimulus,NA,1,1,NA,NA,lion,distrClass3,2,3,NA,animal,blackStimulus,NA,5,5,NA,NA,1,1,0,ambulence,,1.44899E+12,ambulence,FALSE,FALSE,TRUE,,,,,,,,ambulance,NA,NA,,,,
8102-e,1.44899E+12,4,colorSizeTrial,sizeOnly4Distr4Same,big_blue_golfball,target,2,3,NA,NA,small_blue_golfball,distractor,1,5,NA,NA,small_blue_golfball,distractor,5,4,NA,NA,small_blue_golfball,distractor,4,1,NA,NA,small_blue_golfball,distractor,3,2,NA,NA,1,1,0,big,,1.44899E+12,big,TRUE,FALSE,FALSE,,,,,,,,big_blue_golfball,NA,NA,,,,
8102-e,1.44899E+12,5,colorSizeTrial,sizeOnly4Distr3Same,small_red_yarn,target,5,4,NA,NA,big_purple_yarn,distractor,2,1,NA,NA,big_red_yarn,distractor,3,2,NA,NA,big_red_yarn,distractor,1,3,NA,NA,big_red_yarn,distractor,4,5,NA,NA,1,1,0,small,,1.44899E+12,small,TRUE,FALSE,FALSE,,,,,,,,small_red_yarn,NA,NA,,,,
8102-e,1.44899E+12,6,subSuperTrial,distr23,pug,target,4,3,dog,animal,blackStimulus,NA,1,1,NA,NA,crocodile,distrClass2,3,4,NA,animal,blackStimulus,NA,5,5,NA,NA,sideroadsign,distrClass3,2,2,NA,object,1,1,0,dog,,1.44899E+12,dog,FALSE,FALSE,FALSE,,TRUE,,,,,,pug,NA,NA,,,,
8102-e,1.44899E+12,7,subSuperTrial,distr33,bookcase,target,3,3,furniture,object,blackStimulus,NA,5,5,NA,NA,airport,distrClass3,4,4,NA,place,blackStimulus,NA,1,1,NA,NA,rice,distrClass3,2,2,NA,food,1,1,0,book,,1.44899E+12,book,FALSE,FALSE,FALSE,TRUE,,,,TRUE,,,bookcase,NA,NA,,,,
8102-e,1.44899E+12,8,colorSizeTrial,sizeOnly4Distr2Same,big_pink_balloon,target,1,4,NA,NA,small_pink_balloon,distractor,3,3,NA,NA,small_yellow_balloon,distractor,4,2,NA,NA,small_pink_balloon,distractor,5,1,NA,NA,small_yellow_balloon,distractor,2,5,NA,NA,2,2,0,bi___big,,1448988327319___1448988330551,bi,TRUE,FALSE,FALSE,,,,,,,,big_pink_balloon,NA,NA,,,,
8102-e,1.44899E+12,9,colorSizeTrial,colorOnly2Distr1Same,big_purple_coathanger,target,2,2,NA,NA,blackStimulus,NA,5,5,NA,NA,small_orange_coathanger,distractor,4,3,NA,NA,big_orange_coathanger,distractor,3,4,NA,NA,blackStimulus,NA,1,1,NA,NA,1,1,0,purple,,1.44899E+12,purple,FALSE,TRUE,FALSE,,,,,,,,big_purple_coathanger,NA,NA,,,,
8102-e,1.44899E+12,10,subSuperTrial,distr23,bed,target,4,3,furniture,object,blackStimulus,NA,1,1,NA,NA,sideroadsign,distrClass2,2,2,NA,object,blackStimulus,NA,5,5,NA,NA,horse,distrClass3,3,4,NA,animal,1,1,0,bed,,1.44899E+12,bed,FALSE,FALSE,TRUE,,,,,,,,bed,NA,NA,,,,
8102-e,1.44899E+12,11,colorSizeTrial,sizeOnly4Distr2Same,big_green_guitar,target,3,5,NA,NA,small_blue_guitar,distractor,2,4,NA,NA,small_green_guitar,distractor,1,3,NA,NA,small_blue_guitar,distractor,4,2,NA,NA,small_green_guitar,distractor,5,1,NA,NA,1,1,0,big,,1.44899E+12,big,TRUE,FALSE,FALSE,,,,,,,,big_green_guitar,NA,NA,,,,
8102-e,1.44899E+12,12,colorSizeTrial,colorOnly2Distr2Same,small_black_comb,target,4,2,NA,NA,small_blue_comb,distractor,2,3,NA,NA,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,small_blue_comb,distractor,3,4,NA,NA,1,1,0,black,,1.44899E+12,black,FALSE,TRUE,FALSE,,,,,,,,small_black_comb,NA,NA,,,,
8102-e,1.44899E+12,13,subSuperTrial,distr33,rose,target,3,2,flower,plant,blackStimulus,NA,5,5,NA,NA,backpack,distrClass3,2,3,NA,object,blackStimulus,NA,1,1,NA,NA,basketball,distrClass3,4,4,NA,object,1,1,0,rose,,1.44899E+12,rose,FALSE,FALSE,TRUE,,,,,,,,rose,NA,NA,,,,
8102-e,1.44899E+12,14,subSuperTrial,distr12,clarinet,target,3,2,instrument,object,blackStimulus,NA,5,5,NA,NA,violin,distrClass1,4,3,instrument,object,baseballmitt,distrClass2,2,4,NA,object,blackStimulus,NA,1,1,NA,NA,1,1,0,claranet,,1.44899E+12,claranet,FALSE,FALSE,TRUE,,,,,,,,clarinet,NA,NA,,,,
8102-e,1.44899E+12,15,colorSizeTrial,colorOnly4Distr3Same,small_red_flower,target,2,4,NA,NA,big_purple_flower,distractor,5,5,NA,NA,small_purple_flower,distractor,3,1,NA,NA,small_purple_flower,distractor,4,2,NA,NA,small_purple_flower,distractor,1,3,NA,NA,1,1,0,red,,1.44899E+12,red,FALSE,TRUE,FALSE,,,,,,,,small_red_flower,NA,NA,,,,
